time (13.08.2024);set voltage (V);real voltage (V);current (A);delta current;input current (A)
07:53:14;-25;-25.04119;2.1521521000000002e-06;1.7839351025191528e-10;-2.154201e-06
07:53:36;-50;-50.07696;3.01326055e-06;7.859537120593619e-11;-3.014387e-06
07:53:58;-75;-75.10658;3.7174613499999993e-06;1.6205467094472269e-10;-3.71749e-06
07:54:18;-100;-100.0805;4.32176835e-06;2.954717268623272e-10;-4.325294e-06
07:54:41;-125;-125.0325;4.857411750000001e-06;3.560651195708504e-10;-4.861395e-06
07:55:03;-150;-150.011;5.38379785e-06;3.474149843846585e-10;-5.382725e-06
07:55:25;-175;-175.0485;5.89512645e-06;2.1460310429953618e-10;-5.895976e-06
07:55:47;-200;-200.0798;6.37018605e-06;1.7266125035746433e-10;-6.374593e-06
07:56:10;-225;-225.0954;6.829731850000002e-06;1.8749048342515025e-10;-6.832576e-06
07:56:32;-250;-250.0704;7.299068e-06;2.8655429677462663e-10;-7.303419e-06
07:56:53;-275;-275.0415;7.7593828e-06;3.917976939697373e-10;-7.760943e-06
07:57:14;-300;-300.0169;8.1926803e-06;2.094155330914646e-10;-8.196301e-06
07:57:36;-325;-325.0526;8.61027385e-06;1.2601554021235373e-10;-8.613065e-06
07:57:57;-350;-350.0667;9.0183983e-06;2.448135321014641e-10;-9.019775e-06
07:58:21;-375;-375.1011;9.450149350000001e-06;3.1209808774651197e-10;-9.45453e-06
07:58:43;-400;-400.0761;9.82470575e-06;9.17084204149497e-11;-9.827575e-06
07:59:03;-425;-425.0559;1.0214115999999998e-05;4.0182732609914547e-10;-1.022003e-05
07:59:27;-450;-449.989;1.0600391999999997e-05;5.839728589583735e-10;-1.060625e-05
07:59:49;-475;-475.0231;1.09704175e-05;3.285292034203341e-10;-1.097221e-05
08:00:09;-500;-500.0547;1.12967125e-05;3.3197882086063267e-10;-1.130347e-05
08:00:31;-525;-525.0907;1.1624939999999999e-05;4.5670285744674926e-10;-1.162926e-05
08:00:53;-550;-550.0723;1.19638615e-05;1.9396813526965669e-10;-1.196886e-05
08:01:14;-575;-575.0249;1.2291703499999999e-05;2.690141957220926e-10;-1.229501e-05
08:01:36;-600;-599.9976;1.2631082999999999e-05;8.530445767953422e-10;-1.263034e-05
08:01:58;-625;-625.028;1.2933208499999997e-05;3.440372617900651e-10;-1.294034e-05
08:02:20;-650;-650.0569;1.3244169000000003e-05;1.0841102342475097e-10;-1.324862e-05
08:02:42;-675;-675.0715;1.3553103e-05;2.7565295209734915e-10;-1.356005e-05
08:03:02;-700;-700.0492;1.3856097e-05;5.090810839149627e-10;-1.386004e-05
08:03:24;-725;-725.0174;1.41511985e-05;3.179506840690891e-10;-1.415762e-05
08:03:46;-750;-749.9857;1.4452074e-05;3.1270385350997265e-10;-1.445642e-05
08:04:08;-775;-775.0093;1.4743828999999999e-05;4.88234523564224e-10;-1.474779e-05
08:04:30;-800;-800.016;1.4995861499999998e-05;1.9981901185818545e-10;-1.500095e-05
08:04:52;-825;-825.043;1.52707295e-05;3.015331449443263e-10;-1.527264e-05
08:05:11;-850;-850.0204;1.5556466e-05;3.0905290809189277e-10;-1.556191e-05
08:05:26;-875;-874.9852;1.58409585e-05;3.8293032982514163e-10;-1.584523e-05
08:05:41;-900;-899.9483;1.6120648500000006e-05;2.7078060768822783e-10;-1.612894e-05
