time (22.01.2024);set voltage (V);real voltage (V);current (A);delta current;input current (A)
14:28:54;-25;-25.03638;2.6553843999999998e-06;1.4283274134456334e-10;-2.659595e-06
14:29:08;-50;-50.06878;3.935159199999999e-06;5.659694055335524e-10;-3.939743e-06
14:29:23;-75;-75.09668;4.9400072e-06;2.0909192476038337e-10;-4.942586e-06
14:29:38;-100;-100.0729;5.804823799999999e-06;3.7123945506911937e-10;-5.805888e-06
14:29:52;-125;-125.0286;6.58498955e-06;4.1728168828141095e-10;-6.591661e-06
14:30:07;-150;-150.0094;7.313273949999999e-06;5.126555738261399e-10;-7.316088e-06
14:30:21;-175;-175.0448;8.012469949999999e-06;5.025708978591897e-10;-8.013083e-06
14:30:36;-200;-200.0758;8.67223275e-06;3.8298791674800454e-10;-8.671303e-06
14:30:51;-225;-225.0874;9.3166531e-06;6.657645263154232e-10;-9.321385e-06
14:31:06;-250;-250.0652;9.935921349999999e-06;7.533203942380378e-10;-9.937664e-06
14:31:21;-275;-275.0277;1.05578515e-05;5.711971091488344e-10;-1.056065e-05
14:31:36;-300;-300.0062;1.1148560000000001e-05;6.450755769675694e-10;-1.115503e-05
14:31:51;-325;-325.0388;1.17253605e-05;7.427208341631358e-10;-1.172267e-05
14:32:06;-350;-350.0506;1.2319161e-05;1.4774289999861425e-09;-1.231514e-05
14:32:20;-375;-375.0806;1.2893479999999998e-05;4.4073064336396095e-10;-1.28985e-05
14:32:35;-400;-400.0592;1.3427657e-05;6.753566095034171e-10;-1.343115e-05
14:32:50;-425;-425.0313;1.3961138000000002e-05;1.2642332854342977e-09;-1.395322e-05
14:33:05;-450;-449.9854;1.4456211500000002e-05;9.479259662547138e-10;-1.446206e-05
14:33:20;-475;-475.0183;1.4960530500000004e-05;6.952069745766803e-10;-1.495769e-05
14:33:35;-500;-500.048;1.5383842e-05;1.1131753231184801e-09;-1.539894e-05
14:33:49;-525;-525.0806;1.5784138499999995e-05;8.297762574934731e-10;-1.578176e-05
14:34:05;-550;-550.0637;1.6255904500000004e-05;8.904031320137713e-10;-1.625059e-05
14:34:20;-575;-575.0203;1.6672053000000004e-05;9.169474085246951e-10;-1.666916e-05
14:34:34;-600;-599.9965;1.7061107e-05;1.5906368378734983e-09;-1.70808e-05
14:34:49;-625;-625.0233;1.7413244999999998e-05;7.993624021681624e-10;-1.74222e-05
14:35:04;-650;-650.051;1.77805695e-05;6.692650726730419e-10;-1.778225e-05
14:35:18;-675;-675.062;1.8141607499999996e-05;7.890306949035815e-10;-1.81485e-05
14:35:33;-700;-700.0447;1.8494828499999996e-05;1.020129470949691e-09;-1.850005e-05
14:35:48;-725;-725.013;1.8867648e-05;1.2975503073099086e-09;-1.887947e-05
14:36:03;-750;-749.9856;1.9204399e-05;1.4729480472847672e-09;-1.92144e-05
14:36:18;-775;-775.0048;1.9557076e-05;1.0224048610996463e-09;-1.957132e-05
14:36:33;-800;-800.0104;1.9963993e-05;2.402781419521944e-09;-1.995495e-05
14:36:48;-825;-825.0347;2.0347759e-05;1.059382107645771e-09;-2.035831e-05
14:37:03;-850;-850.0156;2.07104275e-05;1.6906421671956174e-09;-2.070417e-05
14:37:17;-875;-874.9791;2.105499e-05;1.879798925417287e-09;-2.106413e-05
14:37:32;-900;-899.9473;2.13925365e-05;1.8676876445219905e-09;-2.138387e-05
