time (31.07.2025);set voltage (V);real voltage (V);current (A);delta current;input current (A)
10:19:29;-25;-25.03222;1.1549489e-06;3.596982686919723e-10;-1.155881e-06
10:19:49;-50;-50.06469;1.5930812499999998e-06;3.847155629487822e-10;-1.592772e-06
10:20:09;-75;-75.09293;1.9486773e-06;5.160510347824e-10;-1.9449e-06
10:20:29;-100;-100.0694;2.2623591000000004e-06;1.675595998443518e-10;-2.26052e-06
10:20:49;-125;-125.0235;2.5584044e-06;2.997687475371562e-10;-2.559028e-06
10:21:09;-150;-150.004;2.8491125500000004e-06;3.5438801810303386e-10;-2.846322e-06
10:21:29;-175;-175.0402;3.1339916000000004e-06;5.034211080199183e-10;-3.131891e-06
10:21:49;-200;-200.0695;3.4228263499999997e-06;3.6893060509396104e-10;-3.427016e-06
10:22:09;-225;-225.0804;3.7053073500000005e-06;6.134839740164402e-10;-3.706546e-06
10:22:29;-250;-250.0593;3.9786027e-06;5.870382189431936e-10;-3.973959e-06
10:22:49;-275;-275.0323;4.2546967499999995e-06;6.607038704102071e-10;-4.255837e-06
10:23:09;-300;-300.0102;4.53412365e-06;8.434087066037401e-10;-4.532084e-06
10:23:29;-325;-325.0422;4.80277545e-06;5.209587194538689e-10;-4.805182e-06
10:23:49;-350;-350.0537;5.1025548999999995e-06;1.1233700812733175e-09;-5.098111e-06
10:24:09;-375;-375.0868;5.4008244000000004e-06;1.5547075229765817e-09;-5.417579e-06
10:24:29;-400;-400.064;5.6891571e-06;1.250847730341319e-09;-5.695359e-06
10:24:49;-425;-425.0359;5.995611e-06;1.141244802835934e-09;-5.998773e-06
10:25:09;-450;-449.9908;6.30909445e-06;9.230557119562072e-10;-6.312142e-06
10:25:29;-475;-475.0251;6.625361549999998e-06;1.0784196805395417e-09;-6.631014e-06
10:25:49;-500;-500.0566;6.96271595e-06;1.6851770997064403e-09;-6.967819e-06
10:26:09;-525;-525.0873;7.327160499999999e-06;7.63219304983836e-10;-7.33435e-06
10:26:29;-550;-550.071;7.694930050000001e-06;1.3907579560710495e-09;-7.693676e-06
10:26:49;-575;-575.0275;8.064592200000002e-06;1.7017936546479439e-09;-8.071212e-06
10:27:09;-600;-600.0037;8.463319600000002e-06;1.3853561264166104e-09;-8.451275e-06
10:27:29;-625;-625.0311;8.88501535e-06;1.8355948821499414e-09;-8.891169e-06
10:27:49;-650;-650.0594;9.3437124e-06;1.4012536536972722e-09;-9.337887e-06
10:28:09;-675;-675.0724;9.7829228e-06;2.063614684964224e-09;-9.784123e-06
10:28:29;-700;-700.0598;1.0271290499999998e-05;1.924096862816442e-09;-1.026123e-05
10:28:49;-725;-725.0117;1.0747455e-05;3.0051511193282964e-09;-1.076651e-05
10:29:09;-750;-749.9836;1.1263386e-05;2.034331757604952e-09;-1.126927e-05
10:29:29;-775;-775.0026;1.1789743999999999e-05;1.2781677120002562e-09;-1.178943e-05
10:29:49;-800;-800.0079;1.2312768e-05;1.8113767692006928e-09;-1.231353e-05
10:30:09;-825;-825.0347;1.2881361e-05;2.894031694712423e-09;-1.28717e-05
10:30:29;-850;-850.0138;1.3415455499999999e-05;3.374643423756058e-09;-1.340487e-05
10:30:49;-875;-874.9788;1.3953403e-05;1.4302164346699458e-09;-1.396508e-05
10:31:09;-900;-899.9452;1.4536023499999999e-05;2.3144213396656777e-09;-1.454715e-05
