time (19.03.2024);set voltage (V);real voltage (V);current (A);delta current;input current (A)
15:57:20;-25;-25.03662;1.27496175e-06;1.3791185364209939e-10;-1.276193e-06
15:57:35;-50;-50.06874;1.8717571999999998e-06;2.8315392986854837e-10;-1.872805e-06
15:57:50;-75;-75.09528;2.3038564000000003e-06;3.5013132107823365e-10;-2.306594e-06
15:58:04;-100;-100.0715;2.6893517499999993e-06;3.497756843678519e-10;-2.692662e-06
15:58:19;-125;-125.027;3.04086445e-06;2.915504285282411e-10;-3.04433e-06
15:58:34;-150;-150.008;3.39816135e-06;2.858200157004329e-10;-3.400471e-06
15:58:48;-175;-175.0417;3.74817725e-06;3.8803552591869833e-10;-3.751237e-06
15:59:03;-200;-200.0715;4.11021705e-06;6.553300331703219e-10;-4.110343e-06
15:59:17;-225;-225.0842;4.4705575e-06;3.854560578068591e-10;-4.4749e-06
15:59:32;-250;-250.0629;4.83567335e-06;5.499431210361664e-10;-4.837153e-06
15:59:47;-275;-275.0362;5.21097905e-06;5.249034410013207e-10;-5.216658e-06
16:00:02;-300;-300.0139;5.5955439999999996e-06;7.333662727450627e-10;-5.599914e-06
16:00:17;-325;-325.0461;5.999019999999999e-06;6.550748773995087e-10;-6.00508e-06
16:00:31;-350;-350.0586;6.401457449999999e-06;1.3851799530656777e-09;-6.397036e-06
16:00:45;-375;-375.0887;6.8358701000000004e-06;8.400904472138708e-10;-6.846745e-06
16:01:00;-400;-400.0671;7.2698500499999995e-06;8.658968399151245e-10;-7.279386e-06
16:01:15;-425;-425.0401;7.72745045e-06;1.0549828493274262e-09;-7.730593e-06
16:01:30;-450;-449.9955;8.206942250000002e-06;7.653302649020549e-10;-8.203466e-06
16:01:45;-475;-475.0282;8.716166349999999e-06;1.2433954826904411e-09;-8.717241e-06
16:02:00;-500;-500.0591;9.228880349999998e-06;1.1883351910866692e-09;-9.242764e-06
16:02:15;-525;-525.0922;9.76951535e-06;8.995428707821923e-10;-9.770384e-06
16:02:29;-550;-550.0709;1.0308985500000001e-05;1.5686651132411632e-09;-1.032129e-05
16:02:44;-575;-575.0199;1.0897019000000001e-05;1.4070596824584049e-09;-1.098926e-05
16:02:59;-600;-599.9985;1.1568812500000001e-05;1.4805193134504751e-09;-1.156802e-05
16:03:13;-625;-625.0255;1.21749685e-05;1.270366143086354e-09;-1.218674e-05
16:03:28;-650;-650.0517;1.282609e-05;2.3299820814761865e-09;-1.280645e-05
16:03:43;-675;-675.0621;1.3566268000000002e-05;3.631988615070274e-09;-1.356231e-05
16:03:57;-700;-700.046;1.4302852999999998e-05;2.2836169884636783e-09;-1.430263e-05
16:04:12;-725;-725.0137;1.5042081999999999e-05;2.228799183416937e-09;-1.506354e-05
16:04:27;-750;-749.9865;1.58336215e-05;1.998354357340061e-09;-1.585796e-05
16:04:41;-775;-775.006;1.6655651000000003e-05;2.3216558638180016e-09;-1.66574e-05
16:04:56;-800;-800.0108;1.7501375e-05;1.1973375672716767e-09;-1.74979e-05
16:05:10;-825;-825.0359;1.84070955e-05;2.4464607574003776e-09;-1.837434e-05
16:05:25;-850;-850.017;1.9267005500000002e-05;2.718545242864241e-09;-1.925036e-05
16:05:40;-875;-874.9824;2.0237267499999998e-05;3.8148422559130765e-09;-2.028971e-05
16:05:54;-900;-899.9498;2.11429045e-05;1.3108881483559174e-09;-2.116599e-05
