time (09.11.2023);set voltage (V);real voltage (V);current (A);delta current;input current (A)
08:39:41;-25;-25.03669;3.2029217499999998e-06;2.4740798763126006e-09;-3.203179e-06
08:39:56;-50;-50.06947;4.977161850000001e-06;1.0003264648978412e-09;-4.989997e-06
08:40:10;-75;-75.09753;6.396637650000001e-06;5.76658798999677e-09;-6.43247e-06
08:40:25;-100;-100.075;7.647306550000002e-06;1.3063405078213573e-09;-7.665707e-06
08:40:40;-125;-125.0299;8.7698432e-06;2.258727234085584e-09;-8.778082e-06
08:40:55;-150;-150.0126;9.7909122e-06;3.3855269579490773e-09;-9.77774e-06
08:41:10;-175;-175.0354;1.07602835e-05;4.664289564070833e-09;-1.080574e-05
08:41:24;-200;-200.0644;1.1773665e-05;4.036189818380701e-09;-1.175451e-05
08:41:39;-225;-225.0775;1.2725455499999999e-05;3.3942635044292247e-09;-1.271575e-05
08:41:53;-250;-250.0554;1.3603731e-05;5.31042662598778e-09;-1.358869e-05
08:42:08;-275;-275.0287;1.44908085e-05;5.3793568051859254e-09;-1.454715e-05
08:42:23;-300;-300.007;1.5393320999999998e-05;8.193750694889364e-09;-1.545407e-05
08:42:38;-325;-325.038;1.6259066000000002e-05;7.419728714717248e-09;-1.622801e-05
08:42:52;-350;-350.0505;1.7083471500000002e-05;8.171989515258839e-09;-1.711946e-05
08:43:07;-375;-375.0807;1.7864194500000006e-05;2.5106604185950994e-09;-1.786727e-05
08:43:22;-400;-400.058;1.8783581e-05;4.567918940830726e-09;-1.877407e-05
08:43:36;-425;-425.0307;1.9652847e-05;7.910869519212234e-09;-1.961675e-05
08:43:51;-450;-449.9863;2.0676962e-05;6.446915875052251e-09;-2.069612e-05
08:44:06;-475;-475.0178;2.1436258e-05;1.1056481528949475e-08;-2.135168e-05
08:44:21;-500;-500.0496;2.2240669e-05;4.878637304617019e-09;-2.227347e-05
08:44:36;-525;-525.0806;2.3084895e-05;5.002155210506772e-09;-2.315533e-05
08:44:50;-550;-550.0642;2.40917425e-05;9.232057649164628e-09;-2.420537e-05
08:45:05;-575;-575.0201;2.4933780000000004e-05;7.3082451039904495e-09;-2.499799e-05
08:45:20;-600;-599.9966;2.5887921500000002e-05;9.179957796063123e-09;-2.583786e-05
08:45:35;-625;-625.0237;2.6927832500000002e-05;1.4345866859046838e-08;-2.696012e-05
08:45:49;-650;-650.0517;2.7817671500000002e-05;9.043897480483711e-09;-2.780367e-05
08:46:04;-675;-675.0621;2.8768933999999998e-05;1.9792190725131956e-08;-2.875293e-05
08:46:19;-700;-700.0443;2.98424845e-05;1.2960379748969557e-08;-2.992065e-05
08:46:34;-725;-725.0126;3.0741486e-05;1.8505799717926272e-08;-3.079688e-05
08:46:49;-750;-749.984;3.19359285e-05;1.0187353956621776e-08;-3.188332e-05
08:47:03;-775;-775.0048;3.26300075e-05;1.2967456359575837e-08;-3.263493e-05
08:47:18;-800;-800.0108;3.36726685e-05;1.0791747015080807e-08;-3.366901e-05
08:47:33;-825;-825.0359;3.4494460000000004e-05;9.062150765684696e-09;-3.456055e-05
08:47:47;-850;-850.0147;3.5488245e-05;1.399144491287445e-08;-3.55716e-05
08:48:02;-875;-874.981;3.6680674499999996e-05;9.452699917880558e-09;-3.659674e-05
08:48:16;-900;-899.9471;3.7439899499999996e-05;1.3117242649943581e-08;-3.742247e-05
