time (08.01.2024);set voltage (V);real voltage (V);current (A);delta current;input current (A)
10:57:05;-25;-25.04608;2.5314530500000004e-06;5.355906621432054e-10;-2.532031e-06
10:57:19;-50;-50.07959;3.7667468e-06;7.850134986100464e-10;-3.766222e-06
10:57:34;-75;-75.10768;4.7078759500000005e-06;9.367034949091607e-10;-4.703712e-06
10:57:49;-100;-100.0842;5.533492099999999e-06;1.125641461345465e-09;-5.540669e-06
10:58:04;-125;-125.0369;6.304354799999999e-06;1.236883952923655e-09;-6.310027e-06
10:58:19;-150;-150.0179;7.05564375e-06;1.4279565537421052e-09;-7.059971e-06
10:58:34;-175;-175.053;7.8089605e-06;1.9396255070244745e-09;-7.802637e-06
10:58:48;-200;-200.0848;8.52076495e-06;1.747801052000718e-09;-8.540106e-06
10:59:03;-225;-225.0988;9.265084900000003e-06;3.0605352586598386e-09;-9.25481e-06
10:59:18;-250;-250.0763;9.993297649999999e-06;2.1469637610763613e-09;-9.983856e-06
10:59:32;-275;-275.0369;1.0729264e-05;1.5708065444223302e-09;-1.073426e-05
10:59:47;-300;-300.0141;1.14504315e-05;1.5736324658255035e-09;-1.145127e-05
11:00:02;-325;-325.0475;1.2158136500000001e-05;3.060270271969471e-09;-1.214813e-05
11:00:17;-350;-350.0623;1.2952377e-05;2.9603944078450137e-09;-1.295446e-05
11:00:31;-375;-375.0931;1.36581205e-05;3.754429082763469e-09;-1.365844e-05
11:00:46;-400;-400.0687;1.4427364000000003e-05;3.200340091302783e-09;-1.442223e-05
11:01:01;-425;-425.0413;1.5219309e-05;2.7281954567076448e-09;-1.522564e-05
11:01:15;-450;-449.9953;1.59845375e-05;2.7934017680061594e-09;-1.597239e-05
11:01:30;-475;-475.0276;1.6775257e-05;4.368335958920686e-09;-1.679046e-05
11:01:45;-500;-500.0606;1.7552197e-05;2.197834741285133e-09;-1.754814e-05
11:02:00;-525;-525.0921;1.8394082500000003e-05;8.036039225731719e-09;-1.831644e-05
11:02:14;-550;-550.0746;1.9191297999999998e-05;3.836547445295039e-09;-1.918073e-05
11:02:29;-575;-575.0301;2.00273555e-05;3.4079643098922765e-09;-2.008237e-05
11:02:44;-600;-600.0053;2.0922080000000003e-05;7.692191235272288e-09;-2.093142e-05
11:02:58;-625;-625.0322;2.17715885e-05;3.596161444860307e-09;-2.179772e-05
11:03:13;-650;-650.0624;2.2617014e-05;4.043967692749349e-09;-2.259733e-05
11:03:28;-675;-675.077;2.3451642000000002e-05;3.666814121277417e-09;-2.346071e-05
11:03:42;-700;-700.0551;2.43246535e-05;3.311032714652673e-09;-2.435127e-05
11:03:57;-725;-725.0236;2.5239320999999998e-05;3.914322859703859e-09;-2.519603e-05
11:04:12;-750;-749.9934;2.6146247000000002e-05;4.37605165074633e-09;-2.618718e-05
11:04:27;-775;-775.0143;2.7135574e-05;7.701015497971606e-09;-2.711936e-05
11:04:41;-800;-800.0223;2.8043571499999996e-05;4.305675514655185e-09;-2.802848e-05
11:04:56;-825;-825.0488;2.88765835e-05;4.448241634342713e-09;-2.890032e-05
11:05:11;-850;-850.0264;2.9886135500000002e-05;4.310170151803703e-09;-2.993726e-05
11:05:26;-875;-874.9922;3.08926965e-05;4.8345846396044555e-09;-3.088063e-05
11:05:41;-900;-899.9573;3.1729033999999994e-05;3.7200618543244203e-09;-3.171833e-05
