time (15.01.2024);set voltage (V);real voltage (V);current (A);delta current;input current (A)
11:33:08;-25;-25.03898;3.1426441500000005e-06;9.853997672898992e-10;-3.128842e-06
11:33:23;-50;-50.07081;4.472913700000001e-06;1.970254972205367e-09;-4.497118e-06
11:33:38;-75;-75.09854;5.5474851e-06;3.1577174540322728e-09;-5.533795e-06
11:33:53;-100;-100.0759;6.51969785e-06;2.0500839717862892e-09;-6.475446e-06
11:34:08;-125;-125.0311;7.4058012e-06;2.38789769001942e-09;-7.404844e-06
11:34:23;-150;-150.0119;8.293774650000001e-06;2.069386351403491e-09;-8.288258e-06
11:34:38;-175;-175.047;9.0817426e-06;1.9100662938757407e-09;-9.08775e-06
11:34:52;-200;-200.0771;9.85478e-06;2.0935490142339765e-09;-9.862351e-06
11:35:07;-225;-225.0787;1.0610377500000001e-05;2.231622938020653e-09;-1.061568e-05
11:35:22;-250;-250.0574;1.13699795e-05;1.9897853496043274e-09;-1.138954e-05
11:35:36;-275;-275.0307;1.2099289499999999e-05;3.439211572075781e-09;-1.210398e-05
11:35:51;-300;-300.0066;1.2855539999999999e-05;2.441748349031914e-09;-1.285513e-05
11:36:06;-325;-325.041;1.3586136000000004e-05;4.572656634824022e-09;-1.360774e-05
11:36:20;-350;-350.0522;1.43350885e-05;2.5306014378997125e-09;-1.435385e-05
11:36:35;-375;-375.0829;1.5034885500000001e-05;4.076850958460483e-09;-1.501248e-05
11:36:50;-400;-400.0601;1.5797169e-05;4.849465480854576e-09;-1.578454e-05
11:37:04;-425;-425.0329;1.6474493499999995e-05;5.173565418306839e-09;-1.652114e-05
11:37:19;-450;-449.9885;1.73040095e-05;7.843284945576043e-09;-1.726662e-05
11:37:34;-475;-475.0206;1.7952764e-05;3.0798021365016175e-09;-1.79479e-05
11:37:48;-500;-500.0516;1.8666009999999998e-05;5.864251401500371e-09;-1.867523e-05
11:38:03;-525;-525.0835;1.9425893e-05;6.3768809421221435e-09;-1.946366e-05
11:38:18;-550;-550.0668;2.0182427e-05;7.471637139877698e-09;-2.011362e-05
11:38:33;-575;-575.0212;2.0892528499999998e-05;7.163884884439531e-09;-2.077714e-05
11:38:48;-600;-599.9982;2.1592537499999996e-05;4.708742766121354e-09;-2.158005e-05
11:39:03;-625;-625.0255;2.22871585e-05;4.107945914626925e-09;-2.236062e-05
11:39:17;-650;-650.0529;2.3079618e-05;4.6236763835718315e-09;-2.309062e-05
11:39:32;-675;-675.0654;2.3819406e-05;9.201125431163385e-09;-2.380078e-05
11:39:47;-700;-700.0464;2.4568073e-05;7.341319333062737e-09;-2.463549e-05
11:40:01;-725;-725.0142;2.5195957e-05;1.051561572377014e-08;-2.524401e-05
11:40:17;-750;-749.9864;2.5908735500000005e-05;9.144961521925626e-09;-2.590675e-05
11:40:32;-775;-775.0069;2.66306785e-05;2.7996216954259874e-09;-2.664492e-05
11:40:47;-800;-800.0137;2.74639145e-05;6.0839184525681995e-09;-2.739563e-05
11:41:01;-825;-825.0381;2.8145432e-05;9.070847441115983e-09;-2.815677e-05
11:41:16;-850;-850.0167;2.8926362999999997e-05;7.010431445353373e-09;-2.892513e-05
11:41:30;-875;-874.9824;2.9727169999999997e-05;1.1889038228553258e-08;-2.965434e-05
11:41:45;-900;-899.9494;3.0477584000000004e-05;6.072649932278243e-09;-3.046231e-05
