Num;Voltage;Ileak[nA];CCE[a.u.];CCE2[a.u.];CCE2err[a.u.];MPV[mV];Noise[mV]
0;100;1.484982e-005;1.163570e+002;110.449226;0.515491;53.280500;10.043188
1;150;1.883937e-005;1.656345e+002;157.611139;0.673674;74.407165;12.349286
2;200;2.245246e-005;2.093819e+002;201.235646;0.683141;81.636456;9.652875
3;250;2.575242e-005;2.578791e+002;251.412985;0.716054;92.084674;9.276073
4;300;2.901224e-005;2.990045e+002;291.531784;0.673862;115.051925;15.502479
5;350;3.262667e-005;3.486566e+002;342.213502;0.584574;116.475563;9.264105
6;400;3.600016e-005;3.915461e+002;383.496605;0.578660;127.833593;8.397702
7;450;3.929927e-005;4.424744e+002;433.643960;0.622935;141.749975;10.170793
8;500;4.269985e-005;4.897090e+002;480.047382;0.627466;152.789265;8.165935
9;550;4.676228e-005;5.367455e+002;527.644268;0.640829;166.656033;8.607599
10;600;5.033281e-005;5.804921e+002;569.973809;0.644331;178.098232;11.346577
11;650;5.432429e-005;6.255671e+002;613.289805;0.574852;190.588085;8.779898
12;700;5.817995e-005;6.693503e+002;656.562451;0.651474;202.475191;10.177043
13;750;6.248061e-005;7.137399e+002;700.843304;0.631286;218.770174;11.064715
14;800;6.762036e-005;7.526741e+002;738.834491;0.668599;230.205203;10.185257
15;850;7.401966e-005;7.878596e+002;774.000540;0.660430;236.585493;7.887348
16;900;8.186664e-005;8.294054e+002;815.180764;0.664354;247.021961;9.453686
