Num;Voltage;Ileak[nA];CCE[a.u.];CCE2[a.u.];CCE2err[a.u.];MPV[mV];Noise[mV]
0;100;8.842372e-006;1.072779e+002;107.383373;0.638508;47.248875;8.618487
1;150;1.110764e-005;1.450031e+002;144.734542;0.666780;57.369801;9.035295
2;200;1.323195e-005;1.833763e+002;183.313804;0.627854;67.416837;8.354248
3;250;1.527271e-005;2.250777e+002;224.850430;0.615027;77.995877;7.646878
4;300;1.728686e-005;2.676366e+002;268.203290;0.677119;89.631628;11.824520
5;350;1.943917e-005;3.097341e+002;309.594801;0.567452;101.726377;8.162454
6;400;2.137626e-005;3.553722e+002;355.312852;0.672559;115.412561;7.117653
7;450;2.336018e-005;4.003091e+002;401.009947;0.631986;127.401685;7.529152
8;500;2.551182e-005;4.508141e+002;451.472995;0.572439;139.301564;7.342535
9;550;2.737670e-005;5.068025e+002;506.671734;0.650040;153.107546;7.317913
10;600;2.920218e-005;5.675381e+002;567.914307;0.627988;171.187727;9.025665
11;650;3.099986e-005;6.265392e+002;625.862435;0.640234;184.482407;7.688208
12;700;3.298580e-005;6.749434e+002;675.640892;0.627971;198.586210;7.404962
13;750;3.477939e-005;7.181575e+002;717.818207;0.627199;211.402448;7.671813
14;800;3.728267e-005;7.551375e+002;754.185369;0.733023;220.142535;8.144055
15;850;4.014682e-005;7.932483e+002;793.121751;0.609721;232.396749;6.547738
16;900;4.325022e-005;8.326570e+002;832.470805;0.681408;241.128603;8.018559
