Num,Voltage,Ileak[nA],CCE[a.u.],CCE2[a.u.],MPV[mV],Noise[mV],Error mu,Error mean
0,-900.0,-0.000104992,768.5265470953185,768.5265470953185,231.75634517766497,1.576524997606024,0.7238847416105008,0.7238847416105008
1,-850.0,-7.363351e-05,723.698849804578,723.698849804578,218.45226130653268,1.5706097139086252,0.4553791262112914,0.4553791262112914
2,-800.0,-6.736969e-05,682.5582132886651,682.5582132886651,207.95979899497488,1.5606417885514,0.41219631011750346,0.41219631011750346
3,-750.0,-6.189686e-05,641.5855276381907,641.5855276381907,194.33165829145727,1.684483940717126,0.3970888687529933,0.3970888687529933
4,-700.0,-5.68633e-05,599.0167191513119,599.0167191513119,183.47738693467338,1.471407413994496,0.45393462476687874,0.45393462476687874
5,-650.0,-5.253544e-05,559.3711133445,559.3711133445,170.45226130653268,1.4723557068069624,0.3783024155345286,0.3783024155345286
6,-600.0,-4.865841e-05,517.1713679508653,517.1713679508653,159.31658291457288,1.4370056159790368,0.3468593753613983,0.3468593753613983
7,-550.0,-4.478494e-05,472.80119709659385,472.80119709659385,144.9246231155779,1.5936598139131415,0.4130969658522598,0.4130969658522598
8,-500.0,-4.078061e-05,426.8200201005023,426.8200201005023,132.78391959798995,1.54989502235721,0.3736304711949646,0.3736304711949646
9,-450.0,-3.752218e-05,390.06658179787803,390.06658179787803,120.0,1.2987418027645812,0.32030969460685976,0.32030969460685976
10,-400.0,-3.360716e-05,349.19386264656595,349.19386264656595,107.57788944723617,1.1413939375131585,0.3980341906374108,0.3980341906374108
11,-350.0,-3.023426e-05,309.1624165270797,309.1624165270797,96.0,1.1509017362636524,0.3928212403267279,0.3928212403267279
12,-300.0,-2.712346e-05,269.0740636515912,269.0740636515912,84.10050251256281,0.9898964067175753,0.41647497097429115,0.41647497097429115
13,-250.0,-2.38147e-05,227.9342132886655,227.9342132886655,72.36180904522612,0.9931359806153968,0.4126017571636023,0.4126017571636023
14,-200.0,-2.047573e-05,189.96657956448902,189.96657956448902,62.07035175879397,0.8473643327795057,0.36489939184522946,0.36489939184522946
15,-150.0,-1.697675e-05,149.5455410385259,149.5455410385259,48.36180904522613,0.7886125615281032,0.41001768988253556,0.41001768988253556
16,-100.0,-1.332135e-05,110.01987716359572,110.01987716359572,37.66834170854271,0.7670030386973318,0.3811612865460435,0.3811612865460435
