Num;Voltage;Ileak[nA];CCE[a.u.];CCE2[a.u.];CCE2err[a.u.];MPV[mV];Noise[mV]
0;100;3.003714e-006;1.217438e+002;122.049923;0.758914;53.674136;14.645165
1;150;3.730448e-006;1.666522e+002;166.539758;0.734310;75.677913;20.407032
2;200;4.450967e-006;2.109243e+002;211.150843;0.754975;88.293987;14.672935
3;250;5.171199e-006;2.602913e+002;260.396998;1.021244;115.614551;36.352532
4;300;5.889986e-006;3.093676e+002;309.748547;0.828996;118.165328;16.334783
5;350;6.630054e-006;3.637931e+002;364.600753;0.749541;126.941435;19.126257
6;400;7.359977e-006;4.242848e+002;423.841515;0.844946;142.877232;17.956329
7;450;8.101330e-006;4.888357e+002;489.177986;0.808877;157.766624;11.353556
8;500;8.831206e-006;5.593226e+002;559.212080;0.648722;174.930726;13.036565
9;550;9.537622e-006;6.302254e+002;630.261065;0.769885;191.480086;12.975075
10;600;1.020017e-005;7.100045e+002;710.267663;0.898095;218.749536;14.393044
11;650;1.088071e-005;7.943121e+002;794.562359;0.776485;240.171773;16.176733
12;700;1.154085e-005;8.650208e+002;864.548886;0.687110;259.157519;11.864640
13;750;1.222236e-005;9.199258e+002;919.639137;0.742278;271.024060;10.927377
14;800;1.286013e-005;9.558504e+002;956.220567;0.876133;287.126749;12.236464
15;850;1.351118e-005;9.913365e+002;990.949314;0.906922;295.208812;13.206712
16;900;1.412568e-005;1.019173e+003;1019.034348;0.973028;302.905499;12.095668
