Num;Voltage;Ileak[nA];CCE[a.u.];CCE2[a.u.];CCE2err[a.u.];MPV[mV];Noise[mV]
0;100;3.869728e-006;1.530466e+002;132.864977;0.629825;63.541456;8.754149
1;150;4.881142e-006;2.112815e+002;184.929005;0.598394;80.090637;7.605492
2;200;5.865455e-006;2.670017e+002;243.375629;0.548074;96.124756;10.977893
3;250;6.833118e-006;3.281277e+002;304.582345;0.559469;107.821299;9.153307
4;300;7.807977e-006;3.883694e+002;364.374022;0.569044;123.371657;10.250654
5;350;8.805409e-006;4.515846e+002;427.388766;0.572471;141.049773;7.553820
6;400;9.700015e-006;5.300809e+002;503.903356;0.578332;159.047209;12.180944
7;450;1.051206e-005;6.094318e+002;581.566223;0.611291;179.919507;9.146064
8;500;1.133600e-005;6.901659e+002;658.174402;0.707030;205.791078;11.202780
9;550;1.215205e-005;7.858210e+002;753.684489;0.619189;231.817814;10.830522
10;600;1.287675e-005;8.789808e+002;843.714554;0.646519;253.618069;8.454325
11;650;1.357344e-005;9.468937e+002;911.204693;0.698733;270.981588;6.791185
12;700;1.427173e-005;9.854371e+002;949.830862;0.671893;282.985815;8.023625
13;750;1.493145e-005;1.030707e+003;992.692088;0.736817;293.748371;6.535693
14;800;1.556236e-005;1.075603e+003;1037.655474;0.734427;306.763617;7.377231
15;850;1.636232e-005;1.099153e+003;1060.008190;0.665422;314.353197;8.191690
16;900;1.739927e-005;1.135395e+003;1095.672168;0.829008;325.228136;9.219336
