Num;Voltage;Ileak[nA];CCE[a.u.];CCE2[a.u.];CCE2err[a.u.];MPV[mV];Noise[mV]
0;100;5.436830e-006;2.017596e+002;207.751936;0.496186;60.991195;1.704108
1;150;6.769245e-006;2.799700e+002;285.656736;0.540408;82.491528;1.885034
2;200;8.032667e-006;3.587164e+002;365.929395;0.510950;104.304311;1.577703
3;250;9.138229e-006;4.421302e+002;449.331325;0.588538;126.721097;1.587921
4;300;1.010186e-005;5.319177e+002;539.106395;0.598443;151.383659;1.832026
5;350;1.100968e-005;6.314013e+002;639.831281;0.514866;178.523370;1.777811
6;400;1.185852e-005;7.463226e+002;755.648073;0.551664;210.150858;1.508070
7;450;1.254995e-005;8.516497e+002;861.181783;0.640823;240.136085;1.745424
8;500;1.304647e-005;9.293555e+002;939.174360;0.590548;263.279485;1.757515
9;550;1.364844e-005;9.861259e+002;996.485752;0.695631;281.108909;1.380589
10;600;1.430953e-005;1.028597e+003;1038.760750;0.678460;294.520716;1.689184
11;650;1.493188e-005;1.062736e+003;1073.526595;0.687896;305.500684;1.464105
12;700;1.557604e-005;1.093265e+003;1104.177205;0.726058;313.797657;1.688280
13;750;1.631386e-005;1.133786e+003;1145.647530;0.682987;323.630121;1.774404
14;800;1.700095e-005;1.166494e+003;1178.383311;0.636591;333.197529;1.543661
15;850;1.774552e-005;1.191494e+003;1203.191874;0.783005;342.418581;1.726573
16;900;1.868492e-005;1.210244e+003;1222.129401;0.721840;348.760382;1.628489
