Num,Voltage,Ileak[nA],CCE[a.u.],CCE2[a.u.],MPV[mV],Noise[mV],Error mu,Error mean
0,-900.0,-9.029829e-06,908.3003640424342,908.3003640424342,349.9497487437186,6.745096870031568,0.416986583064465,0.416986583064465
1,-850.0,-8.062256e-06,845.6465616973755,845.6465616973755,328.36180904522615,6.703904035348783,0.31695928579473315,0.31695928579473315
2,-800.0,-7.181234e-06,786.1966722501394,786.1966722501394,308.46231155778895,6.744155456215589,0.37402102713333857,0.37402102713333857
3,-750.0,-6.513304e-06,728.792442211055,728.792442211055,287.9597989949749,6.753668606844359,0.41262068383166345,0.41262068383166345
4,-700.0,-5.867794e-06,671.623843662758,671.623843662758,267.21608040201005,6.742686791047427,0.4029484383858496,0.4029484383858496
5,-650.0,-5.347563e-06,618.8431044109435,618.8431044109435,248.20100502512562,6.733960694522894,0.38822411627731307,0.38822411627731307
6,-600.0,-4.860495e-06,567.0369804578446,567.0369804578446,230.31155778894473,6.734937583451331,0.38579602578891997,0.38579602578891997
7,-550.0,-4.410535e-06,516.4586130653265,516.4586130653265,209.7286432160804,6.774061501631163,0.32777069722033064,0.32777069722033064
8,-500.0,-4.031187e-06,469.9523394751534,469.9523394751534,192.28140703517587,6.797550826366672,0.3506139931408178,0.3506139931408178
9,-450.0,-3.724958e-06,422.78852037967613,422.78852037967613,175.43718592964825,6.768040052831721,0.4087167638754067,0.4087167638754067
10,-400.0,-3.314613e-06,374.52097822445563,374.52097822445563,156.46231155778895,6.778068109391561,0.31274608384794406,0.31274608384794406
11,-350.0,-3.05687e-06,330.18446901172524,330.18446901172524,136.96482412060303,6.773532142967149,0.32594758188288125,0.32594758188288125
12,-300.0,-2.707275e-06,288.2919486320491,288.2919486320491,120.04020100502512,6.749464727378175,0.301102119794078,0.301102119794078
13,-250.0,-2.359805e-06,244.9082568397543,244.9082568397543,103.678391959799,6.805772108576134,0.27907703216948015,0.27907703216948015
14,-200.0,-2.046941e-06,201.3399620323841,201.3399620323841,86.71356783919597,6.826694706141381,0.3354790575796606,0.3354790575796606
15,-150.0,-1.722971e-06,155.56597208263537,155.56597208263537,67.69849246231156,6.791631697087385,0.3136743400465413,0.3136743400465413
16,-100.0,-1.346578e-06,113.94898045784475,113.94898045784475,49.4070351758794,6.814557624569571,0.29472782182163465,0.29472782182163465
