Num,Voltage,Ileak[nA],CCE[a.u.],CCE2[a.u.],MPV[mV],Noise[mV],Error mu,Error mean
0,-900.0,-9.096689e-06,1015.9768442211054,1015.9768442211054,373.9899497487437,0.8912472047544093,0.47897221965980974,0.47897221965980974
1,-850.0,-7.684586e-06,943.6520737018421,943.6520737018421,349.8291457286432,0.8434281458472046,0.4986051088439341,0.4986051088439341
2,-800.0,-6.835236e-06,874.6593947515352,874.6593947515352,327.0753768844221,0.7439905405351769,0.3851608884943365,0.3851608884943365
3,-750.0,-6.089859e-06,810.9614383026241,810.9614383026241,304.643216080402,0.7155514005710724,0.3582609446945423,0.3582609446945423
4,-700.0,-5.491353e-06,750.4841719709658,750.4841719709658,284.1005025125628,0.76666036993422,0.4932912914989453,0.4932912914989453
5,-650.0,-4.922318e-06,692.0229771077609,692.0229771077609,263.31658291457285,0.7276990273583649,0.41796356752422015,0.41796356752422015
6,-600.0,-4.428767e-06,637.2305438302624,637.2305438302624,241.96984924623115,0.7106267762996477,0.37662422761617,0.37662422761617
7,-550.0,-4.064566e-06,582.87497934115,582.87497934115,223.356783919598,0.7912908853854875,0.35474645861572035,0.35474645861572035
8,-500.0,-3.697654e-06,524.0673232830818,524.0673232830818,200.1608040201005,0.9052169306152187,0.4019769830596194,0.4019769830596194
9,-450.0,-3.38623e-06,473.6136683417084,473.6136683417084,182.5929648241206,1.1188106138114453,0.3360774829274975,0.3360774829274975
10,-400.0,-3.09045e-06,422.3966945840312,422.3966945840312,160.76381909547737,1.2496971947502833,0.34072109691753283,0.34072109691753283
11,-350.0,-2.808665e-06,375.7567213847012,375.7567213847012,143.91959798994975,1.222966548757465,0.318262480562654,0.318262480562654
12,-300.0,-2.510262e-06,326.11723506420986,326.11723506420986,123.25628140703517,1.1201933798077126,0.3850400595460817,0.3850400595460817
13,-250.0,-2.204467e-06,276.51323283082064,276.51323283082064,104.04020100502512,1.0358077573637638,0.3919638693191237,0.3919638693191237
14,-200.0,-1.88007e-06,226.48717364600773,226.48717364600773,86.47236180904522,0.9499311721662614,0.3669274227319911,0.3669274227319911
15,-150.0,-1.574208e-06,176.87888330541588,176.87888330541588,64.60301507537689,0.9495854927049571,0.37209704466844723,0.37209704466844723
16,-100.0,-1.26475e-06,130.74320938023445,130.74320938023445,48.0,0.8590795811943619,0.3268746024337003,0.3268746024337003
