Num;Voltage;Ileak[nA];CCE[a.u.];CCE2[a.u.];CCE2err[a.u.];MPV[mV];Noise[mV]
0;100;4.479726e-006;1.819813e+002;184.478501;0.549382;81.376905;5.401583
1;150;5.621941e-006;2.475034e+002;250.141884;0.550681;105.205452;6.829945
2;200;6.675400e-006;3.082007e+002;311.344546;0.618963;125.243062;6.444851
3;250;7.642462e-006;3.699911e+002;371.366771;0.743067;147.720958;6.579636
4;300;8.603227e-006;4.331519e+002;434.718261;0.577076;171.902621;6.911473
5;350;9.539967e-006;4.928309e+002;494.196093;0.603644;192.275004;5.828197
6;400;1.040656e-005;5.546595e+002;555.871230;0.584062;214.866635;7.049970
7;450;1.132272e-005;6.179383e+002;619.358274;0.638937;234.337937;5.768612
8;500;1.217082e-005;6.822979e+002;684.612281;0.559625;257.056908;5.737387
9;550;1.299750e-005;7.462878e+002;747.556018;0.740244;278.488433;5.737172
10;600;1.397384e-005;8.119517e+002;811.962521;0.644756;302.163191;6.569088
11;650;1.489855e-005;8.781646e+002;879.047548;0.687449;323.981890;5.486029
12;700;1.586495e-005;9.423214e+002;943.113270;0.626590;344.265569;6.515070
13;750;1.680653e-005;1.006886e+003;1006.515449;0.734024;366.880234;7.306742
14;800;1.788707e-005;1.073876e+003;1074.413169;0.842952;389.477489;6.577615
15;850;1.909817e-005;1.148125e+003;1147.200674;0.708909;409.559118;5.412345
16;900;2.064444e-005;1.222290e+003;1222.231317;0.712583;432.007537;6.341556
