Num;Voltage;Ileak[nA];CCE[a.u.];CCE2[a.u.];CCE2err[a.u.];MPV[mV];Noise[mV]
0;100;5.502507e-006;1.488358e+002;151.815912;0.788787;91.575557;15.728432
1;150;7.059124e-006;2.016633e+002;206.093928;0.816572;111.409107;17.693163
2;200;8.504316e-006;2.544230e+002;257.912911;0.862807;127.418889;13.648891
3;250;9.881313e-006;3.033929e+002;306.987311;0.752609;144.018984;14.069698
4;300;1.117130e-005;3.528470e+002;354.741201;0.915192;166.844808;17.639528
5;350;1.251513e-005;3.987529e+002;403.372680;0.832184;177.942713;16.209209
6;400;1.390828e-005;4.490232e+002;451.647325;0.806591;198.279943;12.678458
7;450;1.526497e-005;4.943923e+002;497.528616;0.860497;215.145854;13.470266
8;500;1.662470e-005;5.488440e+002;551.684429;0.763298;231.873566;12.277455
9;550;1.796462e-005;6.009714e+002;602.817734;0.829645;253.527796;13.294702
10;600;1.942423e-005;6.504598e+002;653.565616;0.843839;273.231919;15.596144
11;650;2.104606e-005;6.994126e+002;701.181257;0.849489;292.907858;15.755015
12;700;2.279998e-005;7.511969e+002;753.807523;0.866041;305.139750;15.591324
13;750;2.433512e-005;8.000700e+002;802.069324;0.977339;324.183545;16.090714
14;800;2.602836e-005;8.609647e+002;862.814726;0.972581;346.337858;16.854886
15;850;2.805085e-005;9.203881e+002;923.614369;0.799285;360.938941;12.236356
16;900;3.006277e-005;9.703318e+002;973.893723;0.988861;381.036180;13.994210
