Num;Voltage;Ileak[nA];CCE[a.u.];CCE2[a.u.];CCE2err[a.u.];MPV[mV];Noise[mV]
0;100;4.734994e-006;1.864647e+002;189.487098;0.600798;88.905616;7.981998
1;150;5.843553e-006;2.528804e+002;256.301548;0.578038;110.526016;6.190568
2;200;6.864950e-006;3.162635e+002;320.000562;0.559898;134.740948;6.944000
3;250;7.804647e-006;3.805605e+002;383.565648;0.571810;157.985890;6.743221
4;300;8.782552e-006;4.446086e+002;448.014738;0.541408;182.794867;6.126949
5;350;9.676225e-006;5.094685e+002;512.807786;0.560663;207.065659;6.885741
6;400;1.056780e-005;5.704555e+002;573.091360;0.577353;229.375212;5.293745
7;450;1.138854e-005;6.298457e+002;634.065035;0.585002;252.053299;6.623896
8;500;1.219775e-005;6.896799e+002;693.446244;0.702625;276.211984;7.807812
9;550;1.309981e-005;7.551577e+002;760.153865;0.604157;294.875686;6.810451
10;600;1.399685e-005;8.219377e+002;826.125667;0.634719;318.228576;5.952382
11;650;1.474105e-005;8.813572e+002;885.115508;0.629645;341.439455;8.243038
12;700;1.555889e-005;9.419925e+002;945.896819;0.681498;361.518507;7.182449
13;750;1.640619e-005;1.014935e+003;1017.733216;0.797874;386.072021;7.420738
14;800;1.718548e-005;1.088130e+003;1091.807973;0.741912;409.466888;6.125956
15;850;1.801173e-005;1.152884e+003;1157.075432;0.678362;430.760682;6.311602
16;900;1.897715e-005;1.230373e+003;1234.252516;0.648125;451.927520;6.110842
