Num,Voltage,Ileak[nA],CCE[a.u.],CCE2[a.u.],MPV[mV],Noise[mV],Error mu,Error mean
0,-900.0,-2.862356e-05,973.5631401451701,973.5631401451701,384.24120603015075,3.012705034305659,1.1451107909981757,1.1451107909981757
1,-850.0,-2.802008e-05,921.2982780569511,921.2982780569511,365.9497487437186,3.035004228971759,0.6891980547030329,0.6891980547030329
2,-800.0,-2.657456e-05,872.2092774986039,872.2092774986039,350.3115577889447,3.031442977621662,0.5004275301367577,0.5004275301367577
3,-750.0,-2.501453e-05,817.0094204355106,817.0094204355106,330.8140703517588,3.052705139218161,0.4413954697518466,0.4413954697518466
4,-700.0,-2.358801e-05,769.8597699609154,769.8597699609154,313.04522613065325,2.9901794828852077,0.8961890725662354,0.8961890725662354
5,-650.0,-2.199873e-05,756.8483305415966,756.8483305415966,306.41206030150755,1.4805567025366944,0.41691848958151184,0.41691848958151184
6,-600.0,-2.049133e-05,705.1912540480175,705.1912540480175,287.31658291457285,1.3905844115684822,0.3987422897345426,0.3987422897345426
7,-550.0,-1.903469e-05,657.5896549413732,657.5896549413732,269.1457286432161,1.232089756149925,0.3888558208103283,0.3888558208103283
8,-500.0,-1.774026e-05,602.7019363484084,602.7019363484084,247.63819095477388,1.2607137444177778,0.37866416758001825,0.37866416758001825
9,-450.0,-1.625696e-05,550.4065214963705,550.4065214963705,226.3718592964824,1.3251079257336686,0.3931368147407507,0.3931368147407507
10,-400.0,-1.486905e-05,496.4084422110551,496.4084422110551,205.70854271356785,1.3699507936732165,0.3965338261145393,0.3965338261145393
11,-350.0,-1.363978e-05,436.0260145170294,436.0260145170294,183.11557788944722,1.8249145617531417,0.3784421861252812,0.3784421861252812
12,-300.0,-1.226928e-05,383.89261864879927,383.89261864879927,160.52261306532662,2.003270407191764,0.3494026529704309,0.3494026529704309
13,-250.0,-1.082902e-05,331.9595667225012,331.9595667225012,140.0603015075377,1.8470017155172354,0.34442685002018575,0.34442685002018575
14,-200.0,-9.818781e-06,283.60469011725286,283.60469011725286,119.8391959798995,1.7135382023238956,0.35494965361789427,0.35494965361789427
15,-150.0,-8.115501e-06,229.98709101060848,229.98709101060848,96.20100502512562,1.6822503371268294,0.4194619055708702,0.4194619055708702
16,-100.0,-6.318173e-06,171.34524176437742,171.34524176437742,72.12060301507537,1.3139812397359596,0.36351539806316135,0.36351539806316135
