Num,Voltage,Ileak[nA],CCE[a.u.],CCE2[a.u.],MPV[mV],Noise[mV],Error mu,Error mean
0,-900.0,-1.984464e-05,1562.161849246231,1562.161849246231,517.1457286432161,2.4935045820629766,0.9237346443823619,0.9237346443823619
1,-850.0,-1.947735e-05,1517.8707046342822,1517.8707046342822,502.5527638190955,2.5343228860780918,0.643420911301558,0.643420911301558
2,-800.0,-1.878483e-05,1476.2794237855942,1476.2794237855942,487.95979899497485,2.4668626453781686,0.7094134282885033,0.7094134282885033
3,-750.0,-1.820608e-05,1436.435475153545,1436.435475153545,474.13065326633165,2.316656549573043,0.6541860929426808,0.6541860929426808
4,-700.0,-1.767528e-05,1382.161545505304,1382.161545505304,455.91959798994975,2.332085505657265,0.6540894137848532,0.6540894137848532
5,-650.0,-1.704265e-05,1320.9197275265212,1320.9197275265212,435.5778894472362,2.1226688523238013,0.6259096883898834,0.6259096883898834
6,-600.0,-1.633452e-05,1246.1153947515352,1246.1153947515352,411.73869346733676,1.9845657751910857,0.5859061296424396,0.5859061296424396
7,-550.0,-1.564252e-05,1160.1054517029593,1160.1054517029593,383.79899497487435,2.029532927410397,0.5449565170580594,0.5449565170580594
8,-500.0,-1.499386e-05,1054.708868788386,1054.708868788386,350.67336683417085,2.055231783416755,0.5705191010412813,0.5705191010412813
9,-450.0,-1.415686e-05,938.6913232830816,938.6913232830816,314.73366834170855,1.9896384034730192,0.5153766354486826,0.5153766354486826
10,-400.0,-1.314417e-05,828.8764712451141,828.8764712451141,281.32663316582915,1.9726771888023877,0.43812263127630735,0.43812263127630735
11,-350.0,-1.230809e-05,728.8720759352314,728.8720759352314,250.29145728643215,1.9794090988707889,0.441985578324393,0.441985578324393
12,-300.0,-1.117301e-05,636.350249022892,636.350249022892,221.90954773869348,2.070406641135848,0.43018501190012354,0.43018501190012354
13,-250.0,-1.008711e-05,547.2890496929089,547.2890496929089,191.87939698492463,2.0097112934628294,0.374468469229998,0.374468469229998
14,-200.0,-9.212309e-06,457.3238458961472,457.3238458961472,160.04020100502512,1.9162333813039611,0.40660061268357595,0.40660061268357595
15,-150.0,-7.744323e-06,364.88249246231146,364.88249246231146,128.08040201005025,1.956749363130205,0.35283522075422274,0.35283522075422274
16,-100.0,-6.125332e-06,268.73135455053034,268.73135455053034,95.75879396984925,1.9800583476903337,0.40762684687204487,0.40762684687204487
