Num;Voltage;Ileak[nA];CCE[a.u.];CCE2[a.u.];CCE2err[a.u.];MPV[mV];Noise[mV]
0;100;7.452177e-006;1.833950e+002;166.607517;0.810309;82.946992;13.379632
1;150;9.580178e-006;2.513710e+002;227.290713;0.833782;103.272225;9.363636
2;200;1.146194e-005;3.134675e+002;288.419326;0.847007;121.253749;9.730839
3;250;1.321581e-005;3.735239e+002;344.123579;0.926583;145.535838;13.094882
4;300;1.490009e-005;4.356267e+002;399.167550;0.742120;163.210591;11.796051
5;350;1.660032e-005;4.983605e+002;456.157831;0.802100;184.599807;14.045910
6;400;1.825566e-005;5.601986e+002;512.978824;0.696661;202.415696;11.207825
7;450;1.990465e-005;6.190573e+002;567.961160;1.017001;221.799051;12.414542
8;500;2.161651e-005;6.809958e+002;626.018602;0.791039;240.081389;15.125472
9;550;2.318706e-005;7.409597e+002;683.721655;0.674569;262.724165;14.701016
10;600;2.482980e-005;8.065045e+002;741.053041;0.932464;282.854198;20.746783
11;650;2.660608e-005;8.740474e+002;808.556080;0.894250;302.398594;14.127548
12;700;2.825898e-005;9.501944e+002;875.716452;0.859641;322.450228;14.431072
13;750;2.981910e-005;1.028669e+003;950.113478;1.003254;345.313932;15.228598
14;800;3.171313e-005;1.112297e+003;1031.109971;0.833832;370.145783;14.145269
15;850;3.350023e-005;1.188821e+003;1099.294196;0.951781;393.651429;11.783864
16;900;3.514512e-005;1.258035e+003;1165.247387;0.859285;412.479414;9.765541
