Num,Voltage,Ileak[nA],CCE[a.u.],CCE2[a.u.],MPV[mV],Noise[mV],Error mu,Error mean
0,-900.0,-3.664499e-05,1162.9947604690115,1162.9947604690115,394.13065326633165,1.031464401894544,0.5571570375331781,0.5571570375331781
1,-850.0,-3.477861e-05,1092.2486566164152,1092.2486566164152,372.5829145728643,1.0210940968422473,0.5846025049946686,0.5846025049946686
2,-800.0,-3.265188e-05,1015.9199195979899,1015.9199195979899,348.8241206030151,1.0085886572424825,0.5750378621768322,0.5750378621768322
3,-750.0,-3.045708e-05,941.4850251256279,941.4850251256279,325.5075376884422,0.9147679582811559,0.5407892260274911,0.5407892260274911
4,-700.0,-2.845259e-05,868.18179787828,868.18179787828,303.43718592964825,0.9670399726070484,0.5585212817558542,0.5585212817558542
5,-650.0,-2.660328e-05,801.1427269681739,801.1427269681739,281.4472361809045,0.9726508803242141,0.4901405291071606,0.4901405291071606
6,-600.0,-2.473545e-05,733.4759664991622,733.4759664991622,260.5829145728643,0.9157486873366489,0.5041962515110523,0.5041962515110523
7,-550.0,-2.271189e-05,669.0702400893355,669.0702400893355,239.31658291457288,0.8593446244589666,0.4707355517671021,0.4707355517671021
8,-500.0,-2.085317e-05,609.4274215522053,609.4274215522053,218.41206030150755,0.8758992131599977,0.4084124326257762,0.4084124326257762
9,-450.0,-1.921438e-05,548.4204310441094,548.4204310441094,197.90954773869348,0.9561426740597693,0.4391332261513892,0.4391332261513892
10,-400.0,-1.741122e-05,489.36184924623103,489.36184924623103,176.76381909547737,0.9673266911243287,0.4544020328201221,0.4544020328201221
11,-350.0,-1.569388e-05,433.8789949748742,433.8789949748742,158.55276381909547,1.0752370275947025,0.41875511304538365,0.41875511304538365
12,-300.0,-1.401611e-05,380.75686878838627,380.75686878838627,137.0854271356784,1.0088069302682714,0.3731677133412014,0.3731677133412014
13,-250.0,-1.217221e-05,327.81212730318254,327.81212730318254,119.39698492462311,0.9419575314975749,0.3862674716477466,0.3862674716477466
14,-200.0,-1.039662e-05,272.11168732551636,272.11168732551636,97.44723618090453,0.8701674861130694,0.34663981786955,0.34663981786955
15,-150.0,-9.022814e-06,214.4779184812953,214.4779184812953,78.99497487437186,0.8411863658380027,0.3786529120275902,0.3786529120275902
16,-100.0,-6.795525e-06,156.70841317699603,156.70841317699603,56.321608040201006,0.7782386765525331,0.327935413691992,0.327935413691992
