Num;Voltage;Ileak[nA];CCE[a.u.];CCE2[a.u.];CCE2err[a.u.];MPV[mV];Noise[mV]
0;100;8.333572e-006;1.522174e+002;179.048846;0.786836;102.535186;13.468718
1;150;1.055622e-005;2.097472e+002;234.946292;0.852492;118.483511;14.553853
2;200;1.252836e-005;2.667451e+002;290.216302;0.895103;137.450145;15.729201
3;250;1.446943e-005;3.182471e+002;340.692329;0.802312;150.291462;16.207633
4;300;1.636682e-005;3.748141e+002;394.742367;1.093477;175.199653;30.821956
5;350;1.820749e-005;4.236619e+002;443.388281;1.011124;193.336612;40.496713
6;400;2.003464e-005;4.783261e+002;498.407501;0.869981;199.714874;15.852650
7;450;2.190546e-005;5.314827e+002;553.436007;0.762616;217.701897;15.525171
8;500;2.376649e-005;5.867413e+002;607.456149;0.909012;235.236667;15.434198
9;550;2.580142e-005;6.450630e+002;664.706917;0.881732;249.070695;15.665973
10;600;2.761196e-005;7.031698e+002;722.635670;0.909247;269.406671;14.870857
11;650;2.954005e-005;7.421597e+002;764.725157;0.874500;293.457581;18.040295
12;700;3.156395e-005;8.045544e+002;824.932180;0.868322;308.591684;16.257272
13;750;3.373290e-005;8.683069e+002;888.105499;0.859959;328.770702;14.881972
14;800;3.586210e-005;9.313005e+002;951.169952;0.877435;348.584944;12.326807
15;850;3.818250e-005;9.941440e+002;1014.996079;0.899700;368.079422;12.563036
16;900;4.024330e-005;1.059095e+003;1078.135703;0.959272;385.684093;16.986287
