Num,Voltage,Ileak[nA],CCE[a.u.],CCE2[a.u.],MPV[mV],Noise[mV],Error mu,Error mean
0,-900.0,-5.160549e-05,822.8470887772191,822.8470887772191,302.07035175879395,2.221852627306654,0.6755647515760635,0.6755647515760635
1,-850.0,-4.670014e-05,765.7763126744832,765.7763126744832,283.49748743718595,2.606406027725172,0.5848389298078722,0.5848389298078722
2,-800.0,-4.350302e-05,718.399231714126,718.399231714126,267.21608040201005,2.618648666216652,0.5787101828098626,0.5787101828098626
3,-750.0,-4.099798e-05,668.2742780569512,668.2742780569512,250.2110552763819,2.7160859338263386,0.5360261379091399,0.5360261379091399
4,-700.0,-3.785882e-05,624.9095075376883,624.9095075376883,236.46231155778895,2.5143610315582356,0.547671924519045,0.547671924519045
5,-650.0,-3.517351e-05,584.9564444444443,584.9564444444443,222.5929648241206,2.2374179073814964,0.4582461894917265,0.4582461894917265
6,-600.0,-3.269995e-05,547.3705773310996,547.3705773310996,207.91959798994975,1.8580505447257993,0.4240156810101121,0.4240156810101121
7,-550.0,-3.018269e-05,507.04091122278027,507.04091122278027,192.80402010050253,1.7410918673493085,0.44760266704481966,0.44760266704481966
8,-500.0,-2.7605e-05,467.869105527638,467.869105527638,177.8894472361809,1.49440037945958,0.41092764254087116,0.41092764254087116
9,-450.0,-2.523352e-05,426.87417532104956,426.87417532104956,164.30150753768845,1.2363951258849928,0.4331950873029657,0.4331950873029657
10,-400.0,-2.297654e-05,385.58767169179225,385.58767169179225,147.53768844221105,1.1240357245327397,0.3882024939304634,0.3882024939304634
11,-350.0,-2.062383e-05,343.55805695142357,343.55805695142357,131.89949748743717,1.2022638007146877,0.4189513623100578,0.4189513623100578
12,-300.0,-1.832716e-05,299.86512116136225,299.86512116136225,115.53768844221105,1.1637488686771063,0.42070140984029875,0.42070140984029875
13,-250.0,-1.611228e-05,258.0939184812952,258.0939184812952,99.4572864321608,1.2028865703754503,0.4031137033526706,0.4031137033526706
14,-200.0,-1.373234e-05,215.1375187046342,215.1375187046342,83.1356783919598,1.1049020219683694,0.36872338004205385,0.36872338004205385
15,-150.0,-1.129397e-05,171.39128531546618,171.39128531546618,65.48743718592965,1.1178103638401402,0.34676548367486265,0.34676548367486265
16,-100.0,-9.308746e-06,128.61419988833052,128.61419988833052,48.482412060301506,1.1360511991537225,0.32987258885945187,0.32987258885945187
