Num;Voltage;Ileak[nA];CCE[a.u.];CCE2[a.u.];CCE2err[a.u.];MPV[mV];Noise[mV]
0;100;9.206306e-006;1.290471e+002;142.418369;0.816597;84.567203;12.529771
1;150;1.179326e-005;1.784799e+002;191.971979;0.784010;97.509994;10.705203
2;200;1.412629e-005;2.243497e+002;237.392440;0.696598;115.953973;15.756827
3;250;1.642917e-005;2.721191e+002;283.654537;0.820004;131.700362;15.786981
4;300;1.866231e-005;3.153709e+002;328.739442;0.859692;144.401941;17.808132
5;350;2.083726e-005;3.607696e+002;373.145900;0.814194;158.190918;16.096600
6;400;2.308342e-005;4.050959e+002;417.648779;0.903464;173.024413;14.488859
7;450;2.525425e-005;4.489011e+002;460.261459;0.835135;187.482125;18.300839
8;500;2.762627e-005;4.954228e+002;508.436271;0.757854;202.393378;15.561468
9;550;3.001719e-005;5.418823e+002;554.749947;0.869324;218.392221;13.861182
10;600;3.253966e-005;5.799337e+002;594.815851;0.887559;236.290805;15.507042
11;650;3.509317e-005;6.304820e+002;644.024477;0.838744;247.146514;12.350594
12;700;3.762158e-005;6.803543e+002;692.304458;0.791561;264.192239;16.008847
13;750;4.035579e-005;7.281110e+002;742.617837;0.827267;280.577520;15.212226
14;800;4.339991e-005;7.781107e+002;793.592451;0.808550;295.072813;11.489978
15;850;4.681376e-005;8.420385e+002;854.197816;0.733214;310.972694;12.617378
16;900;5.001362e-005;8.880311e+002;901.015710;0.975683;327.887487;15.426499
