time (27.03.2025);set voltage (V);real voltage (V);serial capacitance;1/serial capacitance^2;parallel capacitance;LCR frequency (Hz);r;delta r;x;delta x;sample current
08:05:05;-25;-25.04674;7.55495832877528e-11;1.752007066678836e+20;7.253811308258053e-11;2000.0;214617.05;9.190069368617408;-1053314.5;10.451674506986906;-3.004799e-07
08:05:25;-50;-50.0697;7.145959059478903e-11;1.9582987764194463e+20;7.016301349399126e-11;2000.0;151382.15;50.46589318539799;-1113601.0;61.59098960075248;-0.0001815814
08:05:44;-75;-75.10454;6.899005130285729e-11;2.1010048947956436e+20;6.825896329194459e-11;2000.0;119373.7;6.61366010617419;-1153463.0;12.431814026923021;-4.975661e-07
08:06:04;-100;-100.0718;6.728133635729712e-11;2.2090766345362017e+20;6.68167474484097e-11;2000.0;98625.06;541.1848700952382;-1182757.0;518.6082818467132;-0.0001938814
08:06:24;-125;-125.0414;6.59423425737702e-11;2.2997003831980084e+20;6.562123224512164e-11;2000.0;84417.155;8.382325080190721;-1206773.5;9.624837660968625;-6.372152e-07
08:06:44;-150;-150.0013;6.489090719355252e-11;2.374828807744948e+20;6.466076098680176e-11;2000.0;73162.375;369.2021274231094;-1226327.0;288.1380745406618;-0.0002031995
08:07:03;-175;-175.0589;6.399117342934806e-11;2.4420798032352228e+20;6.381867877371832e-11;2000.0;64652.3;10.122302109698177;-1243569.5;7.1928784224397955;-7.459667e-07
08:07:23;-200;-200.0701;6.324589514179927e-11;2.499972967612635e+20;6.311649998868402e-11;2000.0;56969.88500000001;454.7005966168836;-1258223.5;423.09530545729285;-0.0002109046
08:07:42;-225;-225.0818;6.251829259926425e-11;2.558502127899724e+20;6.242089258152826e-11;2000.0;50280.265;9.251805972349294;-1272867.0;11.271645842555557;-8.372289e-07
08:08:02;-250;-250.0587;6.184646197615569e-11;2.6143894338702983e+20;6.177771865818749e-11;2000.0;42921.47000000001;12.60765461931758;-1286694.0;27.70739973364516;-0.0002166034
08:08:23;-275;-275.0338;6.122931217242291e-11;2.667357569815341e+20;6.117925666330522e-11;2000.0;37175.310000000005;11.802948572284715;-1299663.0;9.825985955617888;-9.427477e-07
08:08:42;-300;-300.0091;6.063357280922841e-11;2.7200299169604252e+20;6.060194338297284e-11;2000.0;29983.295000000002;9.750229420377767;-1312432.5;7.964766161036995;-1.009406e-06
08:09:02;-325;-325.0441;6.012649143895447e-11;2.7661025409009268e+20;6.010971676170564e-11;2000.0;22109.504999999997;7.807991018821759;-1323501.0;12.407658925034971;-1.035621e-06
08:09:21;-350;-350.0568;5.976162296182973e-11;2.7999819621551964e+20;5.975476997686336e-11;2000.0;14260.059999999998;9.256968726316423;-1331581.5;7.819047256539636;-1.067609e-06
08:09:40;-375;-375.0905;5.955189594472055e-11;2.8197383745443978e+20;5.95497381838716e-11;2000.0;8043.7074999999995;8.004486956545056;-1336271.0;9.922197337283713;-1.098014e-06
08:10:00;-400;-400.0653;5.946771901465455e-11;2.8277267391226996e+20;5.946699710344502e-11;2000.0;4662.434500000001;12.929598591507016;-1338162.5;10.603655030224248;-1.110434e-06
08:10:20;-425;-425.0367;5.944086726513851e-11;2.8302821042687862e+20;5.944048204343594e-11;2000.0;3408.154000000001;7.108522153021688;-1338767.0;8.663140308225419;-1.135271e-06
08:10:39;-450;-449.988;5.942877080619928e-11;2.8314344039084373e+20;5.942845943013046e-11;2000.0;3065.0585;8.99186021563391;-1339039.5;8.873415351486708;-1.14569e-06
08:10:58;-475;-475.0226;5.942650742869707e-11;2.831650089710896e+20;5.942622630161301e-11;2000.0;2912.542;9.145172841450297;-1339090.5;11.884338433417318;-1.164252e-06
08:11:18;-500;-500.0551;5.942202556239918e-11;2.8320772564253373e+20;5.942176148889372e-11;2000.0;2823.1395;11.169350506520068;-1339191.5;10.278010507875539;-1.17975e-06
08:11:37;-525;-525.0889;5.942062789090964e-11;2.8322104882786868e+20;5.942037175045493e-11;2000.0;2780.509;8.163122316246413;-1339223.0;11.469524837585904;-1.192445e-06
08:11:57;-550;-550.0696;5.9421249070121e-11;2.8321512737347555e+20;5.942099603763037e-11;2000.0;2763.5450000000005;7.151352092436784;-1339209.0;11.110805551354051;-1.204757e-06
08:12:16;-575;-575.0227;5.941867569793601e-11;2.8323965951610012e+20;5.9418427664838e-11;2000.0;2736.2855;11.256940891623268;-1339267.0;11.749468073066117;-1.209544e-06
