time (09.04.2025);set voltage (V);real voltage (V);serial capacitance;1/serial capacitance^2;parallel capacitance;LCR frequency (Hz);r;delta r;x;delta x;sample current
10:27:54;-25;-25.0384;8.11290111503407e-11;1.519314332780289e+20;7.694297307458116e-11;2000.0;228786.85;6.244707759375135;-980875.65;24.115479986929554;-5.016022e-07
10:28:14;-50;-50.06461;7.611077783702677e-11;1.726265850447031e+20;7.419975079658413e-11;2000.0;167793.9;45.48669585714046;-1045548.0;88.85831418612442;-0.0001952821
10:28:34;-75;-75.11001;7.313104321737894e-11;1.8698056278232872e+20;7.200944931272747e-11;2000.0;135803.65;8.374447742985803;-1088149.0;13.525901079040908;-8.34216e-07
10:28:54;-100;-100.0677;7.081997915376218e-11;1.993831306320681e+20;7.010719763973949e-11;2000.0;113300.35;770.8575266383534;-1123658.5;689.1147491528533;-0.0002161738
10:29:13;-125;-125.0236;6.881801566048556e-11;2.1115224753509774e+20;6.837090289620285e-11;2000.0;93510.605;7.55578412542352;-1156346.5;9.598828053465693;-1.099671e-06
10:29:33;-150;-150.0046;6.696746449736213e-11;2.2298327398697488e+20;6.671486344185556e-11;2000.0;73119.39000000001;7.770832966934582;-1188300.5;8.90154480975072;-1.215536e-06
10:29:52;-175;-175.0399;6.542316894475084e-11;2.336344317054388e+20;6.531388320258719e-11;2000.0;49755.095;14.561537478920235;-1216350.0;19.949937343260004;-1.287258e-06
10:30:11;-200;-200.0696;6.444532302721859e-11;2.407782148330725e+20;6.441317031248046e-11;2000.0;27588.0;13.726285003597928;-1234806.0;15.690761613127643;-1.346702e-06
10:30:31;-225;-225.0835;6.400064303946577e-11;2.44135719072155e+20;6.399392331361913e-11;2000.0;12741.255;10.97834339734369;-1243385.5;10.617791672471258;-1.379237e-06
10:30:50;-250;-250.0596;6.385446012134793e-11;2.4525480528240152e+20;6.385300819788243e-11;2000.0;5942.648999999999;9.006614705315215;-1246232.0;6.877499545619759;-1.424432e-06
10:31:10;-275;-275.0332;6.381623383718939e-11;2.4554871130621113e+20;6.381561714626572e-11;2000.0;3876.4060000000004;10.543693859364453;-1246978.5;9.728180713781997;-1.466921e-06
10:31:29;-300;-300.0085;6.380372358908365e-11;2.4564501215779255e+20;6.380327970347233e-11;2000.0;3289.713999999999;6.522265227664388;-1247223.0;7.68439978137525;-1.498692e-06
10:31:48;-325;-325.0418;6.37975853842509e-11;2.4569228328657158e+20;6.379720675978648e-11;2000.0;3038.7110000000002;9.32475913629944;-1247343.0;8.279492738084864;-1.511266e-06
10:32:08;-350;-350.0539;6.379206200960814e-11;2.4573483119093888e+20;6.37917110039312e-11;2000.0;2926.162499999999;10.101038829620448;-1247451.0;9.10768905925098;-1.532134e-06
10:32:27;-375;-375.0868;6.379198530280527e-11;2.457354221599924e+20;6.379164554752592e-11;2000.0;2878.891;9.78644853611359;-1247452.5;9.270248108869579;-1.564332e-06
10:32:46;-400;-400.063;6.378965861744681e-11;2.4575334855898143e+20;6.378933655703754e-11;2000.0;2803.0735;9.45834378406177;-1247498.0;9.07193474403338;-1.583548e-06
10:33:11;-450;-449.9871;6.378666741421946e-11;2.4577639774699956e+20;6.378634950263565e-11;2000.0;2785.1560000000004;7.541929574054636;-1247556.5;7.754837200096465;-1.61055e-06
10:33:35;-500;-500.0525;6.378467343457689e-11;2.457917644728118e+20;6.378436726788724e-11;2000.0;2733.3525;9.633697469689407;-1247595.5;8.499264674076223;-1.647073e-06
10:33:59;-550;-550.0693;6.378434111675651e-11;2.4579432564048357e+20;6.378403194970163e-11;2000.0;2746.7344999999996;12.03468943253211;-1247602.0;12.581732790041283;-1.691623e-06
10:34:23;-600;-599.9969;6.378390655252394e-11;2.4579767487988043e+20;6.378361328295805e-11;2000.0;2675.2105;8.042752994932759;-1247610.5;6.799816173985882;-1.720856e-06
10:34:47;-650;-650.0538;6.378247508869571e-11;2.4580870782986987e+20;6.378216095506492e-11;2000.0;2768.8305;8.952222977422997;-1247638.5;7.525788995181834;-1.768355e-06
10:35:12;-700;-700.0479;6.378104368911698e-11;2.45819741027468e+20;6.37807377788195e-11;2000.0;2732.441;8.459576138909101;-1247666.5;8.979838528615089;-1.790872e-06
10:35:36;-750;-749.9847;6.377882003506237e-11;2.4583688237917323e+20;6.377850646057547e-11;2000.0;2766.603;11.765290903755835;-1247710.0;10.271319292087068;-1.839235e-06
10:36:00;-800;-800.0122;6.37799190630896e-11;2.4582841014214292e+20;6.377960594374286e-11;2000.0;2764.5229999999997;19.26536368849547;-1247688.5;14.887494752308058;-1.880455e-06
10:36:25;-850;-850.0193;6.377792550532683e-11;2.4584377849383426e+20;6.377760560554547e-11;2000.0;2794.426;8.526259185598333;-1247727.5;11.199888392301057;-1.927478e-06
10:36:49;-900;-899.9464;6.377828331420993e-11;2.4584102003636326e+20;6.377796014152135e-11;2000.0;2808.6609999999996;8.16891810156034;-1247720.5;8.320907402441154;-1.968361e-06
