time (24.02.2026);set voltage (V);real voltage (V);serial capacitance;1/serial capacitance^2;parallel capacitance;LCR frequency (Hz);r;delta r;x;delta x;sample current
14:15:37;-10;-10.00185;8.207760462952581e-11;1.484399000265246e+20;7.797463030128795e-11;2000.0;222401.75;9.776981896270442;-969539.4;17.862866511285358;-1.883133e-07
14:15:53;-20;-20.0;7.734194140073028e-11;1.6717443394380366e+20;7.54194665089636e-11;2000.0;164272.05;226.85937797455054;-1028904.5;277.31523128021655;-3.066452e-05
14:16:10;-30;-30.05729;7.430383141509288e-11;1.8112466000789573e+20;7.320140092994657e-11;2000.0;131430.1;8.693359534725342;-1070974.0;9.602083107326242;-2.685254e-07
14:16:26;-40;-40.05575;7.211978131908505e-11;1.9226100033679524e+20;7.142997499868562e-11;2000.0;108432.4;87.31364154586613;-1103407.0;146.109719047023;-3.368274e-05
14:16:43;-50;-50.07636;7.037502248123406e-11;2.01912360863454e+20;6.991315983620212e-11;2000.0;91906.99000000002;7.266188478150186;-1130763.0;9.825985955617888;-3.344102e-07
14:16:59;-60;-60.07508;6.893638259257518e-11;2.1042775386831297e+20;6.863063389410053e-11;2000.0;77048.63500000001;73.45327367619457;-1154361.0;128.03105092125114;-3.584903e-05
14:17:16;-70;-70.09441;6.763700395945533e-11;2.185904963436033e+20;6.743483622684136e-11;2000.0;64419.825;6.471892594133609;-1176537.5;7.51248960065836;-3.829782e-07
14:17:32;-80;-80.0789;6.650062282256202e-11;2.2612499717508596e+20;6.638071930642169e-11;2000.0;50858.01499999999;70.24891290084155;-1196642.5;119.22012204321885;-3.740515e-05
14:17:48;-90;-90.07615;6.550416394007774e-11;2.3305701740330713e+20;6.54391802157151e-11;2000.0;38282.88;7.310101230489179;-1214846.0;11.077003204838391;-4.158294e-07
14:18:05;-100;-100.0665;6.474408395840535e-11;2.3856120449548167e+20;6.471904188514936e-11;2000.0;24177.374999999996;14.309500122296377;-1229108.0;22.93032926061028;-3.864423e-05
14:18:22;-110;-110.0681;6.425339115026161e-11;2.4221882475353352e+20;6.424550652860774e-11;2000.0;13720.284999999998;7.585282707322113;-1238494.5;8.90154480975072;-4.463112e-07
14:18:39;-120;-120.04;6.403105222176439e-11;2.439038876572465e+20;6.402958061056627e-11;2000.0;5958.0715;28.90550504899543;-1242795.0;14.396180048887969;-3.940864e-05
14:18:55;-130;-130.0382;6.395265484355307e-11;2.4450224109624702e+20;6.395202351329558e-11;2000.0;3909.6034999999997;6.245667909639445;-1244318.5;6.335416324125826;-4.667294e-07
14:19:12;-140;-140.0117;6.392039460807968e-11;2.4474910097116027e+20;6.392019317815042e-11;2000.0;2210.0070000000005;14.613084806090741;-1244946.5;6.374754897248991;-4.0094e-05
14:19:28;-150;-150.0164;6.390845938290613e-11;2.4484052575053015e+20;6.390811774612749e-11;2000.0;2878.9630000000006;6.877325610293581;-1245179.0;9.270922284217466;-4.764206e-07
14:19:45;-160;-160.0135;6.390607287270272e-11;2.448588127550971e+20;6.390592934301741e-11;2000.0;1866.1575;15.014213980009075;-1245225.5;9.17809893169604;-4.05865e-05
14:20:01;-170;-170.0378;6.389383518588066e-11;2.4495261812521157e+20;6.38935414218409e-11;2000.0;2670.558;6.061247709836656;-1245464.0;8.378544026261364;-4.809466e-07
14:20:18;-180;-180.0296;6.389021865387726e-11;2.449803501966993e+20;6.389006741070036e-11;2000.0;1916.3595;16.678093992944753;-1245534.5;8.290808163261286;-4.082221e-05
14:20:34;-190;-190.0692;6.388944923180306e-11;2.4498625083996573e+20;6.388915262330099e-11;2000.0;2683.7324999999996;7.915773426362073;-1245549.5;7.825439284794176;-4.851672e-07
14:20:51;-200;-200.0674;6.388206372269556e-11;2.450429006309144e+20;6.388192878076321e-11;2000.0;1810.488;13.776921582850068;-1245693.5;7.591936511852559;-4.098766e-05
14:21:10;-225;-225.09;6.387247536657623e-11;2.4511647645326475e+20;6.387215836462693e-11;2000.0;2775.566;7.101463032361695;-1245880.5;6.725882841679596;-4.994421e-07
14:21:30;-250;-250.0549;6.386012242461724e-11;2.4521131505824907e+20;6.3859970629487e-11;2000.0;1921.2105000000004;220.3149170760743;-1246121.5;30.56366306580414;-0.0001923042
14:21:49;-275;-275.0439;6.385820071591803e-11;2.4522607375180385e+20;6.385792135542334e-11;2000.0;2606.4450000000006;9.400573213905625;-1246159.0;8.212794895770866;-5.12467e-07
14:22:09;-300;-300.0051;6.38522569625064e-11;2.4527173012234473e+20;6.385209855513142e-11;2000.0;1962.9715;321.8438247017294;-1246275.0;36.04511062543712;-0.0001947778
14:22:28;-325;-325.0556;6.385507498350826e-11;2.4525008217547768e+20;6.385482659582026e-11;2000.0;2457.8925000000004;7.1420486162935015;-1246220.0;9.433981132056603;-5.214291e-07
14:22:48;-350;-350.0506;6.384546911499463e-11;2.453238859175105e+20;6.384532628416254e-11;2000.0;1864.2599999999998;213.30529728888595;-1246407.5;23.08543913379167;-0.0001957757
14:23:07;-375;-375.0873;6.385517746168621e-11;2.4524929499541193e+20;6.38549343009869e-11;2000.0;2431.8875;8.49004914223115;-1246218.0;8.443932733033819;-5.321752e-07
14:23:28;-400;-400.0592;6.384160196805546e-11;2.453536073599151e+20;6.38414782944259e-11;2000.0;1734.8959999999995;262.95399129068187;-1246483.0;32.82605672328006;-0.0001962411
14:23:47;-425;-425.0383;6.385161653787563e-11;2.4527665024350863e+20;6.385136693251788e-11;2000.0;2464.1099999999997;8.890955938480406;-1246287.5;7.3781772816868525;-5.404531e-07
14:24:07;-450;-449.9848;6.384339462693003e-11;2.4533982898396434e+20;6.38432643127478e-11;2000.0;1780.789;366.7037552861301;-1246448.0;44.6687810444834;-0.0001968563
14:24:27;-475;-475.0351;6.384641676551035e-11;2.4531660345457944e+20;6.384617416581574e-11;2000.0;2429.5804999999996;6.090046078438153;-1246389.0;8.969392398596462;-5.479961e-07
14:24:46;-500;-500.0471;6.384505932888966e-11;2.453270351241475e+20;6.384493002998253e-11;2000.0;1773.7689999999998;282.92312605715;-1246415.5;35.202805285942766;-0.0001982341
14:25:06;-525;-525.0985;6.384603257947826e-11;2.453195557913884e+20;6.384580374495826e-11;2000.0;2359.6675000000005;5.7920466104391775;-1246396.5;7.391718338789702;-5.595862e-07
14:25:25;-550;-550.0634;6.384011669839333e-11;2.4536502402164785e+20;6.38399688264059e-11;2000.0;1897.1125;274.6515787656017;-1246512.0;26.875639527274508;-0.0001984758
14:25:45;-575;-575.0263;6.384841460741178e-11;2.45301251589549e+20;6.384818479250495e-11;2000.0;2364.5845;9.45538929592537;-1246350.0;7.648529270389178;-5.691963e-07
14:26:05;-600;-599.9934;6.383415070804788e-11;2.4541089018432913e+20;6.383406494261396e-11;2000.0;1444.9969999999998;16.089137424051053;-1246628.5;7.391718338789702;-0.0001991954
14:26:24;-625;-625.0395;6.384859390702961e-11;2.4529987388156156e+20;6.384835177339096e-11;2000.0;2427.1214999999997;7.752146002075799;-1246346.5;8.132496541653122;-5.747212e-07
14:26:44;-650;-650.0495;6.383819619353077e-11;2.4537978734009932e+20;6.383806091909197e-11;2000.0;1814.5860000000005;290.5098474513385;-1246549.5;34.46356772013019;-0.0002002112
14:27:03;-675;-675.0789;6.384290803813822e-11;2.4534356879061077e+20;6.384266193651087e-11;2000.0;2447.255;7.054652879483156;-1246457.5;7.101936355670895;-5.895154e-07
14:27:22;-700;-700.0413;6.383834982966755e-11;2.4537860625827912e+20;6.383826636624526e-11;2000.0;1425.332;13.333991274183433;-1246546.5;9.361490265977954;-0.0002004471
14:27:42;-725;-725.0269;6.384080810843147e-11;2.4535970933572885e+20;6.384057650765272e-11;2000.0;2374.1785;7.653226877435424;-1246498.5;5.624722215363173;-5.982193e-07
14:28:01;-750;-749.9816;6.383686471132127e-11;2.4539002350160793e+20;6.38367338222591e-11;2000.0;1784.9865000000002;276.9248199613706;-1246575.5;32.011521363409145;-0.0002011438
14:28:21;-775;-775.02;6.384436782676564e-11;2.45332349456182e+20;6.384413968929996e-11;2000.0;2356.163;9.443337812976932;-1246429.0;4.466542286825458;-6.082379e-07
14:28:40;-800;-800.0079;6.38344835450904e-11;2.4540833101513382e+20;6.383434562394529e-11;2000.0;1832.4115000000002;231.3615746448349;-1246622.0;21.98408515267351;-0.0002021155
14:29:00;-825;-825.0507;6.384511055186513e-11;2.4532664147221237e+20;6.384487067785151e-11;2000.0;2415.9674999999997;6.697022542705073;-1246414.5;8.260599251870289;-6.169363e-07
14:29:20;-850;-850.0122;6.383161613981131e-11;2.454303796797831e+20;6.383153282170545e-11;2000.0;1424.316;17.00850473145714;-1246678.0;7.46993975879324;-0.000202616
14:29:40;-875;-874.9973;6.38418836649259e-11;2.4535144216093e+20;6.384163798615076e-11;2000.0;2445.2104999999997;7.8423255312120235;-1246477.5;7.870038119348597;-6.305265e-07
14:29:59;-900;-899.9439;6.383650624483151e-11;2.453927794277229e+20;6.383638224399941e-11;2000.0;1737.3974999999998;311.4839261333359;-1246582.5;37.688691938033614;-0.000203396
