time (28.05.2025);set voltage (V);real voltage (V);serial capacitance;1/serial capacitance^2;parallel capacitance;LCR frequency (Hz);r;delta r;x;delta x;sample current
08:51:32;-25;-25.04679;-7.439987279811748e-11;1.8065734106078256e+20;-7.427843538951816e-11;2000.0;-43247.68;297.58735940896406;-1069591.5;306.91552176454024;-3.36996e-08
08:51:48;-35;-35.04605;-7.090703073473502e-11;1.9889387132105382e+20;-7.084413179592021e-11;2000.0;-33440.33;244.87999296594236;-1122279.0;372.32103083226446;-2.56846e-05
08:52:05;-45;-45.06462;-6.851762981218416e-11;2.1300771689640745e+20;-6.849521083123515e-11;2000.0;-21011.915;193.9680328398213;-1161416.0;197.3504497081271;-4.595993e-08
08:52:21;-55;-55.08533;-6.685280829440338e-11;2.237487867625243e+20;-6.684594181088463e-11;2000.0;-12064.244999999999;138.53768882058773;-1190338.5;145.01254256097985;-2.628894e-05
08:52:37;-65;-65.10159;-6.55259817339474e-11;2.3290184404138217e+20;-6.552557660390023e-11;2000.0;-3019.732;95.89994925858927;-1214441.5;89.41553276696392;-5.884667e-08
08:52:54;-75;-75.09927;6.453903693306372e-11;2.4007947850837734e+20;6.45389922923623e-11;2000.0;1025.4678999999996;70.95255604102294;-1233013.0;81.40669505636498;-2.656989e-05
08:53:11;-85;-85.09346;6.411666699240146e-11;2.4325295445389178e+20;6.411619765316008e-11;2000.0;3357.9850000000006;31.3235840422197;-1241135.5;34.398219430662394;-6.68873e-08
08:53:28;-95;-95.06785;6.403349960144573e-11;2.4388524385313672e+20;6.403298416079525e-11;2000.0;3525.903;32.0884946211255;-1242747.5;20.345454037695987;-2.674726e-05
08:53:44;-105;-105.0639;6.400301087993076e-11;2.4411765543003976e+20;6.400227692118435e-11;2000.0;4210.4435;16.84513701747478;-1243339.5;11.86328369381766;-7.171557e-08
08:54:00;-115;-115.04;6.399467274140617e-11;2.4418127383282857e+20;6.399437647429444e-11;2000.0;2675.575;18.968898590851275;-1243501.5;12.475475942824787;-2.690711e-05
08:54:17;-125;-125.0341;6.398788030874664e-11;2.442331171782296e+20;6.398753098839977e-11;2000.0;2905.7395;10.62197772251008;-1243633.5;12.772529115253564;-7.552443e-08
08:54:33;-135;-135.0102;6.398664547590288e-11;2.442425438322584e+20;6.398652730809845e-11;2000.0;1690.0755000000001;16.877858461235537;-1243657.5;6.279928343540234;-2.702015e-05
08:54:50;-145;-145.0235;6.398322420886602e-11;2.4426866446982762e+20;6.398300149984896e-11;2000.0;2320.388;11.346847042240418;-1243724.0;12.617448236470004;-7.728715e-08
08:55:16;-200;-200.0716;6.399480139987863e-11;2.4418029200438542e+20;6.399442799150438e-11;2000.0;3003.7679999999996;1117.5694728788897;-1243499.0;145.66725781725967;-0.0004120439
08:55:40;-250;-250.0693;6.396602052552003e-11;2.444000744224295e+20;6.396578622647547e-11;2000.0;2380.9605;16.34113192950537;-1244058.5;10.518436195556827;-9.02043e-08
08:56:04;-300;-300.0093;6.396332123576408e-11;2.444207025112936e+20;6.396292567602904e-11;2000.0;3093.8625;1237.8390870127012;-1244111.0;170.3216075546494;-0.0003707811
08:56:29;-350;-350.0651;6.39550191344321e-11;2.444841638994541e+20;6.395481159199272e-11;2000.0;2241.4670000000006;10.31055255793791;-1244272.5;10.121141239998579;-8.77134e-08
08:56:53;-400;-400.0639;6.395890003427727e-11;2.4445449516634286e+20;6.395852029022573e-11;2000.0;3031.6945000000005;1188.003743612678;-1244197.0;162.41474686739502;-0.0003719102
08:57:17;-450;-449.9976;6.39531431066943e-11;2.4449850770737024e+20;6.395294091179203e-11;2000.0;2212.499;10.339224122244367;-1244309.0;12.607537428062626;-8.555902e-08
08:57:42;-500;-500.0531;6.395265484355307e-11;2.4450224109624702e+20;6.39523961862789e-11;2000.0;2502.4505;938.1462350565275;-1244318.5;118.90390027244689;-0.0003726101
08:58:06;-550;-550.0789;6.39508303472707e-11;2.4451619243326446e+20;6.395062531631586e-11;2000.0;2228.0825;10.774088148771574;-1244354.0;14.429137188342205;-8.988051e-08
08:58:31;-600;-599.9977;6.394754137753366e-11;2.4454134514503097e+20;6.394735185577155e-11;2000.0;2142.321000000001;657.7531688520778;-1244418.0;83.90649557692181;-0.0003720399
08:58:56;-650;-650.0639;6.394916012504771e-11;2.4452896513304425e+20;6.39489570108758e-11;2000.0;2217.73;9.818984188804855;-1244386.5;9.226998428524848;-9.422313e-08
08:59:21;-700;-700.0479;6.394797817434508e-11;2.4453800447600375e+20;6.394775460401858e-11;2000.0;2326.7930000000006;766.1207123848369;-1244409.5;94.76411504361765;-0.0003726541
08:59:45;-750;-749.9931;6.394718166699292e-11;2.4454409630136372e+20;6.394698407334555e-11;2000.0;2187.4855000000002;12.096953489928781;-1244425.0;13.901438774457842;-9.770915e-08
09:00:10;-800;-800.0135;6.39451262558189e-11;2.4455981749157023e+20;6.394493997706238e-11;2000.0;2124.0330000000004;811.9523899743446;-1244465.0;101.87615030025427;-0.000373478
09:00:35;-850;-850.0269;6.394607686706313e-11;2.4455254637828948e+20;6.394587765084957e-11;2000.0;2196.5055;13.507682045321477;-1244446.5;10.446889489221181;-1.028479e-07
09:01:00;-900;-899.9487;6.394612825225989e-11;2.4455215334821842e+20;6.394585874251327e-11;2000.0;2554.8;949.4920096304129;-1244445.5;122.95014233419984;-0.0003729351
