time (19.02.2026);set voltage (V);real voltage (V);current (A);delta current;input current (A)
14:56:06;-25;-25.03481;-1.6708267e-07;2.2182851597574315e-11;-2.369218e-07
14:56:26;-50;-50.06835;-2.3106233e-07;3.2529419069513225e-11;-3.235044e-07
14:56:46;-75;-75.09524;-2.79555665e-07;5.4355895850864663e-11;-3.902442e-07
14:57:06;-100;-100.0707;-3.2104534499999993e-07;2.0467433247723607e-11;-4.469423e-07
14:57:26;-125;-125.0247;-3.58332965e-07;2.921978890666329e-11;-4.984533e-07
14:57:46;-150;-150.0041;-3.92348845e-07;3.3187564293722303e-11;-5.440605e-07
14:58:06;-175;-175.0397;-4.230091250000001e-07;5.881003140408927e-11;-5.865015e-07
14:58:26;-200;-200.0717;-4.50192885e-07;3.592433525828889e-11;-6.225179e-07
14:58:46;-225;-225.0854;-4.7253926999999997e-07;4.0908996626658344e-11;-6.520223e-07
14:59:05;-250;-250.0622;-4.915477999999999e-07;3.841654786677584e-11;-6.790516e-07
14:59:25;-275;-275.0355;-5.066817950000001e-07;4.700611049374428e-11;-6.990222e-07
14:59:45;-300;-300.0127;-5.198714999999999e-07;3.3457263785311725e-11;-7.175491e-07
15:00:04;-325;-325.0454;-5.315657450000001e-07;3.0162508578531273e-11;-7.343666e-07
15:00:24;-350;-350.0577;-5.4133905e-07;3.6385115432001066e-11;-7.489711e-07
15:00:44;-375;-375.0894;-5.486424749999999e-07;8.880550823991694e-11;-7.622068e-07
15:01:04;-400;-400.0662;-5.535580649999999e-07;4.701597190051771e-11;-7.698911e-07
15:01:24;-425;-425.0381;-5.5785387e-07;4.612407944880781e-11;-7.763584e-07
15:01:44;-450;-449.9918;-5.608544299999999e-07;1.6921473192365816e-11;-7.828616e-07
15:02:04;-475;-475.0247;-5.649591000000001e-07;8.454110183809995e-11;-7.904619e-07
15:02:24;-500;-500.0559;-5.690750449999999e-07;1.610704112337164e-11;-7.967961e-07
15:02:44;-525;-525.089;-5.7198564e-07;6.292269956065183e-11;-8.032402e-07
15:03:04;-550;-550.071;-5.754069100000001e-07;1.9785051048708278e-11;-8.085858e-07
15:03:24;-575;-575.0267;-5.783197599999999e-07;1.8474246128056716e-11;-8.143203e-07
15:03:44;-600;-600.0016;-5.81491555e-07;4.965755152793772e-11;-8.19728e-07
15:04:03;-625;-625.0291;-5.86889955e-07;4.227427437283794e-11;-8.279224e-07
15:04:23;-650;-650.0582;-5.90047025e-07;4.944658273076339e-11;-8.335043e-07
15:04:43;-675;-675.0705;-5.9399439e-07;4.092243693867484e-11;-8.401008e-07
15:05:03;-700;-700.0522;-5.968152899999999e-07;3.619242869717555e-11;-8.451381e-07
15:05:23;-725;-725.0204;-6.0179449e-07;7.702071276611373e-11;-8.526224e-07
15:05:43;-750;-749.9907;-6.0580721e-07;4.268825183818125e-11;-8.587141e-07
15:06:03;-775;-775.0116;-6.0973544e-07;5.718455534495175e-11;-8.651443e-07
15:06:22;-800;-800.0185;-6.13140625e-07;2.8561300631275105e-11;-8.707123e-07
15:06:42;-825;-825.046;-6.1685604e-07;5.9304968763163e-11;-8.780256e-07
15:07:02;-850;-850.0233;-6.20220415e-07;4.24809082265193e-11;-8.833205e-07
15:07:21;-875;-874.9869;-6.244915599999999e-07;5.81859340390789e-11;-8.903138e-07
15:07:41;-900;-899.9534;-6.278265650000001e-07;3.455762526201716e-11;-8.962304e-07
