time (29.05.2025);set voltage (V);real voltage (V);current (A);delta current;input current (A)
08:00:41;-25;-25.05292;3.2414680000000004e-07;6.601034464385085e-11;-3.252206e-07
08:01:01;-50;-50.09295;4.402927699999999e-07;7.960559625428375e-11;-4.407299e-07
08:01:21;-75;-75.12633;5.2959605e-07;6.107777848776263e-11;-5.289444e-07
08:01:41;-100;-100.0922;6.0490499e-07;5.465649545113651e-11;-6.041966e-07
08:02:00;-125;-125.042;6.711983200000001e-07;4.096147494902976e-11;-6.713753e-07
08:02:20;-150;-150.0168;7.29582575e-07;5.317307912609451e-11;-7.293348e-07
08:02:40;-175;-175.0567;7.845685650000001e-07;7.985596197999184e-11;-7.846224e-07
08:03:00;-200;-200.0965;8.382021099999999e-07;9.098109773463922e-11;-8.378797e-07
08:03:20;-225;-225.1178;8.874997600000001e-07;6.940630389237055e-11;-8.873401e-07
08:03:39;-250;-250.0893;9.353875300000001e-07;8.015749656145453e-11;-9.374793e-07
08:03:59;-275;-274.9872;9.748181400000001e-07;4.8164684365207214e-11;-9.749333e-07
08:04:20;-300;-300.0134;1.0140806e-06;3.8788941723125374e-11;-1.014012e-06
08:04:39;-325;-325.0526;1.0510830999999999e-06;9.467631435581692e-11;-1.050756e-06
08:04:59;-350;-350.0708;1.0874306e-06;1.1107043711087208e-10;-1.086793e-06
08:05:19;-375;-375.11;1.1185707e-06;3.759169456143597e-11;-1.119176e-06
08:05:39;-400;-400.0791;1.14614445e-06;7.02764354175719e-11;-1.147059e-06
08:05:59;-425;-425.0442;1.1676197000000002e-06;2.6223567644393018e-11;-1.168514e-06
08:06:18;-450;-449.9914;1.1857406499999998e-06;3.2495020772422347e-11;-1.1873e-06
08:06:38;-475;-475.0297;1.2023683999999998e-06;5.0449053509454833e-11;-1.203158e-06
08:06:58;-500;-500.0663;1.21616965e-06;6.418836635248267e-11;-1.217111e-06
08:07:17;-525;-525.1055;1.2289248e-06;7.604934582230268e-11;-1.229295e-06
08:07:37;-550;-550.0823;1.2417977499999998e-06;6.579171205402471e-11;-1.243379e-06
08:07:57;-575;-575.0297;1.25181485e-06;5.582988782901499e-11;-1.252588e-06
08:08:16;-600;-600.0009;1.2625512e-06;1.2557919015506196e-10;-1.263273e-06
08:08:36;-625;-625.0316;1.2748144e-06;5.5877696802927515e-11;-1.276247e-06
08:08:56;-650;-650.0654;1.2849103e-06;5.341980438002773e-11;-1.285149e-06
08:09:16;-675;-675.0822;1.2961867499999998e-06;5.051835681215091e-11;-1.296914e-06
08:09:36;-700;-700.0584;1.3076568000000002e-06;8.829565674481999e-11;-1.307993e-06
08:09:55;-725;-725.0206;1.3197248e-06;4.4603396731639115e-11;-1.320469e-06
08:10:15;-750;-749.9869;1.3336304000000002e-06;1.069317632885583e-10;-1.335883e-06
08:10:35;-775;-775.0121;1.3446396e-06;4.78534429273375e-11;-1.345586e-06
08:10:54;-800;-800.0214;1.3544447499999998e-06;6.138781943512856e-11;-1.355638e-06
08:11:14;-825;-825.0524;1.3652974500000001e-06;3.115730050886362e-11;-1.366025e-06
08:11:34;-850;-850.0272;1.3773519500000001e-06;3.640999004394067e-11;-1.37845e-06
08:11:54;-875;-874.9869;1.3852016000000002e-06;9.253673324686449e-11;-1.386377e-06
08:12:14;-900;-899.9487;1.39287125e-06;1.2161525140787689e-10;-1.394289e-06
