time (26.03.2025);set voltage (V);real voltage (V);current (A);delta current;input current (A)
10:47:23;-25;-25.03538;1.75653395e-07;1.0765399377171498e-11;-1.760787e-07
10:47:43;-50;-50.07055;2.4223770000000005e-07;2.6338545897599387e-11;-2.412266e-07
10:48:03;-75;-75.09829;2.9437009500000004e-07;3.1941438191634566e-11;-2.929839e-07
10:48:23;-100;-100.0716;3.38417505e-07;2.7351611904053367e-11;-3.379342e-07
10:48:43;-125;-125.0255;3.7762070500000003e-07;3.896125349305413e-11;-3.773702e-07
10:49:03;-150;-150.0031;4.11829415e-07;4.92152757154735e-11;-4.110412e-07
10:49:23;-175;-175.0397;4.4343174000000006e-07;5.928004065450729e-11;-4.423719e-07
10:49:43;-200;-200.0712;4.73061275e-07;6.60667449913339e-11;-4.721513e-07
10:50:03;-225;-225.0861;4.97516275e-07;4.081530036334534e-11;-4.978928e-07
10:50:23;-250;-250.062;5.203987400000001e-07;7.009518827993889e-11;-5.208716e-07
10:50:43;-275;-275.0348;5.40750775e-07;6.16284852462706e-11;-5.401404e-07
10:51:03;-300;-300.0103;5.590031500000001e-07;6.672058246897857e-11;-5.592982e-07
10:51:23;-325;-325.0433;5.7245896e-07;6.393931122556853e-11;-5.723422e-07
10:51:43;-350;-350.058;5.822906400000001e-07;2.4120342451962058e-11;-5.820689e-07
10:52:03;-375;-375.089;5.893213999999999e-07;4.516395631474542e-11;-5.895805e-07
10:52:23;-400;-400.0645;5.956159599999999e-07;6.035006064619583e-11;-5.955476e-07
10:52:43;-425;-425.0372;6.00038345e-07;6.094583926528278e-11;-6.005204e-07
10:53:03;-450;-449.9915;6.06528715e-07;5.207857538133952e-11;-6.063626e-07
10:53:23;-475;-475.0245;6.11936215e-07;2.6377162731232912e-11;-6.125983e-07
10:53:43;-500;-500.0551;6.16265455e-07;2.894257804256715e-11;-6.161324e-07
10:54:03;-525;-525.0884;6.2232655e-07;3.9848325247115024e-11;-6.224104e-07
10:54:23;-550;-550.0703;6.2666388e-07;3.678213397833392e-11;-6.271357e-07
10:54:43;-575;-575.024;6.3253665e-07;3.513478724853833e-11;-6.334324e-07
10:55:03;-600;-599.9995;6.3954769e-07;3.2732159186342174e-11;-6.392946e-07
10:55:23;-625;-625.0283;6.461433149999999e-07;1.0042061000487078e-10;-6.452429e-07
10:55:43;-650;-650.0559;6.528983649999999e-07;6.895811274788532e-11;-6.529337e-07
10:56:03;-675;-675.0714;6.568461300000002e-07;1.3447771248426357e-10;-6.563777e-07
10:56:23;-700;-700.0503;6.5936189e-07;4.404573185905797e-11;-6.593056e-07
10:56:43;-725;-725.0184;6.613247600000001e-07;5.158846159753303e-11;-6.622961e-07
10:57:03;-750;-749.9883;6.658227649999999e-07;3.984473508193786e-11;-6.664087e-07
10:57:23;-775;-775.008;6.71389165e-07;3.805827063530064e-11;-6.727686e-07
10:57:43;-800;-800.0151;6.76757295e-07;5.961189540477707e-11;-6.785336e-07
10:58:03;-825;-825.0436;6.83375745e-07;2.923778845518315e-11;-6.847543e-07
10:58:23;-850;-850.0229;6.87959975e-07;5.987330618689832e-11;-6.893611e-07
10:58:43;-875;-874.9858;6.9223308e-07;8.237532263973089e-11;-6.94099e-07
10:59:03;-900;-899.9509;6.951392349999998e-07;8.270531732452625e-11;-6.966937e-07
