time (28.03.2025);set voltage (V);real voltage (V);current (A);delta current;input current (A)
07:45:29;-25;-25.0434;5.470095350000001e-07;6.455757867012899e-11;-5.46868e-07
07:45:49;-50;-50.07981;7.51897695e-07;1.377094084431052e-10;-7.511427e-07
07:46:09;-75;-75.11195;9.094574999999999e-07;7.294880088116562e-11;-9.105142e-07
07:46:29;-100;-100.0727;1.0414446000000003e-06;1.0629920978068885e-10;-1.041022e-06
07:46:49;-125;-125.0258;1.1546135e-06;2.183908022330589e-10;-1.155636e-06
07:47:09;-150;-150.0034;1.2435092000000002e-06;2.1023759892084004e-10;-1.242763e-06
07:47:29;-175;-175.04;1.31489505e-06;1.5704272468026602e-10;-1.315594e-06
07:47:49;-200;-200.0732;1.3748328e-06;2.2319277094027695e-10;-1.378478e-06
07:48:09;-225;-225.088;1.42026215e-06;1.4445939351596238e-10;-1.420881e-06
07:48:29;-250;-250.0627;1.4582751e-06;1.2296802226595327e-10;-1.458193e-06
07:48:49;-275;-275.0331;1.4930712e-06;1.1422209943788403e-10;-1.494375e-06
07:49:09;-300;-300.0088;1.5258394e-06;7.727361774887708e-11;-1.526839e-06
07:49:29;-325;-325.0447;1.5491693e-06;1.4484386593846364e-10;-1.550425e-06
07:49:49;-350;-350.0582;1.57048675e-06;2.60994299506713e-10;-1.571599e-06
07:50:09;-375;-375.0916;1.5876396499999999e-06;1.298277950787146e-10;-1.589463e-06
07:50:29;-400;-400.0641;1.6110589499999999e-06;3.334170922058427e-10;-1.610507e-06
07:50:49;-425;-425.0344;1.62559765e-06;2.3012037366343347e-10;-1.626015e-06
07:51:09;-450;-449.988;1.6472897999999997e-06;2.6297167718216376e-10;-1.646381e-06
07:51:29;-475;-475.0224;1.66115055e-06;1.0580797406150429e-10;-1.662335e-06
07:51:49;-500;-500.0545;1.6802548999999997e-06;2.4202938767843656e-10;-1.681174e-06
07:52:09;-525;-525.0902;1.6978263500000004e-06;1.6827681472799346e-10;-1.699397e-06
07:52:29;-550;-550.0694;1.7141094999999998e-06;3.511473942662784e-10;-1.715548e-06
07:52:49;-575;-575.0227;1.7361480500000002e-06;4.53672951998466e-10;-1.738114e-06
07:53:08;-600;-599.9957;1.7535880499999999e-06;1.1464616162349483e-10;-1.755403e-06
07:53:28;-625;-625.0256;1.7769131500000001e-06;8.664732721642383e-10;-1.772054e-06
07:53:48;-650;-650.0566;1.7954740500000003e-06;1.754833962943508e-10;-1.796521e-06
07:54:08;-675;-675.0709;1.8163561499999998e-06;6.382551969040237e-10;-1.816042e-06
07:54:28;-700;-700.0493;1.8327189e-06;2.2505223726948568e-10;-1.835095e-06
07:54:48;-725;-725.0142;1.8551752000000003e-06;1.6069641564142806e-10;-1.854146e-06
07:55:08;-750;-749.9844;1.8793900999999998e-06;2.402886274878602e-10;-1.882614e-06
07:55:27;-775;-775.006;1.8958665500000001e-06;7.060751145416497e-10;-1.892819e-06
07:55:47;-800;-800.0131;1.9110285999999996e-06;2.384159537447055e-10;-1.912386e-06
07:56:07;-825;-825.0421;1.93392585e-06;2.3431719180417167e-10;-1.933687e-06
07:56:27;-850;-850.0203;1.9586295e-06;3.201460643206449e-10;-1.960788e-06
07:56:47;-875;-874.9814;1.9817787e-06;2.2567739253190444e-10;-1.98273e-06
07:57:07;-900;-899.946;2.0084146499999997e-06;5.743729462422378e-10;-2.013029e-06
