time (05.03.2026);set voltage (V);real voltage (V);current (A);delta current;input current (A)
11:05:02;-25;-25.03758;-3.4589615499999997e-07;4.9669472251574834e-11;-4.813241e-07
11:05:22;-50;-50.07153;-4.79549495e-07;1.6376702621025121e-10;-6.649505e-07
11:05:42;-75;-75.10154;-5.81947175e-07;5.195403395069447e-11;-8.052189e-07
11:06:01;-100;-100.0786;-6.635568350000001e-07;2.238310366409229e-10;-9.154907e-07
11:06:21;-125;-125.0346;-7.2474038e-07;9.020500113630516e-11;-1.001852e-06
11:06:42;-150;-150.0018;-7.677532799999999e-07;1.6001556418048572e-10;-1.059929e-06
11:07:02;-175;-175.0367;-7.96087405e-07;9.382955810271003e-11;-1.101467e-06
11:07:21;-200;-200.0665;-8.20403e-07;7.321528767955647e-11;-1.13473e-06
11:07:41;-225;-225.0793;-8.374076300000001e-07;8.725786041956504e-11;-1.163002e-06
11:08:01;-250;-250.057;-8.520637250000001e-07;1.7939750553937793e-10;-1.182921e-06
11:08:21;-275;-275.0284;-8.644962400000001e-07;1.0426878161750882e-10;-1.203557e-06
11:08:41;-300;-300.0064;-8.748064399999999e-07;1.6648917598450492e-10;-1.217474e-06
11:09:01;-325;-325.0403;-8.816564099999999e-07;1.0372060496834769e-10;-1.23198e-06
11:09:20;-350;-350.0516;-8.9446429e-07;8.816660192499164e-11;-1.250614e-06
11:09:40;-375;-375.084;-9.013683199999998e-07;1.178309120307607e-10;-1.261989e-06
11:09:59;-400;-400.0604;-9.1000568e-07;1.393592866657984e-10;-1.275108e-06
11:10:19;-425;-425.0305;-9.186544750000001e-07;2.361172137811028e-10;-1.290538e-06
11:10:39;-450;-449.986;-9.265693600000001e-07;2.7860415910391134e-10;-1.296027e-06
11:10:59;-475;-475.0176;-9.356034100000001e-07;2.337635354262926e-10;-1.311655e-06
11:11:19;-500;-500.0491;-9.4715933e-07;1.5164140053098813e-10;-1.324884e-06
11:11:39;-525;-525.0839;-9.5718267e-07;1.0632361875425673e-10;-1.340704e-06
11:11:59;-550;-550.0635;-9.66155225e-07;1.2775239329949597e-10;-1.35528e-06
11:12:19;-575;-575.0201;-9.744657049999997e-07;5.936968101438449e-11;-1.367631e-06
11:12:38;-600;-599.994;-9.797550649999999e-07;1.839005859527128e-10;-1.376222e-06
11:12:58;-625;-625.0214;-9.91695415e-07;9.643544013354319e-11;-1.388148e-06
11:13:18;-650;-650.0507;-1.0013108999999998e-06;1.204415605179516e-10;-1.402787e-06
11:13:38;-675;-675.0629;-1.01059525e-06;9.856497539693985e-11;-1.416297e-06
11:13:58;-700;-700.0442;-1.0186697e-06;3.7740535965987486e-10;-1.43176e-06
11:14:18;-725;-725.0123;-1.02960245e-06;1.015287760932829e-10;-1.446905e-06
11:14:38;-750;-749.9819;-1.0385801499999999e-06;1.2805782434119683e-10;-1.457728e-06
11:14:58;-775;-775.0045;-1.0506925499999998e-06;1.1694065749344433e-10;-1.473756e-06
11:15:18;-800;-800.0104;-1.0568524000000001e-06;1.4545840298862192e-10;-1.485891e-06
11:15:38;-825;-825.0375;-1.0688153000000003e-06;8.241790157483863e-11;-1.501119e-06
11:15:58;-850;-850.0171;-1.07601665e-06;1.1312425193122967e-10;-1.51462e-06
11:16:17;-875;-874.9786;-1.08841785e-06;1.5085551489753325e-10;-1.531665e-06
11:16:37;-900;-899.9444;-1.09899135e-06;2.167445071391656e-10;-1.553236e-06
