time (20.01.2026);set voltage (V);real voltage (V);current (A);delta current;input current (A)
12:22:23;-25;-25.03627;-1.76995335e-07;3.6974879496085334e-11;-2.484894e-07
12:22:43;-50;-50.06963;-2.4091949500000004e-07;8.367879225795491e-11;-3.357898e-07
12:23:02;-75;-75.09765;-2.82815445e-07;4.676640432778641e-11;-3.954848e-07
12:23:22;-100;-100.0718;-3.08461145e-07;7.028837972061934e-11;-4.328034e-07
12:23:42;-125;-125.0246;-3.2325387499999996e-07;9.19959411808474e-11;-4.560092e-07
12:24:01;-150;-150.0058;-3.30947975e-07;4.8529769665123e-11;-4.692991e-07
12:24:21;-175;-175.0399;-3.3450373999999995e-07;8.878223059824601e-11;-4.766328e-07
12:24:41;-200;-200.071;-3.3827496499999993e-07;5.811443593247787e-11;-4.834203e-07
12:25:01;-225;-225.0846;-3.40656955e-07;7.167885722966036e-11;-4.876978e-07
12:25:21;-250;-250.0607;-3.44390745e-07;3.18807022154452e-11;-4.930935e-07
12:25:40;-275;-275.0322;-3.4800105e-07;1.2124829493646594e-10;-4.975348e-07
12:26:00;-300;-300.0096;-3.5079086999999996e-07;5.2031228171166486e-11;-5.031305e-07
12:26:20;-325;-325.0417;-3.550023150000001e-07;9.867063906628918e-11;-5.079083e-07
12:26:40;-350;-350.0536;-3.58130755e-07;9.167789059391532e-11;-5.130617e-07
12:27:00;-375;-375.0862;-3.6006491499999994e-07;8.030065325855e-11;-5.155007e-07
12:27:20;-400;-400.0635;-3.631667e-07;9.606812634792026e-11;-5.213345e-07
12:27:39;-425;-425.0341;-3.6790684999999997e-07;8.878491665254898e-11;-5.251885e-07
12:27:59;-450;-449.9885;-3.7085926000000004e-07;2.898038681591455e-11;-5.320634e-07
12:28:19;-475;-475.0229;-3.7454158e-07;4.6991844824395e-11;-5.360902e-07
12:28:39;-500;-500.0535;-3.7857851499999995e-07;5.94067488905931e-11;-5.422269e-07
12:28:59;-525;-525.0876;-3.80745905e-07;7.141770735433901e-11;-5.449775e-07
12:29:19;-550;-550.0684;-3.85066515e-07;7.669748407705425e-11;-5.506673e-07
12:29:39;-575;-575.0231;-3.8846230499999997e-07;9.789145940147146e-11;-5.555983e-07
12:29:59;-600;-599.9985;-3.9048442e-07;4.8783374012054284e-11;-5.588259e-07
12:30:19;-625;-625.0268;-3.94132755e-07;1.0087304805422633e-10;-5.630527e-07
12:30:39;-650;-650.0562;-3.97582675e-07;6.410574228374493e-11;-5.694785e-07
12:30:59;-675;-675.0686;-4.0156630999999997e-07;9.256503224760437e-11;-5.744828e-07
12:31:19;-700;-700.0482;-4.0466143e-07;1.1097954228144921e-10;-5.797099e-07
12:31:39;-725;-725.0174;-4.0722890499999997e-07;8.0276000608837e-11;-5.818849e-07
12:31:58;-750;-749.9866;-4.106875900000001e-07;1.5788183712827782e-10;-5.869793e-07
12:32:18;-775;-775.0087;-4.1481425499999997e-07;6.01184403802189e-11;-5.913785e-07
12:32:38;-800;-800.0142;-4.202764899999999e-07;1.0023567226791056e-10;-5.996895e-07
12:32:58;-825;-825.0418;-4.2410075e-07;1.5253081369021839e-10;-6.057558e-07
12:33:18;-850;-850.0204;-4.28609855e-07;1.0163704356065304e-10;-6.145252e-07
12:33:37;-875;-874.9848;-4.3171395999999996e-07;8.325417358907578e-11;-6.192843e-07
12:33:57;-900;-899.9478;-4.3637898e-07;1.190658856683983e-10;-6.255104e-07
