time (10.07.2025);set voltage (V);real voltage (V);current (A);delta current;input current (A)
16:14:31;-25;-25.03111;3.56782495e-07;2.0259395591613705e-10;-3.041745e-08
16:14:51;-50;-50.06632;9.67120975e-08;1.2239082167972184e-10;-4.312158e-08
16:15:11;-75;-75.09389;-1.50636235e-08;3.249340172461939e-11;-5.282724e-08
16:15:31;-100;-100.0671;-3.7784692999999995e-08;1.2428593908805624e-11;-5.684366e-08
16:15:51;-125;-125.0196;-4.0764955e-08;1.6695474409252425e-11;-5.780246e-08
16:16:11;-150;-150.0;-4.146469299999999e-08;1.6670805141024234e-11;-5.862534e-08
16:16:31;-175;-175.035;-4.1673700999999994e-08;1.006631481476706e-11;-5.933819e-08
16:16:51;-200;-200.067;-4.1739013e-08;1.3312037749721115e-11;-5.949126e-08
16:17:11;-225;-225.0785;-4.21680365e-08;1.2047701529233662e-11;-5.954184e-08
16:17:31;-250;-250.0552;-4.2358353999999995e-08;1.5106225031423204e-11;-5.994242e-08
16:17:51;-275;-275.0271;-4.253021949999999e-08;9.967584573882256e-12;-6.023355e-08
16:18:11;-300;-300.0029;-4.2867787499999994e-08;1.1835613775275915e-11;-6.090983e-08
16:18:31;-325;-325.0356;-4.3232773e-08;1.2364533596136947e-11;-6.121834e-08
16:18:51;-350;-350.0494;-4.3449988999999995e-08;9.111548081967043e-12;-6.19083e-08
16:19:11;-375;-375.0817;-4.4124628499999995e-08;1.0387489332726064e-11;-6.265341e-08
16:19:31;-400;-400.058;-4.4335693e-08;1.4090851732596014e-11;-6.286627e-08
16:19:50;-425;-425.028;-4.4706056e-08;1.5021914598345927e-11;-6.337552e-08
16:20:10;-450;-449.9816;-4.5002659e-08;1.2672143029101196e-11;-6.36809e-08
16:20:30;-475;-475.0152;-4.5359694e-08;1.3982191144452413e-11;-6.459198e-08
16:20:50;-500;-500.0471;-4.59185675e-08;9.969796584559786e-12;-6.538917e-08
16:21:10;-525;-525.0812;-4.6364234999999996e-08;1.1347800877262464e-11;-6.584647e-08
16:21:29;-550;-550.0621;-4.6758682e-08;1.4170163700536391e-11;-6.615159e-08
16:21:49;-575;-575.0161;-4.7019934000000006e-08;1.170610243420081e-11;-6.653195e-08
16:22:09;-600;-599.994;-4.7386452e-08;9.467821887847323e-12;-6.716481e-08
16:22:29;-625;-625.0202;-4.7807012500000005e-08;1.2544609178348456e-11;-6.785959e-08
16:22:49;-650;-650.0493;-4.824499899999999e-08;1.0989167868860799e-11;-6.828451e-08
16:23:09;-675;-675.0621;-4.8548513e-08;1.9969467620595226e-11;-6.917436e-08
16:23:29;-700;-700.0427;-4.9107127e-08;1.2779630395672567e-11;-6.992962e-08
16:23:49;-725;-725.0101;-4.9627078500000005e-08;1.518527636026108e-11;-7.068596e-08
16:24:08;-750;-749.9811;-5.00584015e-08;1.502340484502429e-11;-7.13808e-08
16:24:28;-775;-775.0012;-5.0505351000000004e-08;1.3390696320580261e-11;-7.232532e-08
16:24:48;-800;-800.006;-5.100377549999999e-08;1.6102771756362386e-11;-7.272951e-08
16:25:08;-825;-825.0342;-5.1542930000000005e-08;8.233256403149441e-12;-7.415775e-08
16:25:28;-850;-850.0126;-5.2084120500000005e-08;2.422622647540269e-11;-7.515422e-08
16:25:48;-875;-874.9763;-5.2685772499999995e-08;1.705236927636445e-11;-7.676373e-08
16:26:08;-900;-899.9417;-5.3173955999999996e-08;1.1345822301622774e-11;-7.783201e-08
