time (05.02.2026);set voltage (V);real voltage (V);current (A);delta current;input current (A)
12:33:06;-25;-25.03377;4.376377400000001e-07;2.9139214809256615e-10;-3.052543e-08
12:33:26;-50;-50.06558;1.5501859000000004e-07;1.5252195217410458e-10;-3.225456e-08
12:33:45;-75;-75.09306;-2.02661435e-09;2.7289570802439796e-11;-3.293699e-08
12:34:05;-100;-100.0682;-2.20941685e-08;1.311391111139244e-11;-3.337465e-08
12:34:25;-125;-125.0212;-2.31996055e-08;1.2073611358557916e-11;-3.393472e-08
12:34:45;-150;-150.0015;-2.35994095e-08;7.596796116620505e-12;-3.388742e-08
12:35:05;-175;-175.035;-2.37976535e-08;8.467140611652755e-12;-3.464729e-08
12:35:24;-200;-200.0645;-2.4075041e-08;1.1335106305191835e-11;-3.488278e-08
12:35:44;-225;-225.0773;-2.4389044000000002e-08;1.2978437721852286e-11;-3.503162e-08
12:36:04;-250;-250.0553;-2.47158615e-08;1.1034407897005595e-11;-3.576826e-08
12:36:23;-275;-275.0258;-2.5033461999999998e-08;8.835449467910537e-12;-3.592953e-08
12:36:43;-300;-300.0039;-2.53054645e-08;9.546392996179226e-12;-3.647665e-08
12:37:03;-325;-325.0382;-2.5640991000000005e-08;1.2110639762209028e-11;-3.686772e-08
12:37:23;-350;-350.0479;-2.5949623e-08;8.551645370921372e-12;-3.711262e-08
12:37:43;-375;-375.0814;-2.6279772499999996e-08;1.2127801220233597e-11;-3.771238e-08
12:38:03;-400;-400.0566;-2.6634769e-08;1.0818348878179238e-11;-3.815504e-08
12:38:23;-425;-425.0287;-2.7106800500000003e-08;1.1178063684623539e-11;-3.834824e-08
12:38:43;-450;-449.983;-2.7534532e-08;7.50681515690911e-12;-3.93282e-08
12:39:02;-475;-475.0158;-2.7954332000000007e-08;1.1009729120191797e-11;-3.990677e-08
12:39:22;-500;-500.0464;-2.8411254999999994e-08;1.0076244253192803e-11;-4.007275e-08
12:39:42;-525;-525.0807;-2.8852047999999995e-08;8.679522383172944e-12;-4.112895e-08
12:40:01;-550;-550.0618;-2.9381459500000006e-08;1.0450653244534526e-11;-4.150103e-08
12:40:21;-575;-575.0156;-2.98778275e-08;1.3195755148437012e-11;-4.22532e-08
12:40:41;-600;-599.9924;-3.0391364e-08;9.967166432843443e-12;-4.349853e-08
12:41:01;-625;-625.0204;-3.0894647e-08;1.1063207132201834e-11;-4.443785e-08
12:41:21;-650;-650.0481;-3.1398956e-08;1.0993386748404675e-11;-4.506839e-08
12:41:42;-675;-675.0599;-3.1894305500000004e-08;9.902026496505449e-12;-4.647157e-08
12:42:02;-700;-700.0419;-3.2484672e-08;1.0435627523057838e-11;-4.811272e-08
12:42:22;-725;-725.009;-3.3073510999999995e-08;8.281658496339998e-12;-4.943928e-08
12:42:42;-750;-749.9807;-3.36997405e-08;9.007155307726217e-12;-5.155047e-08
12:43:02;-775;-775.0005;-3.432160950000001e-08;8.86488371257628e-12;-5.479747e-08
12:43:22;-800;-800.0079;-3.4976519e-08;1.0133591784258878e-11;-5.784492e-08
12:43:41;-825;-825.0345;-3.5700080499999996e-08;9.44505742372704e-12;-6.293383e-08
12:44:01;-850;-850.0131;-3.65061055e-08;1.0616942650193714e-11;-6.992207e-08
12:44:21;-875;-874.9773;-3.7207628499999994e-08;9.312395402768379e-12;-8.074021e-08
12:44:41;-900;-899.9437;-3.8024159000000005e-08;1.0578823136341737e-11;-9.945933e-08
