time (29.05.2025);set voltage (V);real voltage (V);current (A);delta current;input current (A)
12:32:37;-25;-25.04045;3.9560157499999996e-07;3.3165826444549565e-11;-3.956341e-07
12:32:57;-50;-50.07263;4.5279090000000006e-07;4.01003996239434e-11;-4.522853e-07
12:33:17;-75;-75.09935;4.7658671e-07;4.93683546920501e-11;-4.757433e-07
12:33:37;-100;-100.0735;4.89224275e-07;2.2420229565061e-11;-4.890468e-07
12:33:57;-125;-125.0265;4.9909563e-07;2.83000963779281e-11;-4.981678e-07
12:34:17;-150;-150.0068;5.079058250000001e-07;6.160057746279468e-11;-5.072147e-07
12:34:37;-175;-175.0414;5.16045335e-07;1.6276785989178064e-10;-5.149868e-07
12:34:57;-200;-200.0715;5.23017605e-07;3.1907796441465605e-11;-5.231233e-07
12:35:17;-225;-225.0851;5.296356299999999e-07;4.656331393919569e-11;-5.301355e-07
12:35:37;-250;-250.0624;5.372008e-07;5.855746749988649e-11;-5.368119e-07
12:35:57;-275;-275.0353;5.4314468e-07;2.899629424598963e-11;-5.430255e-07
12:36:17;-300;-300.0117;5.4874417e-07;3.457087220479062e-11;-5.485941e-07
12:36:37;-325;-325.0446;5.565198349999999e-07;1.1990346476957933e-10;-5.568755e-07
12:36:57;-350;-350.0576;5.63452225e-07;7.964459613652319e-11;-5.630012e-07
12:37:16;-375;-375.0904;5.700736e-07;1.0400936808768858e-10;-5.710339e-07
12:37:36;-400;-400.0643;5.775850449999999e-07;6.275114001952658e-11;-5.775181e-07
12:37:56;-425;-425.0365;5.843325450000001e-07;8.118331924570534e-11;-5.844483e-07
12:38:15;-450;-449.9913;5.920179850000001e-07;1.0670047921050202e-10;-5.902064e-07
12:38:35;-475;-475.0249;6.003041050000001e-07;3.556190059248792e-11;-6.000463e-07
12:38:55;-500;-500.0566;6.107436949999999e-07;6.443675522362839e-11;-6.1075e-07
12:39:15;-525;-525.088;6.198554e-07;8.549955555440061e-11;-6.195164e-07
12:39:35;-550;-550.0709;6.2882503e-07;4.041982873541191e-11;-6.293279e-07
12:39:55;-575;-575.0255;6.3795592e-07;9.048237110067275e-11;-6.386688e-07
12:40:15;-600;-600.0015;6.467140199999999e-07;1.0315489435795253e-10;-6.477167e-07
12:40:35;-625;-625.0293;6.568885650000001e-07;6.989076307889375e-11;-6.568926e-07
12:40:55;-650;-650.0568;6.677113349999999e-07;7.575983047598498e-11;-6.679778e-07
12:41:14;-675;-675.0712;6.79519325e-07;5.426191107719931e-11;-6.797306e-07
12:41:34;-700;-700.0524;6.893148049999999e-07;6.766504876042017e-11;-6.897824e-07
12:41:54;-725;-725.0178;7.0242321e-07;5.203821667774592e-11;-7.034294e-07
12:42:14;-750;-749.9878;7.18072635e-07;6.301029569641719e-11;-7.191273e-07
12:42:34;-775;-775.0104;7.349429749999999e-07;5.3719449864551225e-11;-7.352281e-07
12:42:54;-800;-800.0157;7.51417305e-07;6.410116164119102e-11;-7.532448e-07
12:43:13;-825;-825.0468;7.672346549999999e-07;7.320027065352684e-11;-7.685036e-07
12:43:33;-850;-850.0224;7.8746367e-07;7.268109283025091e-11;-7.890073e-07
12:43:53;-875;-874.9893;8.1158626e-07;7.378738489741978e-11;-8.12983e-07
12:44:13;-900;-899.9528;8.4084851e-07;1.0549066520313444e-10;-8.421983e-07
