time (16.06.2025);set voltage (V);real voltage (V);current (A);delta current;input current (A)
08:59:06;-25;-25.0344;4.59479335e-07;4.070388830489656e-10;-3.86343e-08
08:59:26;-50;-50.06514;1.8493337e-07;1.712620489337903e-10;-5.472914e-08
08:59:46;-75;-75.09338;2.32352675e-08;7.178208552931231e-11;-6.786603e-08
09:00:06;-100;-100.0685;-4.1992479e-08;1.6103037336167325e-11;-7.927336e-08
09:00:26;-125;-125.0222;-6.1726634e-08;1.5512060507875358e-11;-8.982045e-08
09:00:45;-150;-150.0034;-7.0783293e-08;1.3958055400019086e-11;-9.916666e-08
09:01:05;-175;-175.0367;-7.734031300000001e-08;9.07858937555843e-12;-1.072346e-07
09:01:25;-200;-200.0677;-8.288769000000001e-08;1.1893779235381492e-11;-1.149011e-07
09:01:45;-225;-225.0806;-8.520826700000001e-08;1.0886716702018119e-11;-1.181938e-07
09:02:05;-250;-250.0574;-8.61884595e-08;2.0517183876874764e-11;-1.207273e-07
09:02:25;-275;-275.0296;-8.6907939e-08;1.6509359874023177e-11;-1.21432e-07
09:02:45;-300;-300.0078;-8.743502100000001e-08;1.4400485146341445e-11;-1.226917e-07
09:03:05;-325;-325.0405;-8.792244699999999e-08;1.0286398400315233e-11;-1.237409e-07
09:03:25;-350;-350.0524;-8.859425250000001e-08;2.5450259732221232e-11;-1.248108e-07
09:03:45;-375;-375.0831;-8.904248299999999e-08;1.0628947621942597e-11;-1.260423e-07
09:04:05;-400;-400.0601;-8.95457605e-08;9.76208485608989e-12;-1.265779e-07
09:04:24;-425;-425.0312;-9.01066845e-08;1.3407645831296994e-11;-1.275135e-07
09:04:44;-450;-449.9846;-9.065506849999998e-08;1.9202619304081935e-11;-1.286308e-07
09:05:04;-475;-475.0177;-9.1287201e-08;1.8687148737835717e-11;-1.300722e-07
09:05:23;-500;-500.0498;-9.2107849e-08;1.4917395799870867e-11;-1.311894e-07
09:05:43;-525;-525.0829;-9.268054400000002e-08;1.1225458106465184e-11;-1.324157e-07
09:06:03;-550;-550.0648;-9.344663000000001e-08;1.570670434878036e-11;-1.331759e-07
09:06:23;-575;-575.0199;-9.429033250000001e-08;1.6320288092968864e-11;-1.347714e-07
09:06:43;-600;-599.9951;-9.4722166e-08;1.444403559258985e-11;-1.356127e-07
09:07:03;-625;-625.0235;-9.519856499999999e-08;9.868543015562165e-12;-1.361833e-07
09:07:23;-650;-650.0511;-9.569008199999999e-08;9.600410736004946e-12;-1.37058e-07
09:07:43;-675;-675.0641;-9.599768950000001e-08;1.8868455242480715e-11;-1.372864e-07
09:08:03;-700;-700.0438;-9.6612664e-08;2.0809754652566495e-11;-1.382747e-07
09:08:23;-725;-725.0133;-9.722709850000001e-08;1.0848238918714205e-11;-1.392625e-07
09:08:43;-750;-749.9825;-9.803264649999999e-08;1.460955863938027e-11;-1.405235e-07
09:09:02;-775;-775.0044;-9.845117e-08;1.5186169118642105e-11;-1.414532e-07
09:09:22;-800;-800.0095;-9.894573600000001e-08;1.2899389877044619e-11;-1.419772e-07
09:09:42;-825;-825.0364;-9.9616028e-08;1.7836314678206268e-11;-1.435874e-07
09:10:02;-850;-850.0153;-1.0027888999999999e-07;1.523264898171032e-11;-1.445462e-07
09:10:22;-875;-874.9793;-1.0093893500000002e-07;1.658492278396264e-11;-1.453846e-07
09:10:42;-900;-899.9445;-1.0156876000000002e-07;2.049847116250409e-11;-1.467861e-07
