time (06.06.2025);set voltage (V);real voltage (V);current (A);delta current;input current (A)
09:17:24;-25;-25.03818;1.44956035e-07;1.750353574995587e-11;-1.453017e-07
09:17:44;-50;-50.07175;2.0000892e-07;1.716795357635894e-11;-1.993319e-07
09:18:04;-75;-75.10088;2.433614849999999e-07;3.341767142920004e-11;-2.42734e-07
09:18:24;-100;-100.0739;2.80078815e-07;2.0453275135049063e-11;-2.792134e-07
09:18:44;-125;-125.0262;3.12661095e-07;4.024380354476836e-11;-3.122194e-07
09:19:04;-150;-150.0049;3.4212816000000006e-07;5.167076513851793e-11;-3.415932e-07
09:19:24;-175;-175.041;3.678223949999999e-07;5.150605230213298e-11;-3.676923e-07
09:19:44;-200;-200.0725;3.9017924e-07;7.374144404607208e-11;-3.905535e-07
09:20:03;-225;-225.0876;4.1012246e-07;7.738545321958184e-11;-4.097572e-07
09:20:23;-250;-250.0629;4.2525835000000003e-07;6.773921593139407e-11;-4.24433e-07
09:20:43;-275;-275.0338;4.3540419e-07;6.110933394335072e-11;-4.347706e-07
09:21:02;-300;-300.009;4.4205009999999996e-07;5.6224421295377195e-11;-4.418218e-07
09:21:22;-325;-325.0444;4.4748245500000005e-07;3.5140930889064904e-11;-4.463724e-07
09:21:42;-350;-350.0573;4.5133504500000004e-07;5.41018837356878e-11;-4.510306e-07
09:22:02;-375;-375.0903;4.5530041e-07;8.246805742225162e-11;-4.546978e-07
09:22:22;-400;-400.066;4.5932651000000007e-07;4.366519317488528e-11;-4.585496e-07
09:22:42;-425;-425.037;4.6324947e-07;3.0075710382300254e-11;-4.630766e-07
09:23:02;-450;-449.9881;4.6654986499999994e-07;1.227477218271288e-10;-4.664511e-07
09:23:23;-475;-475.0225;4.6879017000000004e-07;6.468522787313856e-11;-4.684119e-07
09:23:43;-500;-500.055;4.7234927000000007e-07;2.6147340304512872e-11;-4.725544e-07
09:24:03;-525;-525.0909;4.7663767000000003e-07;3.9619287663965506e-11;-4.760537e-07
09:24:23;-550;-550.0699;4.8046536e-07;2.4213132180697655e-11;-4.805932e-07
09:24:43;-575;-575.025;4.834407549999999e-07;3.7914949871392326e-11;-4.834861e-07
09:25:03;-600;-599.9991;4.86482495e-07;6.278757260596995e-11;-4.873619e-07
09:25:23;-625;-625.0271;4.895239199999999e-07;4.3834666988585765e-11;-4.893558e-07
09:25:43;-650;-650.0558;4.93969585e-07;7.204135072130575e-11;-4.936252e-07
09:26:03;-675;-675.0709;4.97349925e-07;7.787051812945612e-11;-4.978855e-07
09:26:23;-700;-700.0485;5.005260949999999e-07;5.719962608051073e-11;-5.001453e-07
09:26:43;-725;-725.0168;5.046193249999999e-07;6.626673746118787e-11;-5.039589e-07
09:27:03;-750;-749.9851;5.08697455e-07;4.7761645948917996e-11;-5.087123e-07
09:27:23;-775;-775.0073;5.1155404e-07;5.013039965928826e-11;-5.114567e-07
09:27:43;-800;-800.0153;5.1559543e-07;3.7869493064997086e-11;-5.165008e-07
09:28:03;-825;-825.0438;5.189475849999999e-07;4.669851404220545e-11;-5.191535e-07
09:28:23;-850;-850.0196;5.23296685e-07;4.7532981852080415e-11;-5.230621e-07
09:28:43;-875;-874.9841;5.273234749999999e-07;6.602993785965287e-11;-5.288802e-07
09:29:03;-900;-899.9482;5.3003651e-07;5.545384472694595e-11;-5.310695e-07
