time (18.06.2025);set voltage (V);real voltage (V);current (A);delta current;input current (A)
12:48:29;-25;-25.03316;7.669500349999999e-07;5.644832870101198e-10;-3.175485e-08
12:48:48;-50;-50.06436;4.45343705e-07;4.864755462751966e-10;-3.290089e-08
12:49:08;-75;-75.0899;1.47630855e-07;1.1665429042152769e-10;-3.374279e-08
12:49:28;-100;-100.0668;-7.029215899999999e-09;1.966466024330193e-11;-3.451638e-08
12:49:48;-125;-125.0203;-2.3608089999999998e-08;8.474441191016719e-12;-3.491986e-08
12:50:08;-150;-150.0015;-2.4561388499999994e-08;1.1722023508656676e-11;-3.547135e-08
12:50:29;-175;-175.0334;-2.4935327e-08;1.0850290989185531e-11;-3.598678e-08
12:50:48;-200;-200.0627;-2.53615195e-08;1.2671615158988214e-11;-3.669622e-08
12:51:08;-225;-225.0777;-2.58056435e-08;1.0047181253341661e-11;-3.756426e-08
12:51:28;-250;-250.0535;-2.6221080499999998e-08;9.605895597886757e-12;-3.811206e-08
12:51:48;-275;-275.026;-2.657658e-08;1.128873292269786e-11;-3.842234e-08
12:52:09;-300;-300.0051;-2.6837830999999998e-08;9.216180144181177e-12;-3.88522e-08
12:52:28;-325;-325.0354;-2.7151837e-08;6.774720735941823e-12;-3.885691e-08
12:52:48;-350;-350.0487;-2.7585973e-08;1.1333389984907418e-11;-3.976143e-08
12:53:08;-375;-375.0788;-2.7948657e-08;1.15820848749265e-11;-4.033616e-08
12:53:28;-400;-400.0562;-2.8378690499999998e-08;1.0521667916138587e-11;-4.020069e-08
12:53:47;-425;-425.0288;-2.8752124499999993e-08;8.984173403129568e-12;-4.069014e-08
12:54:07;-450;-449.9836;-2.9177293999999995e-08;1.121199463521099e-11;-4.151212e-08
12:54:27;-475;-475.0164;-2.96203905e-08;9.446778908045818e-12;-4.22603e-08
12:54:47;-500;-500.0465;-2.9993307e-08;9.586638725330136e-12;-4.266334e-08
12:55:07;-525;-525.0792;-3.0397217000000004e-08;8.978119404975752e-12;-4.339701e-08
12:55:27;-550;-550.0613;-3.08859085e-08;9.817294109758532e-12;-4.355091e-08
12:55:47;-575;-575.0183;-3.1399183e-08;1.0292601374288152e-11;-4.446534e-08
12:56:07;-600;-599.9948;-3.1933715000000005e-08;8.17037069232485e-12;-4.556757e-08
12:56:27;-625;-625.022;-3.2471312499999995e-08;1.0523298648118796e-11;-4.649901e-08
12:56:47;-650;-650.0481;-3.30744885e-08;8.111182875358098e-12;-4.75799e-08
12:57:07;-675;-675.0596;-3.35611325e-08;9.300991664198896e-12;-4.845358e-08
12:57:27;-700;-700.0428;-3.4254464000000006e-08;1.0869365285057004e-11;-4.991803e-08
12:57:46;-725;-725.0093;-3.492346500000001e-08;8.65041249016482e-12;-5.134005e-08
12:58:06;-750;-749.9825;-3.5554550000000005e-08;9.349878582099359e-12;-5.36096e-08
12:58:26;-775;-775.0013;-3.6214072499999994e-08;1.1052752550269994e-11;-5.59236e-08
12:58:46;-800;-800.0078;-3.695888e-08;1.0288561002394776e-11;-5.91515e-08
12:59:06;-825;-825.0323;-3.7703947500000006e-08;9.351693934122487e-12;-6.270592e-08
12:59:25;-850;-850.0136;-3.8493821999999997e-08;1.1484887866235259e-11;-6.817252e-08
12:59:45;-875;-874.978;-3.9329302e-08;1.2726178542673295e-11;-7.631436e-08
13:00:05;-900;-899.9439;-4.0173228000000005e-08;1.1469936826330037e-11;-8.96164e-08
