Num,Voltage,Ileak[nA],CCE[a.u.],CCE2[a.u.],MPV[mV],Noise[mV],Error mu,Error mean
0,-900.0,-1.302864e-06,2923.8173866666666,2923.8173866666666,823.6,1.707458670396186,2.94181696235507,2.94181696235507
1,-800.0,-1.161173e-06,2951.7253333333338,2951.7253333333338,813.28,1.5518619640791367,0.8847737862301362,0.8847737862301362
2,-700.0,-1.121271e-06,2914.6674133333336,2914.6674133333336,785.76,1.8177377882045218,1.3530746545553192,1.3530746545553192
3,-600.0,-1.061828e-06,2899.7595022222226,2899.7595022222226,756.2,1.7443172777428133,0.8842253106533484,0.8842253106533484
4,-500.0,-1.161406e-06,2894.920924444444,2894.920924444444,714.4,1.792725161917699,0.8212898265533295,0.8212898265533295
5,-450.0,-1.164616e-06,2879.104693333333,2879.104693333333,683.08,1.652517406195099,1.318508107218154,1.318508107218154
6,-400.0,-1.158948e-06,2750.856942222222,2750.856942222222,629.36,1.724722357330751,2.112222167102685,2.112222167102685
7,-350.0,-1.046528e-06,2493.6309688888887,2493.6309688888887,564.76,1.962712358566363,2.658040120088485,2.658040120088485
8,-300.0,-1.009776e-06,2168.4236088888892,2168.4236088888892,497.96,2.0994432654137993,0.8059068253836801,0.8059068253836801
9,-250.0,-9.165296e-07,1875.1515377777773,1875.1515377777773,436.8,1.9287391646959675,1.255964692497368,1.255964692497368
10,-200.0,-1.000492e-06,1557.024391111111,1557.024391111111,367.72,1.7563825900039933,1.1220688035945068,1.1220688035945068
11,-150.0,-7.426797e-07,1188.9370666666664,1188.9370666666664,288.56,2.276486571695759,1.1423927394727278,1.1423927394727278
12,-100.0,-6.174827e-07,871.31552,871.31552,210.24,1.8999443266697171,0.984213563816308,0.984213563816308
