Num,Voltage,Ileak[nA],CCE[a.u.],CCE2[a.u.],MPV[mV],Noise[mV],Error mu,Error mean
0,-900.0,-1.018965e-06,3096.670866133334,3096.670866133334,875.1360000000002,4.582624437609719,0.7299626134654289,0.7299626134654289
1,-800.0,-7.707888e-07,3093.108728177778,3093.108728177778,858.9392000000003,4.603472191766281,0.7239297375992239,0.7239297375992239
2,-700.0,-7.496437e-07,3094.3837408000004,3094.3837408000004,840.3568000000002,4.62102773082641,0.7436076204881171,0.7436076204881171
3,-600.0,-7.398447e-07,3093.2907007999997,3093.2907007999997,815.6376000000001,4.598864045556372,0.6906752448933408,0.6906752448933408
4,-550.0,-7.211087e-07,3094.1458464,3094.1458464,800.5520000000002,4.585524349593089,0.7327946091120526,0.7327946091120526
5,-500.0,-7.145583e-07,3093.6222702222217,3093.6222702222217,781.8648000000001,4.598129667893832,0.6919587060826102,0.6919587060826102
6,-450.0,-7.137409e-07,3091.7115594666666,3091.7115594666666,758.7264000000001,4.580314227570953,0.6782895529678203,0.6782895529678203
7,-400.0,-7.010375e-07,3082.8605870222223,3082.8605870222223,728.04,4.615186382494801,0.7060860369413362,0.7060860369413362
8,-350.0,-7.01292e-07,3055.6512497777776,3055.6512497777776,685.3376000000001,4.590440956316954,0.7605626198755758,0.7605626198755758
9,-300.0,-6.682424e-07,2903.669918577778,2903.669918577778,619.9264000000001,4.601100362141515,0.7998592907807746,0.7998592907807746
10,-250.0,-6.403711e-07,2579.4306936888893,2579.4306936888893,541.6936000000001,4.60802043947799,0.6928014143505218,0.6928014143505218
11,-200.0,-6.234449e-07,2138.2066961777778,2138.2066961777778,456.1712,4.5795053965744295,0.6126929136470246,0.6126929136470246
12,-150.0,-5.602278e-07,1674.6445959111113,1674.6445959111113,363.51439999999997,4.591213774057071,0.5684360944486199,0.5684360944486199
13,-100.0,-4.653434e-07,1193.232007466667,1193.232007466667,262.37760000000003,4.5720491734694,0.45568482613174616,0.45568482613174616
