Num,Voltage,Ileak[nA],CCE[a.u.],CCE2[a.u.],MPV[mV],Noise[mV],Error mu,Error mean
0,-900.0,-1.218651e-06,3268.8451144611954,3268.8451144611954,887.7587939698492,1.7774510865372801,0.8087530882849888,0.8087530882849888
1,-800.0,-1.08732e-06,3264.024888888888,3264.024888888888,871.7587939698492,1.7075870666467707,0.7783133614254644,0.7783133614254644
2,-700.0,-1.041653e-06,3274.416795086544,3274.416795086544,854.4723618090452,1.602075839382921,0.7281234033815603,0.7281234033815603
3,-600.0,-1.216559e-06,3276.1542289223903,3276.1542289223903,828.2211055276383,1.597059271591784,0.8781452730424807,0.8781452730424807
4,-500.0,-1.163654e-06,3256.066769402568,3256.066769402568,784.2010050251256,1.6483212641271148,0.9154810928197868,0.9154810928197868
5,-400.0,-1.095554e-06,3151.0783070910106,3151.0783070910106,703.7989949748744,1.6570971641568164,0.8537054438746859,0.8537054438746859
6,-350.0,-9.969398e-07,2919.4732060301512,2919.4732060301512,638.9145728643216,1.8493938231588198,1.2140910561232907,1.2140910561232907
7,-300.0,-9.849853e-07,2530.7531256281404,2530.7531256281404,558.4321608040201,2.3285613542292904,2.407945547481881,2.407945547481881
8,-250.0,-1.036203e-06,2079.656111669459,2079.656111669459,471.3969849246231,3.06636842777886,0.8750998550380208,0.8750998550380208
9,-200.0,-8.221115e-07,1709.2990642099387,1709.2990642099387,394.25125628140705,3.0183611023172863,0.6959830232492468,0.6959830232492468
10,-150.0,-7.409122e-07,1371.2570675600225,1371.2570675600225,317.9497487437186,2.550575058206685,1.8386283727257593,1.8386283727257593
11,-100.0,-6.02112e-07,991.8291189279732,991.8291189279732,230.19095477386935,2.330367574366209,0.546626019345036,0.546626019345036
12,-50.0,3.567792e-05,562.2586532663317,562.2586532663317,127.51758793969849,2.2158433512816615,0.4670283546682054,0.4670283546682054
