Num,Voltage,Ileak[nA],CCE[a.u.],CCE2[a.u.],MPV[mV],Noise[mV],Error mu,Error mean
0,-900.0,-6.268666e-07,3722.6600142222237,3722.6600142222237,978.5,3.503298818112389,0.7607661215624147,0.7607661215624147
1,-800.0,-6.142757e-07,3730.7486122666674,3730.7486122666674,967.2976000000002,3.5157308015767597,0.7708896597020366,0.7708896597020366
2,-700.0,-5.905862e-07,3739.9236028444448,3739.9236028444448,953.2952000000001,3.527853296048393,0.7738649072009388,0.7738649072009388
3,-600.0,-5.736696e-07,3763.6534520888895,3763.6534520888895,936.9416000000003,3.542804305064034,0.8259829415024967,0.8259829415024967
4,-500.0,-5.904354e-07,3783.502131200001,3783.502131200001,911.1736000000004,3.527677970084887,0.8183977143772581,0.8183977143772581
5,-400.0,-5.765498e-07,3817.6348252444445,3817.6348252444445,873.7968000000002,3.4944922133290395,0.8763742049447146,0.8763742049447146
6,-350.0,-5.488208e-07,3825.020239644445,3825.020239644445,843.4328000000003,3.490485539946104,0.8920835113007803,0.8920835113007803
7,-300.0,-5.37052e-07,3785.0519640888892,3785.0519640888892,795.2520000000001,3.5349562325724024,0.8256840434463558,0.8256840434463558
8,-250.0,-5.045536e-07,3542.309268977778,3542.309268977778,713.0744,3.5219725000265427,1.0139542321783184,1.0139542321783184
9,-200.0,-4.698127e-07,3018.0658083555554,3018.0658083555554,607.8648,3.566463280885726,0.8597313045521149,0.8597313045521149
10,-150.0,-4.305568e-07,2356.577414044445,2356.577414044445,484.44320000000005,3.5390040291640688,0.7860717871372326,0.7860717871372326
11,-100.0,-3.691214e-07,1685.763766755556,1685.763766755556,352.38559999999995,3.5529681963294295,1.6089523190254198,1.6089523190254198
