Num,Voltage,Ileak[nA],CCE[a.u.],CCE2[a.u.],MPV[mV],Noise[mV],Error mu,Error mean
0,-900.0,-0.0001049895,2640.7790933333335,2640.7790933333335,836.52,6.8988725648954174,0.9778897377516553,0.9778897377516553
1,-800.0,-8.240063e-07,2631.7065600000005,2631.7065600000005,826.84,6.949117801722909,1.150552512838942,1.150552512838942
2,-700.0,2.983212e-05,2615.7827555555555,2615.7827555555555,812.4,7.214130852058153,0.9663145657600346,0.9663145657600346
3,-600.0,-7.089642e-07,2616.7686577777777,2616.7686577777777,800.28,7.115727845093017,1.0051843277727737,1.0051843277727737
4,-500.0,6.090524e-05,2597.7493333333337,2597.7493333333337,778.0,7.494760243737694,0.9070019113541039,0.9070019113541039
5,-400.0,-6.516094e-07,2583.9539733333336,2583.9539733333336,751.24,7.468492961174371,0.9278227692830143,0.9278227692830143
6,-300.0,0.0001039447,2580.908675555556,2580.908675555556,714.72,7.443007393636553,0.7732344203409466,0.7732344203409466
7,-250.0,-6.187194e-07,2569.051964444445,2569.051964444445,683.8,7.691101579499054,1.0358535865652039,1.0358535865652039
8,-200.0,-6.089053e-07,2555.7708444444447,2555.7708444444447,641.48,7.7714465660129886,0.9439337671680158,0.9439337671680158
9,-150.0,-3.997368e-07,2499.494222222222,2499.494222222222,565.6,7.984447165784859,0.8910434332848257,0.8910434332848257
10,-100.0,-5.308767e-07,2108.7476444444446,2108.7476444444446,422.48,7.931329827935929,1.1591234812564137,1.1591234812564137
11,-50.0,3.641572e-05,1206.756142222222,1206.756142222222,237.24,7.682381610534363,0.5832913508702141,0.5832913508702141
