Num,Voltage,Ileak[nA],CCE[a.u.],CCE2[a.u.],MPV[mV],Noise[mV],Error mu,Error mean
0,-900.0,-1.307414e-07,1398.2165308444446,1398.2165308444446,468.7144,3.73105972009079,0.5510345554945889,0.5510345554945889
1,-850.0,-1.663755e-07,1382.3220888888889,1382.3220888888889,463.04240000000004,3.7732759054260985,0.5492100395691255,0.5492100395691255
2,-800.0,-1.550355e-07,1372.5267228444445,1372.5267228444445,459.03520000000003,3.8001846899263496,0.5574854153715598,0.5574854153715598
3,-750.0,-1.269214e-07,1353.3305902222223,1353.3305902222223,451.74480000000005,3.9925044364114917,0.5002701886096346,0.5002701886096346
4,-700.0,-1.4243e-07,1350.1323413333334,1350.1323413333334,448.9280000000001,3.9295524133021686,1.1689358701566486,1.1689358701566486
5,-650.0,-1.30919e-07,1376.6062741333333,1376.6062741333333,452.8368,3.6067512274991564,0.5237860049435453,0.5237860049435453
6,-600.0,-1.215582e-07,1372.2252021333336,1372.2252021333336,449.13520000000005,3.5475981145558197,0.5422355414912597,0.5422355414912597
7,-550.0,-1.256121e-07,1364.2458307555557,1364.2458307555557,443.8936000000001,3.5577582862926422,0.5102594122365618,0.5102594122365618
8,-500.0,-1.088754e-07,1358.004724622222,1358.004724622222,438.95040000000006,3.5618083826320106,0.5360436032366027,0.5360436032366027
9,-450.0,-1.169539e-07,1351.2400604444445,1351.2400604444445,433.7176,3.5474091960120173,0.5836735296790498,0.5836735296790498
10,-400.0,-1.182744e-07,1346.0201841777778,1346.0201841777778,427.668,3.549856111251224,0.586285687145508,0.586285687145508
11,-350.0,-1.308203e-07,1338.2495409777778,1338.2495409777778,420.5672,3.5763662738484987,0.5342583794909709,0.5342583794909709
12,-300.0,4.31222e-07,1330.8794211555557,1330.8794211555557,412.10880000000003,3.593863434645779,0.5261194276417477,0.5261194276417477
13,-250.0,3.570074e-08,1326.3206293333333,1326.3206293333333,402.1016,3.6267108712992275,0.5138296183089504,0.5138296183089504
14,-200.0,-1.011545e-09,1319.7147420444444,1319.7147420444444,389.1152,3.642704532409884,0.5493148728294913,0.5493148728294913
15,-180.0,-1.19787e-07,1290.540672,1290.540672,376.34799999999996,3.9650699688375974,0.5397937027165851,0.5397937027165851
16,-160.0,-1.17204e-07,1287.096571377778,1287.096571377778,368.56239999999997,4.048842945491258,0.5020298305285057,0.5020298305285057
17,-140.0,-1.06553e-07,1283.7418048000002,1283.7418048000002,360.144,4.015563099209542,0.5285743512506063,0.5285743512506063
18,-120.0,-1.140409e-07,1280.0359637333336,1280.0359637333336,349.79759999999993,4.0606941253162345,0.5119505930111603,0.5119505930111603
19,-100.0,-1.013302e-07,1278.5859747555555,1278.5859747555555,337.62559999999996,4.018493044208316,0.48792116334211183,0.48792116334211183
20,-80.0,-8.572449e-08,1263.7359022222224,1263.7359022222224,319.66159999999996,4.009587503539886,0.4942169507555146,0.4942169507555146
21,-60.0,-9.411347e-08,1233.2787274666669,1233.2787274666669,292.6175999999999,3.9687125294623087,0.4949136085581005,0.4949136085581005
22,-40.0,-8.449017e-08,1193.8865905777782,1193.8865905777782,249.70640000000003,3.941734801193913,0.5405719754778275,0.5405719754778275
23,-20.0,-7.311506e-09,1072.3273841777782,1072.3273841777782,172.60880000000006,3.8742284881751177,0.49903890216487073,0.49903890216487073
