Num,Voltage,Ileak[nA],CCE[a.u.],CCE2[a.u.],MPV[mV],Noise[mV],Error mu,Error mean
0,-900.0,-0.0001049851,1152.4697600000002,1152.4697600000002,347.28,2.034362144096604,0.6660861205579968,0.6660861205579968
1,-800.0,-9.624526e-07,1137.5985955555557,1137.5985955555557,342.32,1.9953345460391558,0.5905582443756079,0.5905582443756079
2,-700.0,-6.849057e-07,1129.4605688888892,1129.4605688888892,337.64,1.9360319735141607,0.9288498108951757,0.9288498108951757
3,-600.0,-7.573204e-07,1139.8614222222222,1139.8614222222222,337.44,1.4674932855757388,0.6137246183753744,0.6137246183753744
4,-500.0,6.853559e-05,1134.5618666666667,1134.5618666666667,332.68,1.4470744432973877,0.5785636172453265,0.5785636172453265
5,-400.0,-6.618898e-07,1114.751057777778,1114.751057777778,323.72,1.532365088819273,0.5875294007962452,0.5875294007962452
6,-300.0,8.722806e-05,1102.7846222222224,1102.7846222222224,314.24,1.4384400844467626,0.626184443115604,0.626184443115604
7,-200.0,-5.941621e-07,1091.1703288888891,1091.1703288888891,300.16,1.492351843464321,0.6602224982534309,0.6602224982534309
8,-100.0,0.0001049636,1066.1040711111111,1066.1040711111111,264.36,1.43815801257574,0.6338107124370786,0.6338107124370786
9,-80.0,-5.244114e-07,1054.1002133333332,1054.1002133333332,249.28,1.4448404756235202,0.6465465180480002,0.6465465180480002
10,-60.0,-5.368655e-07,1023.6382399999997,1023.6382399999997,224.68,1.6334028556632587,0.648817015806455,0.648817015806455
11,-40.0,-4.9589e-07,928.7595555555554,928.7595555555554,175.96,1.6612450336203854,0.5650501315812609,0.5650501315812609
12,-20.0,-3.56398e-07,602.4507555555555,602.4507555555555,103.4,1.547155653864197,0.5232195592674292,0.5232195592674292
