time (30.01.2025);set voltage (V);real voltage (V);serial capacitance;1/serial capacitance^2;parallel capacitance;LCR frequency (Hz);r;delta r;x;delta x;sample current
11:13:40;-25;-25.03964;9.774852079230123e-11;1.0465973046289893e+20;8.532576007510672e-11;2000.0;310633.95;38.04375605799196;-814104.1;128.2111715101301;-4.214834e-06
11:14:00;-50;-50.07296;9.15980166706639e-11;1.191867176374941e+20;8.431588502724531e-11;2000.0;255316.35;11.001426043927216;-868768.5;29.778053999548057;-5.980581e-06
11:14:19;-75;-75.0976;8.760626606822978e-11;1.3029557276092395e+20;8.249900204366496e-11;2000.0;226008.5;16.507498296228896;-908353.65;41.95540936518197;-7.843309e-06
11:14:39;-100;-100.0703;8.41009016149859e-11;1.4138348956735968e+20;8.048663721134806e-11;2000.0;200510.7;100.76681249300287;-946214.25;134.93533404931415;-4.410199e-05
11:14:58;-125;-125.0315;8.120551213544391e-11;1.5164530911639123e+20;7.869636451505988e-11;2000.0;174980.8;19.42403150738796;-979951.6;25.37187419171079;-9.507428e-06
11:15:18;-150;-150.0008;7.891474551312842e-11;1.6057712550907783e+20;7.719078677078312e-11;2000.0;150699.8;360.96686551538215;-1008398.0;284.732857253953;-0.0001831348
11:15:38;-175;-175.0362;7.699624928492003e-11;1.6867893882434375e+20;7.586884150178231e-11;2000.0;125988.05;17.59992542597837;-1033524.0;17.767948671695333;-1.12465e-05
11:15:57;-200;-200.0675;7.547359482721771e-11;1.755536760485242e+20;7.478403310649394e-11;2000.0;101245.85;18.252571736607415;-1054375.0;15.321553446044563;-1.203094e-05
11:16:16;-225;-225.0792;7.434829569096705e-11;1.8090808023186922e+20;7.397085788919864e-11;2000.0;76455.98500000002;26.513818354775154;-1070333.5;18.01769963119599;-1.261038e-05
11:16:35;-250;-250.0579;7.367622680735867e-11;1.842235927329256e+20;7.347893903378494e-11;2000.0;55966.92;17.3716616936896;-1080097.0;10.39471019317037;-1.321109e-05
11:16:54;-275;-275.03;7.332170070283238e-11;1.8600942069343103e+20;7.32145195978769e-11;2000.0;41525.810000000005;8.716375106659909;-1085319.5;6.9453221667536775;-1.370108e-05
11:17:14;-300;-300.0068;7.315265659853945e-11;1.868700900982007e+20;7.308532054573723e-11;2000.0;33019.37;16.756345216066716;-1087827.5;7.445636305917714;-1.421035e-05
11:17:34;-325;-325.0405;7.306433413988314e-11;1.873221520180622e+20;7.301588942785292e-11;2000.0;28054.284999999996;12.706479203540265;-1089142.5;8.99652710772329;-1.462357e-05
11:17:54;-350;-350.0519;7.301177790057189e-11;1.875919301686264e+20;7.297373023305156e-11;2000.0;24887.309999999998;15.98836123559877;-1089926.5;9.035347253979783;-1.505533e-05
11:18:13;-375;-375.0837;7.297706124192204e-11;1.8777045514547475e+20;7.294511388083152e-11;2000.0;22820.394999999997;11.384499275330501;-1090445.0;8.645808232895291;-1.550398e-05
11:18:32;-400;-400.0612;7.295193988923721e-11;1.8789979673676785e+20;7.292394030305163e-11;2000.0;21374.405;7.1881446667412865;-1090820.5;9.205297387917458;-1.590416e-05
11:18:52;-425;-425.0324;7.293144752714182e-11;1.880054041739823e+20;7.290645464383191e-11;2000.0;20202.285000000003;11.757727831090493;-1091127.0;8.096295449154509;-1.616886e-05
11:19:11;-450;-449.987;7.291460761655454e-11;1.8809225535234064e+20;7.289148334398222e-11;2000.0;19438.879999999997;10.429996644294786;-1091379.0;8.599418584997476;-1.66395e-05
11:19:31;-475;-475.0186;7.290131492751565e-11;1.8816085438403507e+20;7.287951399573471e-11;2000.0;18879.46;11.075415116373804;-1091578.0;9.736529155710468;-1.696723e-05
11:19:50;-500;-500.0503;7.288869469946214e-11;1.8822601780833242e+20;7.286791291546098e-11;2000.0;18437.550000000003;9.948043777547445;-1091767.0;10.370631610466162;-1.74383e-05
11:20:09;-525;-525.0842;7.287928245415152e-11;1.8827463913926158e+20;7.28589279423216e-11;2000.0;18250.510000000002;10.516375088403807;-1091908.0;6.618156843109719;-1.786943e-05
11:20:29;-550;-550.0665;7.287003945889455e-11;1.8832240450281157e+20;7.285027027323038e-11;2000.0;17989.534999999996;9.429860219006393;-1092046.5;7.185923740202091;-1.818277e-05
11:20:48;-575;-575.0203;7.286066538600777e-11;1.883708658090409e+20;7.284102964565617e-11;2000.0;17932.159999999996;10.489021403353169;-1092187.0;9.56817641977822;-1.857036e-05
11:21:08;-600;-599.9957;7.285416166387757e-11;1.8840449920550837e+20;7.283445529717486e-11;2000.0;17966.795000000002;10.496217116180388;-1092284.5;8.816887205811357;-1.913078e-05
11:21:27;-625;-625.0238;7.284612533442054e-11;1.884460707821973e+20;7.2826459738217e-11;2000.0;17951.165;11.775910315130613;-1092405.0;8.231038816577163;-1.947045e-05
11:21:47;-650;-650.0524;7.283895749105633e-11;1.8848316132896063e+20;7.28189262071378e-11;2000.0;18120.019999999997;9.125520807055407;-1092512.5;8.272696053887147;-1.99429e-05
11:22:06;-675;-675.064;7.283325756220281e-11;1.8851266385801275e+20;7.281285938078769e-11;2000.0;18287.405000000002;7.556382980633047;-1092598.0;8.763560920082657;-2.038289e-05
11:22:26;-700;-700.0447;7.282735857535319e-11;1.8854320399523545e+20;7.28064508820273e-11;2000.0;18516.705;12.688269139248286;-1092686.5;8.696982235235392;-2.09004e-05
11:22:45;-725;-725.0135;7.282089411667332e-11;1.8857668020739624e+20;7.279936561052947e-11;2000.0;18792.185;7.264180184301568;-1092783.5;8.86777875231447;-2.124985e-05
11:23:05;-750;-749.9833;7.281622975627355e-11;1.8860084014465702e+20;7.279361362268637e-11;2000.0;19263.025;9.4294747335151;-1092853.5;7.591936511852559;-2.191802e-05
11:23:24;-775;-775.0035;7.281060000288001e-11;1.8863000670195312e+20;7.278693284259776e-11;2000.0;19707.97;13.54740768560524;-1092938.0;8.264381404557753;-2.245498e-05
11:23:43;-800;-800.0098;7.280646984990638e-11;1.88651408450512e+20;7.278143129618627e-11;2000.0;20272.835000000003;10.5182039222483;-1093000.0;7.7781745930520225;-2.303738e-05
11:24:02;-825;-825.0378;7.280124121547326e-11;1.8867850756737276e+20;7.277455250775815e-11;2000.0;20932.704999999994;8.613261504795977;-1093078.5;9.388157433703379;-2.366786e-05
11:24:22;-850;-850.0164;7.27949811634922e-11;1.8871096002584e+20;7.276654716211439e-11;2000.0;21609.355000000003;9.599769463377793;-1093172.5;9.051933495115835;-2.423207e-05
11:24:41;-875;-874.9803;7.279161849498926e-11;1.8872839574362875e+20;7.276093324393643e-11;2000.0;22450.420000000002;9.569290987319775;-1093223.0;7.519973404208288;-2.488675e-05
11:25:00;-900;-899.9459;7.278782338097073e-11;1.8874807663033283e+20;7.275423102808762e-11;2000.0;23492.135000000002;10.446270327250744;-1093280.0;9.027735042633893;-2.574348e-05
