time (26.05.2025);set voltage (V);real voltage (V);serial capacitance;1/serial capacitance^2;parallel capacitance;LCR frequency (Hz);r;delta r;x;delta x;sample current
07:59:59;-25;-25.04141;6.871986959040317e-11;2.1175581568214843e+20;6.382828384439168e-11;2000.0;320572.35;15.221247485012519;-1157998.0;16.607227342335023;-2.841928e-06
08:00:18;-50;-50.07507;6.753265168783756e-11;2.1926655563467715e+20;6.429700293737463e-11;2000.0;264339.25;14.15748476954858;-1178355.5;19.652925990803507;-4.159568e-06
08:00:39;-75;-75.10524;6.66035635846106e-11;2.2542655133412744e+20;6.423012178070455e-11;2000.0;229674.4;11.55755164383876;-1194793.0;15.034959261667456;-5.126839e-06
08:00:58;-100;-100.0773;6.584614659627381e-11;2.306424649736436e+20;6.400264824263793e-11;2000.0;205107.8;13.205604870660038;-1208536.5;13.38422579008588;-5.917473e-06
08:01:18;-125;-125.0299;6.519740213602232e-11;2.3525530078335772e+20;6.371311216067267e-11;2000.0;186296.55;10.846998432746268;-1220562.0;12.876334882255897;-6.603962e-06
08:01:37;-150;-150.0023;6.461869579928402e-11;2.3948792614227427e+20;6.340143008251291e-11;2000.0;170637.75;18.90897604313888;-1231493.0;8.065358020571683;-8.711605e-06
08:01:56;-175;-175.0453;6.414622995594153e-11;2.4302879097265796e+20;6.311166371350287e-11;2000.0;158833.95;8.909678725969863;-1240563.5;11.429676285879665;-7.744571e-06
08:02:16;-200;-200.0733;6.370442986882272e-11;2.464113643831485e+20;6.282338010048941e-11;2000.0;147931.3;22.893787366881874;-1249167.0;13.078608488673403;-4.663618e-05
08:02:36;-225;-225.0941;6.333524338319293e-11;2.4929244233465017e+20;6.256041911323621e-11;2000.0;139828.75;14.089158065690086;-1256448.5;12.634773444743677;-8.786813e-06
08:02:56;-250;-250.0586;6.294916605996156e-11;2.5235972063042152e+20;6.227600137984828e-11;2000.0;131431.8;53.20825123982182;-1264154.5;54.838284984124;-0.0001353435
08:03:16;-275;-275.0311;6.261276265047166e-11;2.550787423193557e+20;6.201577185491359e-11;2000.0;124698.15;15.213854705497873;-1270946.5;14.146996147592603;-9.674773e-06
08:03:35;-300;-300.006;6.227837592583933e-11;2.5782524711651954e+20;6.174748611443036e-11;2000.0;118480.1;10.020204588729715;-1277770.5;11.455893679674231;-1.011813e-05
08:03:55;-325;-325.0421;6.194587818424439e-11;2.6060045622308287e+20;6.147327387655817e-11;2000.0;112637.6;12.232620324362234;-1284629.0;11.020435563080072;-1.056764e-05
08:04:14;-350;-350.0538;6.159926427330234e-11;2.6354146137059377e+20;6.118478446732804e-11;2000.0;106327.25;10.153293800535863;-1291857.5;8.362864341838865;-1.098876e-05
08:04:33;-375;-375.0879;6.122615585232909e-11;2.667632591207297e+20;6.087462003954926e-11;2000.0;98768.80500000001;14.101296881847054;-1299730.0;9.433981132056603;-1.135589e-05
08:04:53;-400;-400.0631;6.086103087388041e-11;2.6997365830880323e+20;6.0573352619659e-11;2000.0;90108.04000000001;12.568729848317865;-1307527.5;10.720890821195784;-1.170235e-05
08:05:12;-425;-425.034;6.052678653700001e-11;2.729636178915237e+20;6.030238593143197e-11;2000.0;80202.38499999998;15.829472946058598;-1314748.0;11.304866208850063;-1.206713e-05
08:05:32;-450;-449.9867;6.023480933687957e-11;2.7561631380890246e+20;6.006885097860931e-11;2000.0;69441.24500000001;17.142625929244314;-1321121.0;13.339790103296227;-1.235845e-05
08:05:51;-475;-475.021;6.001430761963662e-11;2.7764534718922408e+20;5.989574946002098e-11;2000.0;58993.35000000001;17.542402201523036;-1325975.0;10.18577439373168;-1.266744e-05
08:06:11;-500;-500.0523;5.985921695815377e-11;2.7908592678883905e+20;5.97760456981796e-11;2000.0;49588.634999999995;12.973091911722413;-1329410.5;9.286414808740776;-1.295514e-05
08:06:30;-525;-525.0872;5.975608077310492e-11;2.8005013652982327e+20;5.969681266697221e-11;2000.0;41960.725;12.826224844045113;-1331705.0;10.136567466356645;-1.32244e-05
