time (18.08.2025);set voltage (V);real voltage (V);serial capacitance;1/serial capacitance^2;parallel capacitance;LCR frequency (Hz);r;delta r;x;delta x;sample current
15:04:01;-25;-25.03614;6.916616534171994e-11;2.090319167764445e+20;6.409072447035338e-11;2000.0;323769.35;41.612634800021965;-1150526.0;54.7968977224076;-2.792009e-06
15:04:21;-50;-50.06844;6.791970023735752e-11;2.1677464267863366e+20;6.456174891481401e-11;2000.0;267204.6;21.140529794685847;-1171640.5;20.24197371799499;-4.106962e-06
15:04:40;-75;-75.09574;6.694605619083317e-11;2.231259099487794e+20;6.44810624140556e-11;2000.0;232411.15;25.609497749858345;-1188680.5;34.86742749329236;-5.065892e-06
15:05:00;-100;-100.072;6.614261637846256e-11;2.285794901709621e+20;6.423206183557663e-11;2000.0;207497.35;15.25864918660888;-1203119.5;25.489948999556667;-5.861119e-06
15:05:19;-125;-125.0267;6.546940417160446e-11;2.333045577195409e+20;6.392958525354516e-11;2000.0;188640.8;13.720349849766954;-1215491.0;19.74715169334555;-6.566211e-06
15:05:38;-150;-150.0105;6.489312969329941e-11;2.3746661413404757e+20;6.361940501241269e-11;2000.0;173513.95;20.970750463443128;-1226285.0;17.937391114652094;-8.683761e-06
15:05:58;-175;-175.0359;6.437650494039254e-11;2.4129327083581538e+20;6.330838782133401e-11;2000.0;160561.55;20.519317118266876;-1236126.0;16.407315441594946;-3.040518e-05
15:06:17;-200;-200.0742;6.394322511811766e-11;2.4457436004240743e+20;6.301835817915665e-11;2000.0;150765.4;21.175032467507577;-1244502.0;19.372661149155526;-8.290151e-06
15:06:37;-225;-225.0747;6.351551046961521e-11;2.4787938748877124e+20;6.27199043220598e-11;2000.0;141109.65;51.73641246742956;-1252882.5;48.077411535980175;-0.0001066097
15:06:57;-250;-250.0553;6.315198705013606e-11;2.5074135012639316e+20;6.245048271377527e-11;2000.0;133552.0;24.30617205567343;-1260094.5;22.455233243054945;-9.247558e-06
15:07:17;-275;-275.0275;6.28057341025907e-11;2.5351368470218693e+20;6.218301970861504e-11;2000.0;126794.2;17.342231690298686;-1267041.5;23.337469871432077;-9.69258e-06
15:07:36;-300;-300.0057;6.246896983837283e-11;2.5625438851757313e+20;6.191286980914697e-11;2000.0;120729.05;19.623898058235017;-1273872.0;32.66190441477655;-1.013687e-05
15:07:55;-325;-325.037;6.210299337350437e-11;2.5928353106288152e+20;6.161187611713766e-11;2000.0;114403.15;15.911674173386029;-1281379.0;13.41454434559743;-1.055186e-05
15:08:14;-350;-350.0482;6.174149566577507e-11;2.6232864028218468e+20;6.131054904726827e-11;2000.0;108058.05;21.172443765423015;-1288881.5;21.659582175102084;-1.094205e-05
15:08:34;-375;-375.0803;6.135869456035167e-11;2.6561205237297057e+20;6.099070489993799e-11;2000.0;100739.55;39.66393040282316;-1296922.5;31.343859047666733;-1.130808e-05
15:08:53;-400;-400.0584;6.097888203563729e-11;2.689311346400226e+20;6.067672598623815e-11;2000.0;92090.59;12.709834577994883;-1305000.5;22.23145294397107;-1.168761e-05
15:09:12;-425;-425.0305;6.062666678801604e-11;2.7206496328439428e+20;6.039030457467132e-11;2000.0;82116.76999999999;18.550828957219554;-1312582.0;14.63898903613224;-1.201522e-05
15:09:31;-450;-449.9867;6.032076197438725e-11;2.7483140758020368e+20;6.014526660820844e-11;2000.0;71261.575;16.43075298791835;-1319238.5;16.677454841791658;-1.237827e-05
15:09:51;-475;-475.0176;6.008529207261028e-11;2.769897171456737e+20;5.996107942612164e-11;2000.0;60279.56999999999;14.361685311968115;-1324408.5;16.283043327339026;-1.26983e-05
15:10:10;-500;-500.048;5.991767386292488e-11;2.785416285871651e+20;5.983081937784397e-11;2000.0;50602.135;25.34478869018252;-1328113.5;23.11141492855857;-1.295404e-05
15:10:29;-525;-525.0789;5.98108072092033e-11;2.7953788347850477e+20;5.974925489431083e-11;2000.0;42703.79;18.5047438512398;-1330486.5;21.439158099141856;-1.319216e-05
15:10:48;-550;-550.0618;5.974188220381403e-11;2.8018326871907628e+20;5.969666667074384e-11;2000.0;36658.95;27.01251793150724;-1332021.5;14.667566260290084;-1.345137e-05
15:11:08;-575;-575.0187;5.969520686265216e-11;2.806215874053716e+20;5.96605835838788e-11;2000.0;32113.75;14.933024643386902;-1333063.0;14.493101807411689;-1.365599e-05
