time (03.07.2025);set voltage (V);real voltage (V);serial capacitance;1/serial capacitance^2;parallel capacitance;LCR frequency (Hz);r;delta r;x;delta x;sample current
08:20:34;-25;-25.03854;6.971722498225709e-11;2.057405117134202e+20;6.279769565334247e-11;2000.0;378892.9;45.88752008988937;-1141432.0;60.644867878494054;-3.539403e-06
08:20:54;-50;-50.07428;6.902796254428575e-11;2.0986977187501566e+20;6.373657651398087e-11;2000.0;332166.2;34.0318674186416;-1152829.5;41.51791781869606;-5.387798e-06
08:21:14;-75;-75.10148;6.839631547702546e-11;2.137640092882384e+20;6.410852849224173e-11;2000.0;300895.8;27.644040949181072;-1163476.0;30.95480576582576;-6.82433e-06
08:21:34;-100;-100.0694;6.780866709381266e-11;2.1748513816698202e+20;6.42309800431624e-11;2000.0;276970.7;18.52175747600643;-1173559.0;24.41208717008851;-2.612898e-05
08:21:54;-125;-125.0277;6.727237813548458e-11;2.2096650102307697e+20;6.421599917182185e-11;2000.0;258068.7;17.264283941131186;-1182914.5;22.720860459058322;-8.99503e-06
08:22:14;-150;-149.9995;6.681284424627475e-11;2.2401653712343368e+20;6.415949926907115e-11;2000.0;242212.5;29.878294797394307;-1191050.5;41.13073668195113;-0.0001560001
08:22:34;-175;-175.0372;6.641199154755595e-11;2.267289579922041e+20;6.407261736856796e-11;2000.0;228958.75;24.800894641121314;-1198239.5;28.42951811058358;-1.09128e-05
08:22:53;-200;-200.069;6.602692980864415e-11;2.2938118557853594e+20;6.394914366552627e-11;2000.0;217246.15;21.052348443819753;-1205227.5;27.10973072533182;-1.175295e-05
08:23:12;-225;-225.0826;6.568797841749321e-11;2.3175451681146785e+20;6.382166727259785e-11;2000.0;207163.0;32.00648371814686;-1211446.5;42.40445141727457;-1.256156e-05
08:23:31;-250;-250.0582;6.534913506624442e-11;2.3416409934072267e+20;6.366775877535792e-11;2000.0;197889.6;26.784827794854312;-1217728.0;37.753145564310266;-1.335259e-05
08:23:51;-275;-275.03;6.506370980070452e-11;2.3622309509221754e+20;6.353179074650152e-11;2000.0;189921.3;15.201825548268868;-1223070.0;24.0;-1.414405e-05
08:24:10;-300;-300.0063;6.478256004743466e-11;2.3827791293247223e+20;6.338323411428842e-11;2000.0;182517.4;17.888599721610404;-1228378.0;21.23205124334434;-1.486484e-05
08:24:30;-325;-325.0409;6.454620865841146e-11;2.4002613103952937e+20;6.325434181243588e-11;2000.0;176190.75;21.521486356662265;-1232876.0;18.14386948806676;-1.570356e-05
08:24:48;-350;-350.0528;6.42903770986714e-11;2.4194021024188652e+20;6.310188903942131e-11;2000.0;169871.45;15.661972257669214;-1237782.0;24.764894508154075;-1.640087e-05
08:25:08;-375;-375.0858;6.405293070460678e-11;2.4373729619562696e+20;6.295349330003669e-11;2000.0;164182.35;17.359763103222342;-1242370.5;16.91855490282784;-1.712455e-05
08:25:27;-400;-400.0622;6.384324096651026e-11;2.4534100997245754e+20;6.281991912969787e-11;2000.0;159086.25;28.53268958580666;-1246451.0;20.57790076757102;-1.785159e-05
08:25:46;-425;-425.0327;6.364000870575292e-11;2.4691048880149827e+20;6.268553210831067e-11;2000.0;154297.5;35.8077854662921;-1250431.5;42.92012931015003;-1.85747e-05
08:26:06;-450;-449.9865;6.343255437409791e-11;2.4852815695427646e+20;6.254262647298597e-11;2000.0;149646.75;25.331095021731688;-1254521.0;22.846225071114045;-1.926306e-05
08:26:25;-475;-475.02;6.324574434408088e-11;2.4999848890683123e+20;6.241194253960245e-11;2000.0;145430.8;23.990581485241247;-1258226.5;22.78458908999677;-1.997656e-05
08:26:45;-500;-500.0502;6.306937736701764e-11;2.513986335800793e+20;6.228490312178399e-11;2000.0;141602.05;13.937803808348004;-1261745.0;13.865424623862047;-2.070515e-05
08:27:04;-525;-525.0847;6.28910089364085e-11;2.5282666500287385e+20;6.215398219496211e-11;2000.0;137787.15;28.255731719422876;-1265323.5;26.089030261778607;-2.139641e-05
08:27:23;-550;-550.066;6.271315232730692e-11;2.5426274835916023e+20;6.202013225761556e-11;2000.0;134133.75;20.22398019678619;-1268912.0;22.81008548866049;-2.208692e-05
08:27:43;-575;-575.0198;6.254900525682038e-11;2.555990206000959e+20;6.189451603333707e-11;2000.0;130826.25;15.171663554139341;-1272242.0;13.939153489362258;-2.274301e-05
08:28:02;-600;-599.9948;6.238698686362364e-11;2.569283207522481e+20;6.176842963892179e-11;2000.0;127644.7;28.334969560597727;-1275546.0;23.868389137099303;-2.349254e-05
08:28:21;-625;-625.023;6.223164510564989e-11;2.5821260338561466e+20;6.164504072774533e-11;2000.0;124739.05;21.974470983393434;-1278730.0;18.261982367749674;-2.425776e-05
08:28:41;-650;-650.0515;6.206564875088537e-11;2.5959564440983588e+20;6.15121655912032e-11;2000.0;121621.55;24.591815203437093;-1282150.0;21.702534414210703;-2.496117e-05
08:29:01;-675;-675.0657;6.190267835678692e-11;2.609643119817971e+20;6.138012156552263e-11;2000.0;118613.35;13.620806694171971;-1285525.5;12.951351280850966;-2.570575e-05
08:29:20;-700;-700.0457;6.17392203495675e-11;2.623479761792751e+20;6.124609099950534e-11;2000.0;115656.55;14.51972365439508;-1288929.0;10.461835403025608;-2.647704e-05
08:29:39;-725;-725.012;6.158196031246036e-11;2.6368958760130357e+20;6.111682382773475e-11;2000.0;112731.8;11.6136988078734;-1292220.5;15.090974123627673;-2.727608e-05
08:29:58;-750;-749.9847;6.140128033680551e-11;2.6524374171675345e+20;6.096788606219142e-11;2000.0;109270.7;29.161627183680956;-1296023.0;21.81857007230309;-2.794865e-05
08:30:17;-775;-775.0057;6.122771041708004e-11;2.667497131137975e+20;6.082497251424558e-11;2000.0;105757.8;14.544002200219852;-1299697.0;16.644819013735173;-2.875211e-05
08:30:37;-800;-800.0115;6.105373716363287e-11;2.6827209115869384e+20;6.06824865736608e-11;2000.0;101948.25;13.55615635052945;-1303400.5;14.551202699433471;-2.958808e-05
08:30:56;-825;-825.0392;6.087665128454556e-11;2.6983513037445192e+20;6.053760432467318e-11;2000.0;97826.54;12.980867459457516;-1307192.0;10.737783756436894;-3.036497e-05
08:31:16;-850;-850.0171;6.071876851431734e-11;2.7124022164514357e+20;6.040903608855191e-11;2000.0;93844.66;26.267941868369142;-1310591.0;15.409412707822447;-3.131535e-05
08:31:35;-875;-874.9824;6.05574625829649e-11;2.726871425141842e+20;6.027952687173166e-11;2000.0;89229.76;27.527555648840426;-1314082.0;15.614096195425464;-3.212213e-05
08:31:55;-900;-899.9451;6.041021612327452e-11;2.740180813284408e+20;6.016207230781405e-11;2000.0;84599.945;23.146694661441245;-1317285.0;19.993749023132203;-3.289245e-05
