time (06.02.2025);set voltage (V);real voltage (V);serial capacitance;1/serial capacitance^2;parallel capacitance;LCR frequency (Hz);r;delta r;x;delta x;sample current
12:49:52;-25;-25.03933;6.930727670790224e-11;2.081815947710865e+20;6.252555179130695e-11;2000.0;378140.0;28.287541427278548;-1148183.5;31.25919864615854;-3.786299e-06
12:50:11;-50;-50.07426;6.85813445110754e-11;2.126121160718701e+20;6.339818382905791e-11;2000.0;331774.55;29.017018713162113;-1160337.0;35.61670956166501;-5.798844e-06
12:50:30;-75;-75.10365;6.794309908750123e-11;2.1662535882113955e+20;6.375131511123515e-11;2000.0;300330.65;16.213616962294378;-1171237.0;21.108055334397815;-7.524935e-06
12:50:50;-100;-100.0715;6.736757089434409e-11;2.2034247526748373e+20;6.387548212025648e-11;2000.0;276194.35;42.46076276987966;-1181243.0;58.974994701144304;-4.42145e-05
12:51:10;-125;-125.0229;6.684724863417665e-11;2.237860065131079e+20;6.387414641922048e-11;2000.0;256831.9;18.847002414177165;-1190437.5;22.515272594396897;-9.697478e-06
12:51:29;-150;-150.0025;6.639977266320751e-11;2.2681241098329673e+20;6.38203046959919e-11;2000.0;240940.15;20.511371845881;-1198460.0;21.365860619221493;-1.074476e-05
12:51:48;-175;-175.0376;6.600017877008157e-11;2.2956716775638453e+20;6.373301624104537e-11;2000.0;227407.15;30.322374164962746;-1205716.0;36.81304116749932;-1.169905e-05
12:52:07;-200;-200.0681;6.564219211794166e-11;2.32077933263803e+20;6.362556384175307e-11;2000.0;215826.2;24.40436436377723;-1212291.5;37.42509185025469;-1.261744e-05
12:52:27;-225;-225.0809;6.53115376816767e-11;2.344337757887246e+20;6.350380765444357e-11;2000.0;205573.5;19.755695381332444;-1218429.0;25.47449705097237;-1.350528e-05
12:52:46;-250;-250.0575;6.502025026478959e-11;2.3653898366506516e+20;6.338276711672371e-11;2000.0;196718.1;20.44894862823025;-1223887.5;26.152198760333707;-1.438354e-05
12:53:05;-275;-275.0301;6.472920650187851e-11;2.3867087961790454e+20;6.324324256387596e-11;2000.0;188446.0;18.939640968085957;-1229390.5;15.78725751991143;-1.518795e-05
12:53:24;-300;-300.0055;6.449010760655544e-11;2.404439183856527e+20;6.312519557581211e-11;2000.0;181446.25;31.00152214004983;-1233948.5;41.038244358159375;-1.605011e-05
12:53:43;-325;-325.0394;6.422549170094221e-11;2.4242930938911847e+20;6.297683509964439e-11;2000.0;174467.2;8.565220370778558;-1239032.5;10.532687216470448;-1.680018e-05
12:54:02;-350;-350.0516;6.39997165408877e-11;2.441427876357688e+20;6.28467651087467e-11;2000.0;168413.2;17.911811745326045;-1243403.5;19.238957871984645;-1.756684e-05
