time (27.01.2025);set voltage (V);real voltage (V);serial capacitance;1/serial capacitance^2;parallel capacitance;LCR frequency (Hz);r;delta r;x;delta x;sample current
14:58:30;-25;-25.04107;8.129105030541315e-11;1.5132634072826226e+20;6.993372722954213e-11;2000.0;394495.5;13.894873155232471;-978920.45;23.770094131071506;-4.774407e-06
14:58:49;-50;-50.076;7.879456871123288e-11;1.6106732076032282e+20;7.084333254843303e-11;2000.0;338346.5;13.290880332017137;-1009936.0;23.015212360523638;-7.078776e-06
14:59:09;-75;-75.09377;7.694625585389579e-11;1.6889819779378515e+20;7.088566665774903e-11;2000.0;302399.35;21.184224673091066;-1034195.5;26.11967649110532;-4.491643e-05
14:59:29;-100;-100.0688;7.557609518630856e-11;1.7507780831912424e+20;7.06995385696883e-11;2000.0;276537.5;15.918621171445722;-1052945.0;26.57536453183662;-1.031489e-05
14:59:48;-125;-125.0229;7.443512119798489e-11;1.8048628271214363e+20;7.040004170990478e-11;2000.0;255948.05;11.504015603257848;-1069085.0;16.054594358002323;-1.165495e-05
15:00:07;-150;-150.0036;7.349773860827146e-11;1.8511944787982575e+20;7.007780900295645e-11;2000.0;239185.3;16.364763976299812;-1082720.0;25.70992026436488;-1.291017e-05
15:00:27;-175;-175.0374;7.266121390080003e-11;1.8940642280042362e+20;6.972411269063286e-11;2000.0;224778.85;11.78861208963973;-1095185.0;23.911294402436685;-1.405052e-05
15:00:46;-200;-200.0675;7.194998200374831e-11;1.931695289212712e+20;6.93873474578617e-11;2000.0;212550.75;21.992598186662708;-1106011.0;29.537264599146617;-1.514565e-05
15:01:06;-225;-225.0798;7.132885956780731e-11;1.9654836667642888e+20;6.906568655305336e-11;2000.0;201954.05;13.56953849620539;-1115642.0;21.361179742701477;-1.621174e-05
15:01:25;-250;-250.058;7.077283541097456e-11;1.9964884833748933e+20;6.87541321728515e-11;2000.0;192668.35;13.43805696520148;-1124407.0;16.659831931925364;-1.726395e-05
15:01:45;-275;-275.0307;7.026305028492641e-11;2.0255641446162704e+20;6.845007983775955e-11;2000.0;184319.6;16.08763500331854;-1132565.0;22.366269246345038;-1.826613e-05
15:02:04;-300;-300.0069;6.977291215676666e-11;2.054122314295518e+20;6.814046726367191e-11;2000.0;176530.6;14.624192285387933;-1140521.0;19.96121238802894;-1.923674e-05
15:02:23;-325;-325.0409;6.933798466111719e-11;2.0799723939657826e+20;6.785431027822045e-11;2000.0;169706.9;14.05042703977356;-1147675.0;19.045996954740907;-2.028368e-05
15:02:43;-350;-350.0523;6.89531077506238e-11;2.1032568419454668e+20;6.759390750765246e-11;2000.0;163653.1;16.966570071761705;-1154081.0;18.192031222488595;-2.140751e-05
15:03:02;-375;-375.0844;6.853123083774961e-11;2.1292317628975356e+20;6.729734818469317e-11;2000.0;157231.5;17.154518355232245;-1161185.5;15.451132644566869;-2.23288e-05
15:03:21;-400;-400.0606;6.81425983945543e-11;2.1535879875673093e+20;6.701906044005526e-11;2000.0;151205.0;44.7799620366074;-1167808.0;46.68297334146573;-2.330102e-05
15:03:41;-425;-425.0324;6.773424109231759e-11;2.1796334363002755e+20;6.672252261191411e-11;2000.0;144669.0;11.867602959317438;-1174848.5;13.770893217217248;-2.43076e-05
15:04:00;-450;-449.9885;6.734941138988337e-11;2.204613137107308e+20;6.64400535646099e-11;2000.0;138232.05;14.665686993796099;-1181561.5;16.31372121865517;-2.526033e-05
15:04:19;-475;-475.0206;6.697498882391758e-11;2.2293317454678354e+20;6.616425771438775e-11;2000.0;131523.75;15.443748735329775;-1188167.0;12.043670536842162;-2.627712e-05
15:04:39;-500;-500.0518;6.65957323532629e-11;2.25479571886976e+20;6.588341919786618e-11;2000.0;124248.5;12.841436835494694;-1194933.5;14.786395774494876;-2.713927e-05
15:04:58;-525;-525.0849;6.623270703451291e-11;2.2795807903464676e+20;6.561368870292701e-11;2000.0;116700.35;18.715671908857555;-1201483.0;11.047624178980744;-2.796207e-05
15:05:18;-550;-550.0651;6.592032858985215e-11;2.301236601887967e+20;6.538117395017738e-11;2000.0;109622.85;28.289775096313512;-1207176.5;22.530812235691812;-2.891111e-05
15:05:37;-575;-575.0222;6.562397664077333e-11;2.3220678851517953e+20;6.515929370727185e-11;2000.0;102404.2;14.534889060464135;-1212628.0;12.876334882255897;-2.986901e-05
