time (07.02.2025);set voltage (V);real voltage (V);serial capacitance;1/serial capacitance^2;parallel capacitance;LCR frequency (Hz);r;delta r;x;delta x;sample current
11:17:53;-25;-25.03954;8.139971819740199e-11;1.509225718133995e+20;6.949475818484141e-11;2000.0;404627.3;58.24642049087652;-977613.6;113.89237024489391;-4.370408e-06
11:18:13;-50;-50.07485;7.906842900004539e-11;1.5995351201890143e+20;7.056609245964588e-11;2000.0;349347.9;38.248065310548725;-1006438.0;74.88858390969881;-6.586346e-06
11:18:32;-75;-75.09465;7.742023414182001e-11;1.668364880103168e+20;7.081211139272735e-11;2000.0;313993.7;69.57532249296443;-1027864.0;123.00081300544318;-2.848284e-05
11:18:52;-100;-100.0683;7.612701460880365e-11;1.7255295547785616e+20;7.074218425927293e-11;2000.0;288401.9;54.325956043129146;-1045325.0;95.40309219307306;-9.74305e-06
11:19:11;-125;-125.021;7.498441375783229e-11;1.7785169115085383e+20;7.050048567188534e-11;2000.0;267640.85;66.43339803893821;-1061253.5;121.22968902047054;-1.110871e-05
11:19:31;-150;-150.0016;7.402555492646296e-11;1.824889853761422e+20;7.020843317406852e-11;2000.0;250658.15;33.504497832380665;-1075000.0;55.515763527128044;-1.228798e-05
11:19:50;-175;-175.0368;7.322417592206934e-11;1.8650522984715485e+20;6.991423156836282e-11;2000.0;236463.0;46.1605350922192;-1086765.0;72.9640322350677;-1.349818e-05
11:20:09;-200;-200.0681;7.242338130551677e-11;1.9065245648990028e+20;6.95498009282517e-11;2000.0;223344.4;44.24965536588957;-1098781.5;73.63176963784042;-1.455189e-05
11:20:29;-225;-225.0798;7.173794853053123e-11;1.9431310597296662e+20;6.921008734022636e-11;2000.0;211998.65;41.576452169467274;-1109280.0;59.66992542311411;-1.558737e-05
11:20:48;-250;-250.0571;7.11167158600746e-11;1.9772273728184966e+20;6.887599152163778e-11;2000.0;201826.75;17.32077870651317;-1118970.0;23.27015255644019;-1.65712e-05
11:21:07;-275;-275.0294;7.061109781735534e-11;2.0056450343725105e+20;6.859141573328755e-11;2000.0;193385.45;25.485532660707726;-1126982.5;34.364771205407436;-1.769459e-05
11:21:26;-300;-300.0067;7.010953005911456e-11;2.0344446927470166e+20;6.828824917493735e-11;2000.0;185365.35;30.966294176087647;-1135045.0;44.707381940793624;-1.863317e-05
11:21:46;-325;-325.0406;6.96502554603165e-11;2.0613634565947412e+20;6.799857693620009e-11;2000.0;178065.7;35.70210778091399;-1142529.5;42.32301383408322;-1.964837e-05
11:22:05;-350;-350.0523;6.916312956674127e-11;2.090502672413044e+20;6.767361421646538e-11;2000.0;170697.95;18.44050907648702;-1150576.5;19.865485143836782;-2.053467e-05
11:22:24;-375;-375.0854;6.877760011092894e-11;2.114004778154385e+20;6.740897998866497e-11;2000.0;164863.95;20.504325763116427;-1157026.0;19.279522815671555;-2.162838e-05
11:22:44;-400;-400.0604;6.838194527461506e-11;2.138538620947367e+20;6.712718100194416e-11;2000.0;159103.8;20.949773268462838;-1163720.5;21.994033281778947;-2.264657e-05
11:23:04;-425;-425.0323;6.798204590424433e-11;2.1637722120465904e+20;6.68339628112076e-11;2000.0;153420.7;27.98625555518279;-1170566.0;29.869717106126064;-2.367531e-05
11:23:23;-450;-449.9871;6.757916286471354e-11;2.189648402647905e+20;6.653154084364943e-11;2000.0;147763.05;40.03426501136245;-1177544.5;44.167154085360764;-2.474245e-05
11:23:42;-475;-475.0204;6.71605871344716e-11;2.2170272523118844e+20;6.62127279006116e-11;2000.0;141767.55;29.6070494139487;-1184883.5;23.25161284728438;-2.569497e-05
11:24:02;-500;-500.05;6.67485923433356e-11;2.2444801937194674e+20;6.589750350085033e-11;2000.0;135488.05;33.132949989398774;-1192197.0;33.63851958692594;-2.671194e-05
11:24:21;-525;-525.0856;6.631505698455044e-11;2.2739227447860878e+20;6.556836129840692e-11;2000.0;128056.8;37.483569733951434;-1199991.0;33.20316249997882;-2.782249e-05
11:24:40;-550;-550.0658;6.591418587094529e-11;2.3016655386358176e+20;6.526574794103102e-11;2000.0;120338.0;39.481894584733396;-1207289.0;28.230302867663323;-2.896947e-05
11:25:00;-575;-575.0206;6.554228039360194e-11;2.3278602518721826e+20;6.499065586153245e-11;2000.0;111857.45;34.144946551429825;-1214139.5;25.763103462121947;-2.99972e-05
11:25:19;-600;-599.9971;6.52220628923172e-11;2.3507743223452975e+20;6.475751865385478e-11;2000.0;103338.95;42.118551435204886;-1220100.5;22.0053970652656;-3.096141e-05
11:25:38;-625;-625.0257;6.49659212350511e-11;2.3693476984515507e+20;6.457493377942069e-11;2000.0;95313.4;28.610796039257625;-1224911.0;24.350564675177452;-3.212493e-05
11:25:58;-650;-650.053;6.476292098839241e-11;2.3842244821456788e+20;6.443266367342752e-11;2000.0;87970.465;41.06099260551319;-1228750.5;18.979923603639712;-3.317927e-05
