time (03.02.2025);set voltage (V);real voltage (V);serial capacitance;1/serial capacitance^2;parallel capacitance;LCR frequency (Hz);r;delta r;x;delta x;sample current
11:04:32;-25;-25.04216;8.157680064335538e-11;1.502680540933557e+20;6.960323719554117e-11;2000.0;404594.95;32.809867037219156;-975491.45;68.06590464395516;-4.825168e-06
11:04:51;-50;-50.07202;7.907887921251279e-11;1.5991123934748144e+20;7.057492505485671e-11;2000.0;349313.1;22.094671303280347;-1006305.0;44.17295552710957;-7.23538e-06
11:05:11;-75;-75.09533;7.736581499274994e-11;1.6707127627781253e+20;7.07545318367642e-11;2000.0;314417.55;39.441822663259366;-1028587.0;89.57147983593885;-5.079587e-05
11:05:31;-100;-100.0708;7.594328174149039e-11;1.733888951304661e+20;7.060126302835845e-11;2000.0;288235.35;25.316622503801735;-1047854.0;55.89901609151989;-1.059192e-05
11:05:52;-125;-125.0245;7.485797561530515e-11;1.784529959073701e+20;7.038562817526025e-11;2000.0;267964.85;28.035537715549534;-1063046.0;47.861257818824605;-1.19935e-05
11:06:11;-150;-150.0045;7.395820136447615e-11;1.828215213162565e+20;7.012887454753461e-11;2000.0;251429.7;36.09204205915757;-1075979.0;61.98346553718983;-1.33945e-05
11:06:30;-175;-175.0383;7.310235715829456e-11;1.8712733747114898e+20;6.980189439573003e-11;2000.0;236707.8;50.86701288654564;-1088576.0;79.60967277912904;-1.468457e-05
11:06:50;-200;-200.0686;7.237085425053377e-11;1.909293095523262e+20;6.948397719073989e-11;2000.0;224129.1;21.230273196546484;-1099579.0;30.140504308985935;-1.582276e-05
11:07:09;-225;-225.0809;7.173817487880406e-11;1.943118797815668e+20;6.918132372041603e-11;2000.0;213254.45;17.06963312435273;-1109276.5;27.214655977983625;-1.688892e-05
11:07:28;-250;-250.0582;7.122192855380135e-11;1.9713899638532823e+20;6.892136139047603e-11;2000.0;204134.75;37.123299624359895;-1117317.0;58.07366012229641;-1.805985e-05
11:07:47;-275;-275.0313;7.071507003613414e-11;1.999751578774243e+20;6.864211570543974e-11;2000.0;195558.95;29.679915346914317;-1125325.5;34.37640906202973;-1.915355e-05
11:08:06;-300;-300.0087;7.027986684195773e-11;2.0245949071605898e+20;6.839110724352489e-11;2000.0;188168.85;32.43241241412671;-1132294.0;43.90558051091;-2.033191e-05
11:08:26;-325;-325.0415;6.986326412273751e-11;2.048812686114514e+20;6.813763193475632e-11;2000.0;181268.3;21.470340006623093;-1139046.0;22.63183598385248;-2.139209e-05
11:08:46;-350;-350.0535;6.947015455457127e-11;2.0720654526960475e+20;6.788660036745411e-11;2000.0;174950.95;38.48717156404196;-1145491.5;50.64718649638892;-2.249779e-05
11:09:05;-375;-375.0856;6.909931979200747e-11;2.094365404972323e+20;6.764087024131479e-11;2000.0;169105.4;19.735678351655412;-1151639.0;27.10073799733136;-2.35249e-05
11:09:24;-400;-400.0631;6.872322267225734e-11;2.1173515258650808e+20;6.738273231412652e-11;2000.0;163321.8;27.320560023542708;-1157941.5;33.228564519100125;-2.448453e-05
11:09:44;-425;-425.0339;6.840381153708254e-11;2.1371716102009383e+20;6.715747634004826e-11;2000.0;158482.05;49.67798682515224;-1163348.5;57.58157257317657;-2.559148e-05
11:10:03;-450;-449.9891;6.805902588681186e-11;2.1588801953043684e+20;6.690812435473836e-11;2000.0;153350.1;15.388291003227096;-1169242.0;19.52690451658941;-2.672481e-05
11:10:22;-475;-475.0219;6.774793659002654e-11;2.1787522833390636e+20;6.667738222259235e-11;2000.0;148836.4;36.34187667141035;-1174611.0;38.54802199854099;-2.785949e-05
11:10:41;-500;-500.0532;6.739364418781022e-11;2.201720157897406e+20;6.64119352495752e-11;2000.0;143562.0;27.73021817440317;-1180786.0;26.864474683120083;-2.898465e-05
11:11:01;-525;-525.0858;6.705009920995629e-11;2.224339890648359e+20;6.615139513427599e-11;2000.0;138334.2;27.671700345298625;-1186836.0;23.091123835794566;-2.997953e-05
11:11:20;-550;-550.0673;6.667753545525763e-11;2.2492665361419148e+20;6.586969190706114e-11;2000.0;132169.55;53.87056130206924;-1193467.5;46.57722082735293;-3.087771e-05
11:11:40;-575;-575.0225;6.634034943246494e-11;2.2721891962122764e+20;6.561391019436407e-11;2000.0;126215.9;43.87333472623206;-1199533.5;36.72380018462142;-3.202544e-05
11:11:59;-600;-599.9986;6.599536205382275e-11;2.2960067921013912e+20;6.535412526880879e-11;2000.0;119439.9;25.33958365877388;-1205804.0;17.527121840165314;-3.30607e-05
11:12:19;-625;-625.0272;6.568914422762256e-11;2.3174629081404044e+20;6.512436794084252e-11;2000.0;112814.0;28.764735354249307;-1211425.0;25.08485598922186;-3.439366e-05
