time (21.02.2025);set voltage (V);real voltage (V);serial capacitance;1/serial capacitance^2;parallel capacitance;LCR frequency (Hz);r;delta r;x;delta x;sample current
10:56:11;-25;-25.04076;8.278885107931427e-11;1.4590033489722188e+20;7.009513924662545e-11;2000.0;409042.7;66.55047332664134;-961210.0;140.3172476925057;-3.674169e-06
10:56:30;-50;-50.07357;8.048357169277933e-11;1.543780381434452e+20;7.122580984488654e-11;2000.0;356465.25;41.16557269126716;-988741.8;90.35252071746532;-5.5657e-06
10:56:49;-75;-75.10163;7.887133647052704e-11;1.6075393036109418e+20;7.158436818692502e-11;2000.0;321910.6;22.46579622448313;-1008953.0;46.42251608863957;-7.004859e-06
10:57:09;-100;-100.07;7.75237888553798e-11;1.6639107206650685e+20;7.15674901682866e-11;2000.0;296132.1;17.974829623670985;-1026491.0;35.00642798115798;-3.443829e-05
10:57:29;-125;-125.0229;7.644325967753875e-11;1.71128208659801e+20;7.140993718234891e-11;2000.0;276375.15;16.793343175198917;-1041000.5;29.24444391675109;-9.412543e-06
10:57:48;-150;-150.0019;7.54085834201482e-11;1.7585650394090566e+20;7.111503499577956e-11;2000.0;259296.6;33.335971562262884;-1055284.0;61.28376620280447;-1.04946e-05
10:58:08;-175;-175.0363;7.454235883380093e-11;1.7996735628071145e+20;7.081252332934191e-11;2000.0;245006.05;41.554210075514604;-1067547.0;78.04197588477626;-1.150979e-05
10:58:27;-200;-200.0695;7.376911290328196e-11;1.8375995594788936e+20;7.049326070562879e-11;2000.0;232543.35;18.020581982832848;-1078737.0;29.078342456199255;-1.249176e-05
10:58:47;-225;-225.0833;7.30065867152301e-11;1.8761860883268092e+20;7.012549768807714e-11;2000.0;220937.0;24.906324498006523;-1090004.0;41.039005835911766;-1.343775e-05
10:59:06;-250;-250.0582;7.23985408346e-11;1.9078330744922974e+20;6.981725706565752e-11;2000.0;211347.35;25.802642791001073;-1099158.5;40.263351822718384;-1.452337e-05
10:59:26;-275;-275.031;7.177347034217288e-11;1.941208163853048e+20;6.946752418032293e-11;2000.0;202003.95;19.499035232544202;-1108731.0;27.34867455654844;-1.54014e-05
10:59:45;-300;-300.0069;7.122078118554208e-11;1.9714534826311788e+20;6.914111339681472e-11;2000.0;193781.45;13.617539241727927;-1117335.0;16.874537030686206;-1.638281e-05
11:00:04;-325;-325.0391;7.067631921341248e-11;2.0019450507508882e+20;6.88003955153362e-11;2000.0;185920.95;17.496638962955146;-1125942.5;27.293543192484186;-1.73044e-05
11:00:24;-350;-350.0543;7.016822793666643e-11;2.031042365490588e+20;6.846771186164518e-11;2000.0;178729.85;22.0642555958727;-1134095.5;27.79815641369046;-1.824877e-05
11:00:43;-375;-375.0867;6.966757281683112e-11;2.0603387925287702e+20;6.812503265389366e-11;2000.0;171879.6;17.723910403745556;-1142245.5;17.895180915542596;-1.917294e-05
11:01:02;-400;-400.0619;6.922139681173729e-11;2.086984784274486e+20;6.780787650267546e-11;2000.0;165981.9;42.11691465432861;-1149608.0;48.070781146139076;-2.018918e-05
11:01:21;-425;-425.0333;6.873562895223869e-11;2.1165872618111458e+20;6.745210853521819e-11;2000.0;159702.55;14.591688558902291;-1157732.5;16.551057368035433;-2.117781e-05
