time (03.07.2025);set voltage (V);real voltage (V);current (A);delta current;input current (A)
14:05:21;-25;-25.03331;3.2410608e-06;5.872665604306156e-10;-3.236569e-06
14:05:41;-50;-50.06733;4.66620585e-06;5.985226866001029e-10;-4.665867e-06
14:06:01;-75;-75.09464;5.795092950000001e-06;4.931093158468995e-10;-5.7986e-06
14:06:21;-100;-100.0714;6.7505332e-06;6.214915228705911e-10;-6.751762e-06
14:06:41;-125;-125.0279;7.6069721e-06;5.869337735213417e-10;-7.617666e-06
14:07:00;-150;-150.0103;8.342083799999999e-06;1.6267695389943899e-09;-8.328048e-06
14:07:20;-175;-175.0424;9.004812950000002e-06;1.1776453020222503e-09;-9.006611e-06
14:07:40;-200;-200.0735;9.60331875e-06;1.7322744685455755e-09;-9.59113e-06
14:07:59;-225;-225.0851;1.0050839499999998e-05;1.4256294180115964e-09;-1.005783e-05
14:08:19;-250;-250.0507;1.0447646e-05;2.037551398124684e-09;-1.045829e-05
14:08:39;-275;-275.0267;1.0793049e-05;1.2952484124676696e-09;-1.078374e-05
14:08:59;-300;-300.0048;1.10904995e-05;9.578704179063183e-10;-1.109201e-05
14:09:19;-325;-325.0381;1.1406456e-05;2.6634549367315906e-09;-1.139982e-05
14:09:38;-350;-350.0476;1.1682313499999999e-05;1.6252324872152598e-09;-1.169529e-05
14:09:58;-375;-375.0773;1.1951079499999999e-05;9.045917518416504e-10;-1.196217e-05
14:10:18;-400;-400.0542;1.2269162499999998e-05;4.2768768321638805e-09;-1.227897e-05
14:10:37;-425;-425.028;1.25698885e-05;9.63046799226228e-10;-1.256743e-05
14:10:57;-450;-449.9843;1.2881772499999999e-05;1.6661764424874001e-09;-1.287565e-05
14:11:17;-475;-475.0147;1.3198686500000003e-05;2.3505369891792694e-09;-1.319288e-05
14:11:37;-500;-500.044;1.3495968e-05;1.7289464422011642e-09;-1.349701e-05
14:11:57;-525;-525.0779;1.3873595499999996e-05;1.933243320821247e-09;-1.389063e-05
14:12:17;-550;-550.0601;1.4314665999999999e-05;1.8806089971070473e-09;-1.433417e-05
14:12:36;-575;-575.0175;1.4715593499999997e-05;1.27970001855903e-09;-1.473464e-05
14:12:56;-600;-599.9946;1.5112464499999998e-05;1.9949515626951918e-09;-1.510557e-05
14:13:16;-625;-625.0198;1.55410945e-05;1.984797278691251e-09;-1.554637e-05
14:13:36;-650;-650.0467;1.6054411499999998e-05;2.9500603616706546e-09;-1.604859e-05
14:13:56;-675;-675.0565;1.6547754500000003e-05;1.3736921916863831e-09;-1.653287e-05
14:14:15;-700;-700.0399;1.7033585999999997e-05;1.893250696553396e-09;-1.703166e-05
14:14:35;-725;-725.0098;1.7633301e-05;2.1578776494509027e-09;-1.764289e-05
14:14:55;-750;-749.9802;1.8292075499999997e-05;2.831267514294563e-09;-1.828729e-05
14:15:15;-775;-775.0002;1.9046165999999998e-05;9.687480064495272e-10;-1.906071e-05
14:15:35;-800;-800.0048;1.9797604e-05;2.735279272761692e-09;-1.978991e-05
14:15:54;-825;-825.0301;2.06606705e-05;3.1706574613949923e-09;-2.066385e-05
14:16:14;-850;-850.0109;2.1550111e-05;3.911478550369403e-09;-2.158721e-05
14:16:34;-875;-874.9751;2.2624526999999997e-05;4.004801062474964e-09;-2.267307e-05
14:16:54;-900;-899.9453;2.3834586e-05;2.7948706052338808e-09;-2.386262e-05
