time (20.08.2025);set voltage (V);real voltage (V);current (A);delta current;input current (A)
10:36:21;-25;-25.03731;2.8299516499999997e-06;2.903617336616519e-10;-2.829845e-06
10:36:41;-50;-50.06962;4.072370999999999e-06;2.9082733709196566e-10;-4.069293e-06
10:37:01;-75;-75.09929;4.9870071e-06;9.719787263618462e-10;-4.986351e-06
10:37:21;-100;-100.0739;5.734537849999999e-06;6.965778322449054e-10;-5.738815e-06
10:37:40;-125;-125.0285;6.371387700000001e-06;8.554958039055311e-10;-6.365889e-06
10:38:00;-150;-150.0102;6.9548911499999996e-06;6.43875571345113e-10;-6.951462e-06
10:38:20;-175;-175.0437;7.493919199999999e-06;7.741560133461331e-10;-7.495562e-06
10:38:39;-200;-200.0744;8.008660850000001e-06;1.4340751327510649e-09;-8.010761e-06
10:38:59;-225;-225.0881;8.472142600000003e-06;1.4655652551148623e-09;-8.476747e-06
10:39:19;-250;-250.0663;8.92231775e-06;2.7048433733536423e-09;-8.919775e-06
10:39:39;-275;-275.0388;9.321661850000001e-06;1.328031415808777e-09;-9.325763e-06
10:39:58;-300;-300.016;9.7310128e-06;1.0527918588211395e-09;-9.726801e-06
10:40:18;-325;-325.049;1.00742905e-05;5.980658304066449e-10;-1.007248e-05
10:40:38;-350;-350.05;1.0468429500000002e-05;5.650143692863167e-10;-1.0479e-05
10:40:58;-375;-375.0824;1.0822397e-05;8.534820150418739e-10;-1.083681e-05
10:41:18;-400;-400.0587;1.1131628e-05;3.2666709047591615e-09;-1.111552e-05
10:41:38;-425;-425.0317;1.1438113999999998e-05;5.109801366002466e-10;-1.143482e-05
10:41:58;-450;-449.9857;1.1664131e-05;8.106913407702985e-10;-1.168011e-05
10:42:18;-475;-475.0183;1.1918470500000002e-05;7.727902286520047e-10;-1.192901e-05
10:42:38;-500;-500.0483;1.21950005e-05;1.912416204046589e-09;-1.218432e-05
10:42:57;-525;-525.0829;1.2406132e-05;1.1319919611021573e-09;-1.239749e-05
10:43:17;-550;-550.0636;1.2614475999999999e-05;1.4848426515964222e-09;-1.261106e-05
10:43:37;-575;-575.0198;1.27886695e-05;1.0501877153632832e-09;-1.278761e-05
10:43:57;-600;-599.9951;1.2980625000000002e-05;1.3416733022610107e-09;-1.29838e-05
10:44:17;-625;-625.0228;1.3160620499999998e-05;2.037322688603825e-09;-1.316212e-05
10:44:37;-650;-650.0508;1.32889045e-05;7.994615297185815e-10;-1.328569e-05
10:44:56;-675;-675.0618;1.3483459499999996e-05;3.0189001701779105e-09;-1.353004e-05
10:45:16;-700;-700.043;1.3673714499999999e-05;3.2453826026371674e-09;-1.368844e-05
10:45:36;-725;-725.0118;1.38217895e-05;1.419879832063289e-09;-1.382552e-05
10:45:56;-750;-749.983;1.3986906000000001e-05;1.4702621194875287e-09;-1.400752e-05
10:46:15;-775;-775.0024;1.4164643499999999e-05;2.411952971660115e-09;-1.417852e-05
10:46:35;-800;-800.0081;1.4340924e-05;1.1818858658939707e-09;-1.432958e-05
10:46:55;-825;-825.0354;1.4553672499999999e-05;3.2942441375071053e-09;-1.458114e-05
10:47:14;-850;-850.0153;1.4746933500000003e-05;6.608306420710574e-10;-1.474418e-05
10:47:34;-875;-874.9798;1.4935263000000001e-05;1.2093564610982258e-09;-1.494092e-05
10:47:53;-900;-899.945;1.5145671500000002e-05;7.819553296064801e-10;-1.515565e-05
