time (31.01.2025);set voltage (V);real voltage (V);current (A);delta current;input current (A)
08:05:40;-25;-25.04097;2.9469546499999995e-06;6.527113346457209e-10;-2.94579e-06
08:05:59;-50;-50.07529;4.198474900000001e-06;1.136195445114962e-09;-4.208101e-06
08:06:19;-75;-75.10629;5.14065705e-06;1.5918574362595942e-09;-5.136749e-06
08:06:39;-100;-100.0797;5.9470404e-06;1.7329128489338513e-09;-5.955509e-06
08:06:59;-125;-125.0312;6.675808000000001e-06;2.527176818111463e-09;-6.685711e-06
08:07:19;-150;-150.0096;7.346439549999999e-06;1.9313845894525818e-09;-7.331481e-06
08:07:39;-175;-175.0477;7.929687899999999e-06;3.565820203613726e-09;-7.929468e-06
08:07:59;-200;-200.0813;8.519356900000001e-06;4.618048428124142e-09;-8.518644e-06
08:08:19;-225;-225.0973;9.082857800000001e-06;3.6439435770878494e-09;-9.101074e-06
08:08:39;-250;-250.0712;9.625629999999999e-06;2.2268538007691535e-09;-9.667692e-06
08:08:59;-275;-275.0426;1.0140578499999999e-05;2.5270914382942477e-09;-1.012227e-05
08:09:19;-300;-300.0048;1.0678480500000001e-05;2.8908734385130407e-09;-1.066395e-05
08:09:39;-325;-325.0426;1.11458055e-05;5.958850957818991e-09;-1.114497e-05
08:09:59;-350;-350.0565;1.1653658000000002e-05;2.4229005963927065e-09;-1.164103e-05
08:10:19;-375;-375.0901;1.2094871499999999e-05;2.1069412990161234e-09;-1.21132e-05
08:10:39;-400;-400.0657;1.2605884999999998e-05;5.873855484262441e-09;-1.258777e-05
08:10:58;-425;-425.0345;1.30517915e-05;3.655253635180458e-09;-1.305085e-05
08:11:19;-450;-449.9867;1.3487718999999998e-05;5.404866876251443e-09;-1.351848e-05
08:11:38;-475;-475.0214;1.38861515e-05;7.0691537780345254e-09;-1.387062e-05
08:11:58;-500;-500.0552;1.4342025999999997e-05;2.4002903366051317e-09;-1.433707e-05
08:12:18;-525;-525.0899;1.48048065e-05;5.395096629116119e-09;-1.478269e-05
08:12:39;-550;-550.0695;1.5153667500000001e-05;3.590033069137367e-09;-1.516297e-05
08:12:58;-575;-575.0225;1.5501337e-05;2.5356552506205997e-09;-1.550864e-05
08:13:18;-600;-599.9955;1.5973040999999996e-05;3.747855179966312e-09;-1.600176e-05
08:13:38;-625;-625.0252;1.63001705e-05;6.6431895756104295e-09;-1.634634e-05
08:13:57;-650;-650.0549;1.67048385e-05;5.240678022689373e-09;-1.670107e-05
08:14:17;-675;-675.0713;1.7032755500000002e-05;4.4612402129340515e-09;-1.701464e-05
08:14:37;-700;-700.0479;1.73480735e-05;5.973410804347894e-09;-1.737047e-05
08:14:57;-725;-725.0146;1.7627262000000003e-05;7.019579282264653e-09;-1.76787e-05
08:15:17;-750;-749.9832;1.79834025e-05;6.633510453560708e-09;-1.800175e-05
08:15:37;-775;-775.007;1.82548475e-05;2.9085966440020007e-09;-1.826741e-05
08:15:57;-800;-800.0137;1.860508e-05;4.726430418402499e-09;-1.863417e-05
08:16:17;-825;-825.0414;1.8930682000000002e-05;8.502011220881881e-09;-1.898028e-05
08:16:37;-850;-850.0203;1.91868065e-05;2.79017358554983e-09;-1.916315e-05
08:16:57;-875;-874.9822;1.94721565e-05;1.2346658278153685e-08;-1.944787e-05
08:17:17;-900;-899.9456;1.9825609e-05;5.3652751047826e-09;-1.979479e-05
