time (02.07.2025);set voltage (V);real voltage (V);current (A);delta current;input current (A)
13:29:05;-25;-25.03539;2.8998070499999997e-06;4.5503263880188146e-10;-2.902541e-06
13:29:25;-50;-50.06739;4.2198927e-06;5.63609266691023e-10;-4.220936e-06
13:29:44;-75;-75.09625;5.203535099999999e-06;8.035008148720276e-10;-5.207432e-06
13:30:04;-100;-100.0707;5.9963205e-06;6.193923978384219e-10;-5.996157e-06
13:30:24;-125;-125.0279;6.692427650000001e-06;1.1585637666416835e-09;-6.701112e-06
13:30:44;-150;-150.0094;7.340202249999999e-06;6.438840496355108e-10;-7.346585e-06
13:31:04;-175;-175.0429;7.9422316e-06;9.741582889859085e-10;-7.945965e-06
13:31:24;-200;-200.0732;8.498671749999996e-06;1.0185056575075869e-09;-8.503343e-06
13:31:44;-225;-225.0847;9.004445249999998e-06;1.5480983122447227e-09;-8.994544e-06
13:32:03;-250;-250.0636;9.469995800000002e-06;7.56684807565224e-10;-9.471201e-06
13:32:23;-275;-275.0377;9.921211e-06;2.088888218646466e-09;-9.930523e-06
13:32:43;-300;-300.0225;1.0365561500000001e-05;1.0055914366679679e-09;-1.036638e-05
13:33:03;-325;-325.0377;1.0778890000000002e-05;1.638229379543644e-09;-1.080034e-05
13:33:22;-350;-350.0497;1.1201412499999998e-05;1.8076870408065183e-09;-1.119984e-05
13:33:43;-375;-375.08;1.1630553500000001e-05;1.3640784938924694e-09;-1.16333e-05
13:34:02;-400;-400.0578;1.2020007e-05;1.9199265741168364e-09;-1.201044e-05
13:34:22;-425;-425.0296;1.2354909999999998e-05;1.8876715816052523e-09;-1.237905e-05
13:34:42;-450;-449.9848;1.27517745e-05;2.6261090490495797e-09;-1.275198e-05
13:35:02;-475;-475.0181;1.3075230499999998e-05;2.7587768553292485e-09;-1.309063e-05
13:35:22;-500;-500.0459;1.3405320000000002e-05;1.445832977905836e-09;-1.340613e-05
13:35:41;-525;-525.0789;1.37181e-05;3.6205920096028725e-09;-1.371188e-05
13:36:01;-550;-550.0605;1.39838175e-05;3.0680376362587546e-09;-1.39756e-05
13:36:21;-575;-575.0181;1.4244646000000002e-05;1.892652028239748e-09;-1.423914e-05
13:36:41;-600;-599.9939;1.45221025e-05;1.7111956163747341e-09;-1.452975e-05
13:37:01;-625;-625.0208;1.4760557500000001e-05;2.827876223864813e-09;-1.474958e-05
13:37:20;-650;-650.0483;1.4940751999999998e-05;5.975593510271588e-09;-1.492354e-05
13:37:40;-675;-675.0591;1.51695855e-05;1.7791507067980187e-09;-1.51752e-05
13:38:00;-700;-700.043;1.540465e-05;1.5514061363807685e-09;-1.539195e-05
13:38:20;-725;-725.0099;1.5568323e-05;3.2491889064811298e-09;-1.55971e-05
13:38:40;-750;-749.9823;1.5775330499999998e-05;1.3888548295268167e-09;-1.575519e-05
13:39:00;-775;-775.0026;1.5978564500000003e-05;2.4196122080821323e-09;-1.59811e-05
13:39:19;-800;-800.0068;1.62497365e-05;2.133702799712296e-09;-1.624911e-05
13:39:39;-825;-825.0322;1.64894815e-05;2.6832303549080044e-09;-1.649736e-05
13:39:59;-850;-850.0115;1.6706502000000002e-05;1.7145656301232563e-09;-1.669461e-05
13:40:19;-875;-874.978;1.6924339999999996e-05;2.205404724761404e-09;-1.693982e-05
13:40:39;-900;-899.9429;1.7207432e-05;3.0220215584935637e-09;-1.72244e-05
