time (15.08.2025);set voltage (V);real voltage (V);current (A);delta current;input current (A)
08:12:30;-25;-25.03858;2.64621415e-06;3.9782706842923865e-10;-2.64597e-06
08:12:50;-50;-50.07333;3.747882e-06;5.520568494276662e-10;-3.753736e-06
08:13:10;-75;-75.1016;4.5711125e-06;2.884634855575362e-10;-4.571014e-06
08:13:29;-100;-100.076;5.273255800000001e-06;1.5257401492390375e-09;-5.267936e-06
08:13:49;-125;-125.0289;5.8512642e-06;4.1847867687613753e-10;-5.851017e-06
08:14:09;-150;-150.0071;6.427615450000001e-06;1.143178038354052e-09;-6.429705e-06
08:14:29;-175;-175.0459;6.938271949999999e-06;9.527803064584008e-10;-6.912895e-06
08:14:49;-200;-200.0782;7.392783250000001e-06;7.447940617210876e-10;-7.384697e-06
08:15:09;-225;-225.0924;7.8571792e-06;8.834414598602386e-10;-7.860801e-06
08:15:28;-250;-250.0677;8.263824050000002e-06;6.884786978367659e-10;-8.260778e-06
08:15:49;-275;-275.0377;8.66975915e-06;7.31503907286209e-10;-8.676578e-06
08:16:08;-300;-300.0147;9.0777714e-06;8.215323803722403e-10;-9.072634e-06
08:16:28;-325;-325.0496;9.4269396e-06;1.8486808450892702e-09;-9.42747e-06
08:16:48;-350;-350.0637;9.76065265e-06;6.771029658589845e-10;-9.768471e-06
08:17:08;-375;-375.0968;1.0097367e-05;2.8463423985880758e-09;-1.008488e-05
08:17:28;-400;-400.0736;1.03542545e-05;1.849397533657955e-09;-1.03549e-05
08:17:48;-425;-425.031;1.06071345e-05;8.248180026527344e-10;-1.062355e-05
08:18:08;-450;-449.9853;1.0858083e-05;1.2561594444973836e-09;-1.086606e-05
08:18:27;-475;-475.0202;1.1083332e-05;1.7299775432068488e-09;-1.109779e-05
08:18:47;-500;-500.0503;1.1332462500000001e-05;2.818731441180616e-09;-1.131695e-05
08:19:07;-525;-525.0858;1.1474119499999999e-05;1.8687093774848895e-09;-1.14887e-05
08:19:27;-550;-550.067;1.16702125e-05;4.066342267628204e-09;-1.171683e-05
08:19:47;-575;-575.0206;1.1849916e-05;2.9019801343220703e-09;-1.186734e-05
08:20:07;-600;-599.9936;1.2022581500000002e-05;1.8115755953036603e-09;-1.201008e-05
08:20:27;-625;-625.0225;1.21968605e-05;8.904646188928373e-10;-1.219821e-05
08:20:46;-650;-650.0523;1.2382048499999997e-05;3.827844973023393e-09;-1.236464e-05
08:21:06;-675;-675.0669;1.2513022499999998e-05;6.771963803063736e-10;-1.251043e-05
08:21:26;-700;-700.0474;1.26797685e-05;1.0610625040496002e-09;-1.269147e-05
08:21:46;-725;-725.0125;1.28225655e-05;1.8165456882500919e-09;-1.282218e-05
08:22:06;-750;-749.9825;1.2994310000000003e-05;1.6923749584533668e-09;-1.299359e-05
08:22:25;-775;-775.0026;1.3146229e-05;5.129536528771278e-10;-1.314635e-05
08:22:45;-800;-800.0095;1.3381976e-05;1.971532449644151e-09;-1.339649e-05
08:23:05;-825;-825.0374;1.36510835e-05;1.8422896453869518e-09;-1.364689e-05
08:23:25;-850;-850.0153;1.3774157499999998e-05;5.030636235855281e-09;-1.376714e-05
08:23:44;-875;-874.9793;1.3937846000000001e-05;7.485473932891484e-10;-1.395186e-05
08:24:04;-900;-899.9434;1.4172998000000001e-05;1.920121949252169e-09;-1.416746e-05
