time (27.02.2025);set voltage (V);real voltage (V);current (A);delta current;input current (A)
07:40:10;-25;-25.04167;3.895836500000001e-06;7.55350254848717e-10;-3.892631e-06
07:40:30;-50;-50.07946;5.881648e-06;1.3090534519262396e-09;-5.87789e-06
07:40:50;-75;-75.10978;7.37219065e-06;7.372187439119019e-10;-7.38213e-06
07:41:09;-100;-100.0822;8.662035300000002e-06;8.745297510662487e-10;-8.673575e-06
07:41:29;-125;-125.0353;9.785617050000002e-06;1.2020701466116608e-09;-9.789421e-06
07:41:49;-150;-150.0024;1.0835834e-05;2.3200934679447858e-09;-1.086846e-05
07:42:09;-175;-175.0411;1.1837601999999999e-05;1.68931355881612e-09;-1.185006e-05
07:42:29;-200;-200.0733;1.2699713999999998e-05;1.4180993265635385e-09;-1.271359e-05
07:42:49;-225;-225.0885;1.35645385e-05;2.591184794162697e-09;-1.358964e-05
07:43:09;-250;-250.0637;1.4416532999999999e-05;2.6134298440937775e-09;-1.441562e-05
07:43:29;-275;-275.0333;1.5281102500000002e-05;3.4652815091273503e-09;-1.525375e-05
07:43:49;-300;-300.0075;1.6012577e-05;4.720833935863458e-09;-1.59991e-05
07:44:09;-325;-325.0432;1.6811913000000006e-05;3.1717528355784675e-09;-1.683417e-05
07:44:29;-350;-350.0583;1.7548819000000002e-05;2.5039424813682236e-09;-1.756717e-05
07:44:49;-375;-375.0928;1.8372713e-05;4.697213647472241e-09;-1.840369e-05
07:45:09;-400;-400.0659;1.91168795e-05;4.466640990442341e-09;-1.910798e-05
07:45:29;-425;-425.0353;1.9827918500000004e-05;3.924093097455826e-09;-1.985201e-05
07:45:49;-450;-449.9874;2.0592901499999998e-05;2.113992936955987e-09;-2.062136e-05
07:46:09;-475;-475.0238;2.13428045e-05;7.788907319868478e-09;-2.140561e-05
07:46:29;-500;-500.0563;2.2081095e-05;4.4187804595837916e-09;-2.208492e-05
07:46:49;-525;-525.0919;2.28830535e-05;4.6190259944603846e-09;-2.284246e-05
07:47:09;-550;-550.0714;2.3723451499999998e-05;3.3495048346732783e-09;-2.375894e-05
07:47:29;-575;-575.0239;2.4457441499999997e-05;7.0475638086859345e-09;-2.447341e-05
07:47:49;-600;-599.9969;2.5206114999999997e-05;3.3860255831874184e-09;-2.521947e-05
07:48:09;-625;-625.0281;2.5945822e-05;7.250649164040452e-09;-2.599258e-05
07:48:29;-650;-650.0578;2.6758271e-05;3.033781542893389e-09;-2.671924e-05
07:48:49;-675;-675.0718;2.75177655e-05;9.557382525435472e-09;-2.748361e-05
07:49:09;-700;-700.0511;2.8333718000000002e-05;2.8459555161667845e-09;-2.832304e-05
07:49:29;-725;-725.0167;2.9162275499999997e-05;4.168856766249056e-09;-2.915045e-05
07:49:49;-750;-749.9861;3.0086844000000002e-05;4.025809757055011e-09;-3.009443e-05
07:50:09;-775;-775.0074;3.0911567e-05;4.174913597908452e-09;-3.092566e-05
07:50:29;-800;-800.016;3.1728184e-05;1.038699825262346e-08;-3.179871e-05
07:50:49;-825;-825.0435;3.255753750000001e-05;3.6443448571039542e-09;-3.258612e-05
07:51:09;-850;-850.0214;3.35639975e-05;8.17941293354854e-09;-3.349277e-05
07:51:29;-875;-874.9849;3.4255251e-05;6.220055301201115e-09;-3.426217e-05
07:51:49;-900;-899.9478;3.5196353000000006e-05;5.06899758828125e-09;-3.525891e-05
