time (27.01.2025);set voltage (V);real voltage (V);current (A);delta current;input current (A)
08:02:04;-25;-25.04079;4.1865313e-06;2.653215911021937e-09;-4.172731e-06
08:02:24;-50;-50.07689;6.233664050000001e-06;4.2950953700117773e-10;-6.236395e-06
08:02:44;-75;-75.10702;7.8077693e-06;1.1444526270230395e-09;-7.811782e-06
08:03:03;-100;-100.0819;9.15945575e-06;9.079009138529235e-10;-9.163631e-06
08:03:23;-125;-125.0242;1.0362987500000001e-05;1.0517544568481466e-09;-1.036455e-05
08:03:43;-150;-150.0032;1.1498543999999999e-05;2.6040806823137992e-09;-1.150906e-05
08:04:03;-175;-175.0405;1.2570097999999998e-05;1.3761536251450585e-09;-1.258979e-05
08:04:23;-200;-200.072;1.3550987499999999e-05;2.057244379625347e-09;-1.357189e-05
08:04:43;-225;-225.087;1.4549442000000003e-05;1.7548250055204637e-09;-1.453403e-05
08:05:02;-250;-250.0609;1.5497809999999997e-05;3.2407837015141926e-09;-1.547413e-05
08:05:22;-275;-275.0324;1.6416488999999998e-05;3.242218291540517e-09;-1.644487e-05
08:05:41;-300;-300.0075;1.73245135e-05;2.611018027034685e-09;-1.731867e-05
08:06:01;-325;-325.0428;1.81740435e-05;4.308874404934525e-09;-1.818988e-05
08:06:21;-350;-350.0568;1.9036371e-05;3.916812217862905e-09;-1.908048e-05
08:06:41;-375;-375.0899;1.9935256999999998e-05;5.8773646773022e-09;-1.997948e-05
08:07:01;-400;-400.0654;2.07764465e-05;2.4147364530110197e-09;-2.073047e-05
08:07:20;-425;-425.0338;2.1581034000000002e-05;4.35433217612068e-09;-2.163536e-05
08:07:40;-450;-449.9886;2.2384007e-05;4.392553249534972e-09;-2.242728e-05
08:08:00;-475;-475.023;2.3235107e-05;5.694304659043036e-09;-2.32186e-05
08:08:19;-500;-500.0544;2.40475545e-05;2.484440226187763e-09;-2.40454e-05
08:08:39;-525;-525.0904;2.49325425e-05;6.397867999380741e-09;-2.497868e-05
08:08:59;-550;-550.0704;2.5767289499999998e-05;4.3897829374013695e-09;-2.581003e-05
08:09:19;-575;-575.024;2.6623232e-05;1.993352276944573e-09;-2.659734e-05
08:09:40;-600;-599.9978;2.7401620499999998e-05;3.126471851384445e-09;-2.744409e-05
08:10:00;-625;-625.0273;2.8312637000000002e-05;3.811373774638201e-09;-2.827435e-05
08:10:20;-650;-650.0555;2.9087392000000004e-05;2.8876548962783597e-09;-2.909364e-05
08:10:40;-675;-675.0696;2.9998891e-05;2.10195396000961e-09;-2.998469e-05
08:11:00;-700;-700.049;3.0918718e-05;5.5616505463754665e-09;-3.09607e-05
08:11:20;-725;-725.016;3.1789257e-05;4.315626090151851e-09;-3.177445e-05
08:11:39;-750;-749.9852;3.2599507e-05;6.2864787878429865e-09;-3.258783e-05
08:11:59;-775;-775.007;3.3533132500000005e-05;1.004566697325261e-08;-3.361094e-05
08:12:18;-800;-800.0151;3.44196815e-05;3.42724877088025e-09;-3.442539e-05
08:12:38;-825;-825.0423;3.5421103e-05;5.411535230413047e-09;-3.547501e-05
08:12:58;-850;-850.0217;3.63832735e-05;4.459369197263201e-09;-3.642902e-05
08:13:18;-875;-874.9843;3.7355732e-05;3.1628137472826473e-09;-3.738965e-05
08:13:38;-900;-899.949;3.8311663999999996e-05;7.330596987967704e-09;-3.838339e-05
